,Name,Rating,Followers,Online,Peak,id
0,Golf With Your Friends,88.56%,"71,335",822,"20,750",431240
1,Tower Unite,87.09%,"43,648",225,"1,603",394690
2,Golf It!,86.40%,"28,112","1,471","2,791",571740
3,WHAT THE GOLF?,90.07%,"11,979",22,317,785790
4,GolfTopia,88.00%,"2,255",3,77,1144020
5,Cloudlands : VR Minigolf,78.00%,"1,789",0,44,425720
6,Vertiginous Golf,57.36%,"1,415",0,"1,330",272890
7,Walkabout Mini Golf VR,89.58%,"1,162",11,114,1408230
8,Super Inefficient Golf,74.06%,"1,038",0,22,772480
9,Infinite Mini Golf,69.57%,890,1,18,446550
10,Hentai Strip Shot,78.76%,784,0,14,935560
11,Ballistic Mini Golf,51.36%,763,0,27,725960
12,Golf Around!,87.45%,672,3,214,1086410
13,Golf Peaks,85.53%,528,0,17,923260
14,MiniGolf Mania,61.80%,504,1,16,453680
15,Mini Golf Arena,48.95%,503,0,66,485670
16,3D Ultra™ Minigolf Adventures,60.87%,450,0,16,10140
17,Wonder Wickets,80.48%,434,0,16,598640
18,Mad Tracks,80.14%,347,2,13,1202970
19,Party Golf,72.70%,316,0,13,538550
20,3D MiniGolf,41.11%,308,0,7,362830
21,Dream Golf VR,71.69%,298,1,18,723610
23,Golf Galore,73.88%,263,0,401,868080
24,Cheap Golf,76.68%,255,2,163,616520
25,Tee Time Golf,76.70%,245,1,20,537630
26,Minigolf Blast,-,210,0,1,683660
28,MiniGolf Maker,70.15%,207,0,14,1036660
29,MiniGolf,50.99%,132,0,3,1050240
30,VR Mini Bowling,68.10%,118,0,7,736340
31,Mini Golf Mundo,48.95%,116,1,98,468320
32,Arcane Golf,78.21%,107,0,4,897800
33,Golf Party,74.00%,95,0,20,1417000
35,Mini Golf Club,74.19%,79,0,8,1252650
36,Golf Ace,52.37%,75,0,15,1251410
37,Virtual Islands,64.78%,74,0,2,519540
38,Graviter,69.20%,70,0,2,1255920
39,Cloudlands 2,55.13%,64,0,8,1206960
40,Puttin' Around,45.83%,54,0,4,1002650
41,Mini Golf Buddies,40.40%,53,0,3,948200
42,GOLF in PAPER,50.00%,48,0,2,1060060
44,Trivia Vault: Golf Trivia,55.75%,42,0,3,822900
45,Pull Ball,66.76%,28,0,11,1006920
46,Wacky Golf Land,64.78%,27,0,3,1257700
47,Mage Drops,72.17%,26,0,2,1552600
48,Fort Golf,70.84%,22,0,2,1358570
50,VR Mini Bowling 2,59.60%,20,0,3,1257190
53,Puzzling Peaks EXE,75.00%,16,0,3,1475420
54,Macro golf,27.83%,16,0,2,1472260
55,Comet Golf,64.08%,14,0,1,1200300
56,Chetz!,64.08%,12,0,2,1700330
57,Pirate Island Mini Golf VR,40.58%,11,0,2,1256870
58,Golf98,67.06%,10,0,4,1170160
63,Tower Unite Dedicated Server,64.08%,0,0,4,439660
64,Dream Golf VR - Infinity Towers,59.42%,-,-,-,1145840
65,Dream Golf VR - Jungle Temple,40.58%,-,-,-,964120
66,Dream Golf VR - Lighthouse Island,40.58%,-,-,-,768910
