,Name,Rating,Followers,Online,Peak,id
0,Steep™,79.99%,"125,271",102,"2,113",460920
1,Skater XL - The Ultimate Skateboarding Game,83.93%,"37,532",534,"5,741",962730
2,SNOW - The Ultimate Edition,64.85%,"29,658",8,"2,779",244930
3,Infinite Air with Mark McMorris,71.88%,"1,916",0,77,488300
4,The Ramp,89.71%,"1,823",9,110,1506510
5,The Snowboard Game,74.44%,923,3,23,803830
6,Just Ski+,79.66%,386,0,23,740230
7,Sand to Surf,56.94%,165,0,20,1262170
8,hoVRboard,80.51%,157,0,4,1081120
9,Horatio Goes Snowboarding,70.12%,121,2,204,1589380
11,BSL Winter Games Challenge,63.89%,98,0,4,802210
12,Winter Sports Games,32.94%,94,0,4,998530
13,John:Condemned,45.52%,77,0,2,959170
14,Steep Slopes,72.76%,55,1,6,1543760
17,Snowboarding,32.94%,13,0,3,1659170
18,冰嬉图卷,64.08%,11,0,2,1688960
