,Name,Rating,Followers,Online,Peak,id
0,Tomb Raider,95.16%,"175,016",866,"89,538",203160
1,Assetto Corsa,89.38%,"136,976","4,948","11,691",244210
2,DiRT Rally,85.97%,"126,734",191,"20,343",310560
3,FaceRig,80.11%,"113,112",908,"3,554",274920
4,嗜血印 Bloody Spell,84.51%,"94,857",21,"4,256",992300
5,Outlast,94.60%,"94,352",311,"11,827",238320
6,GRID 2,81.99%,"89,602",135,"27,339",44350
7,Mafia II (Classic),93.26%,"78,420",124,"29,474",50130
8,Blender,94.92%,"76,255","3,122","5,133",365670
9,DiRT Rally 2.0,82.29%,"72,033",910,"3,533",690790
10,Just Cause 2,89.27%,"56,288",177,"7,547",8190
11,Batman™: Arkham Origins,85.56%,"53,530",383,"25,017",209000
12,Batman: Arkham City - Game of the Year Edition,93.83%,"45,900",473,"6,871",200260
13,Brothers - A Tale of Two Sons,92.84%,"45,048",9,"2,019",225080
14,Superliminal,91.96%,"42,767",157,"1,439",1049410
15,L.A. Noire,83.71%,"40,033",220,"5,115",110800
16,Trine 3: The Artifacts of Power,63.55%,"39,478",20,672,319910
17,Z1 Battle Royale: Test Server,52.77%,"36,980",1,"8,554",439700
18,Resident Evil 5,85.19%,"36,129",385,"2,585",21690
19,Injustice: Gods Among Us Ultimate Edition,83.76%,"33,742",80,"10,344",242700
20,The Immortal Mayor,61.60%,"33,378",47,"3,232",1426730
21,Five Nights at Freddy's 3,85.79%,"32,499",11,"3,212",354140
22,Crysis 2 - Maximum Edition,82.51%,"32,466",60,"3,885",108800
23,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,81.39%,"31,074",30,"6,831",272510
24,Lord of the Rings: War in the North,77.64%,"29,666",28,"4,664",32800
25,Batman: Arkham Asylum Game of the Year Edition,94.26%,"29,460",243,"6,739",35140
26,BLOCKADE 3D,57.41%,"26,530",8,"6,968",302830
27,Doom 3: BFG Edition,83.24%,"25,204",117,"1,091",208200
28,Ultra Street Fighter® IV,86.76%,"23,936",199,"5,547",45760
29,ENSLAVED™: Odyssey to the West™ Premium Edition,82.48%,"23,665",6,914,245280
30,Succubus Cafe,81.28%,"19,968",14,352,1520500
31,AdventureQuest 3D,77.75%,"18,839",332,"2,098",429790
32,Dead Rising® 2,74.85%,"18,446",27,"2,812",45740
33,Anarchy Arcade,67.05%,"18,104",4,529,266430
34,Aerofly FS 2 Flight Simulator,74.91%,"17,875",15,109,434030
35,Burnout Paradise: The Ultimate Box,84.87%,"17,076",44,"6,284",24740
36,Sonic Generations Collection,90.69%,"16,632",169,"1,686",71340
37,Project CARS 3,53.65%,"15,662",89,"1,218",958400
38,Contrast,87.45%,"15,618",0,518,224460
39,Ys Origin,90.21%,"15,433",13,"1,162",207350
40,LEGO® The Lord of the Rings™,86.98%,"13,317",306,"5,045",214510
41,Worms Ultimate Mayhem,84.93%,"10,526",44,786,70600
42,The LEGO® Movie - Videogame,82.54%,"10,458",53,"1,402",267530
43,Galaxy on Fire 2™ Full HD,72.43%,"10,212",4,605,212010
44,1979 Revolution: Black Friday,73.46%,"9,322",0,40,388320
45,Tomb Raider: Underworld,74.20%,"9,271",36,415,8140
47,War Room,58.81%,"7,601",13,200,1175880
48,Tomb Raider: Anniversary,80.11%,"7,189",51,461,8000
49,Psychonauts,92.37%,"6,578",180,"4,531",3830
51,InMind VR,73.83%,"6,119",0,42,343740
52,Worm.is: The Game,78.00%,"5,673",14,"3,498",466910
53,Desktop Magic Engine,70.59%,"5,308",38,752,1096550
54,Hard Reset Extended Edition,79.88%,"5,236",2,921,98400
55,Street Fighter X Tekken,54.11%,"5,045",9,"1,302",209120
57,Warriors of the Nile,78.90%,"4,366",10,"3,034",1267470
58,Zombie City Defense 2,67.40%,"4,356",1,146,473970
59,VR HOT,62.44%,"4,145",18,35,1571340
61,武林志2 (Wushu Chronicles 2),47.37%,"3,919",46,386,1465890
63,Doorways: Old Prototype,80.61%,"3,184",0,71,525780
64,Marooners,62.78%,"2,957",0,182,423810
65,F1 RACE STARS™,74.64%,"2,815",11,490,203680
66,变量 Variables,81.40%,"2,617",0,"1,541",1054800
67,Crash Drive 2,84.08%,"2,501",6,"5,214",343440
68,TrackMania² Valley,75.15%,"2,470",6,465,243360
69,Weakless,69.37%,"2,339",0,21,1072620
70,Doorways: The Underworld,67.01%,"2,251",0,406,311250
71,Music Racer,85.77%,"2,010",1,"18,509",893030
72,Doorways: Prelude,61.83%,"1,959",0,425,248470
73,Futuridium EP Deluxe,60.95%,"1,952",0,5,352790
74,Fantastic Contraption,72.64%,"1,851",0,91,386690
76,Drive 21,63.62%,"1,496",0,25,1416520
77,Extraction Valley,64.63%,"1,442",0,138,1012410
78,My Free Farm 2,53.61%,"1,408",50,233,799240
79,Touring Karts,75.64%,"1,296",0,12,1088950
80,Find the cubs,41.67%,"1,245",0,3,1694180
82,Inversion™,59.06%,"1,113",0,87,212410
83,Shadow Puppeteer,69.98%,"1,080",0,41,316480
84,Holy Avenger,37.55%,"1,075",0,5,544680
85,Of Ships & Scoundrels,63.06%,"1,035",0,7,933830
86,AeternoBlade II: Director's Rewind,69.76%,"1,016",0,14,1249070
88,Broken Sword 4 - the Angel of Death,46.39%,"1,005",6,31,316160
89,Shadowbane,64.84%,"1,002",225,692,1475570
90,Airport Simulator 3: Day & Night,33.43%,891,1,24,502470
91,Gaia Project,69.06%,859,15,164,1516400
92,Horse Riding Deluxe,63.46%,836,0,9,783860
94,"Understanding, The Game",80.13%,790,0,23,1491640
95,Hacker's Beat,50.62%,764,0,9,363650
96,Pixel Painter,71.27%,762,4,"14,105",648120
97,Ginkgo,82.56%,737,1,11,1335030
98,Dungeon Girl,52.78%,723,0,8,1614250
99,MOENTO - Modular Environment Toolkit,73.89%,703,1,9,1548870
