,Name,Rating,Followers,Online,Peak,id
0,Planet Zoo,88.07%,"239,930","3,031","38,630",703080
1,Project Winter,82.04%,"90,175",208,"38,794",774861
2,Ancestors: The Humankind Odyssey,73.95%,"77,967",141,"3,334",536270
4,FAR: Lone Sails,91.04%,"51,315",16,924,609320
5,Maneater,86.51%,"49,205",129,"2,861",629820
6,Eastshade,86.09%,"49,125",31,440,715560
7,Empires of the Undergrowth,91.36%,"47,790",220,989,463530
8,Staxel,77.09%,"47,128",66,"2,644",405710
9,Never Alone (Kisima Ingitchuna),78.98%,"46,081",11,482,295790
10,Shelter 2,81.42%,"45,623",9,607,275100
11,Niche - a genetics survival game,83.61%,"43,622",77,"1,046",440650
12,Imagine Earth,76.54%,"42,187",20,327,280720
13,Pine,73.62%,"37,055",14,"1,630",1042780
14,Ranch Simulator,80.61%,"35,837",722,"3,233",1119730
15,Block'hood,71.45%,"27,848",0,640,416210
16,Muck,93.26%,"26,885","9,459","16,715",1625450
17,Meadow,86.41%,"26,254",15,"15,036",486310
18,Farmer's Dynasty,76.14%,"26,125",56,"1,044",678900
19,SnowRunner,80.60%,"25,816","1,499","5,865",1465360
20,Submerged,73.10%,"25,799",5,521,301860
21,Stranded Sails - Explorers of the Cursed Islands,70.53%,"25,609",18,671,943260
22,Phoning Home,67.26%,"25,062",1,212,431650
23,The First Tree,74.22%,"21,960",5,601,555150
24,FlowScape,83.51%,"21,926",5,379,1043390
27,AER Memories of Old,83.07%,"19,071",16,483,331870
28,Reus,76.23%,"17,189",19,"4,252",222730
29,Animallica,72.25%,"16,909",49,126,638850
30,Equilinox,88.75%,"16,820",19,588,853550
31,Viridi,88.93%,"15,139",14,"1,282",375950
32,Wingspan,90.94%,"14,993",287,855,1054490
34,Botanicula,92.51%,"13,931",10,428,207690
35,No Place Like Home,80.70%,"13,701",173,392,1472660
36,Mountain,86.25%,"13,482",125,"1,667",313340
37,Summer in Mara,74.27%,"13,143",26,"1,003",962580
38,Carto,93.08%,"13,078",139,929,1172450
39,WolfQuest: Classic,86.80%,"12,851",6,245,431180
40,Flower,80.49%,"12,822",4,171,966330
41,Lumberjack's Dynasty,70.41%,"12,582",115,"1,348",968970
42,A Short Hike,95.95%,"12,449",26,200,1055540
43,Arid,80.50%,"12,357",80,402,1463730
44,Arctico,67.73%,"11,440",3,88,325210
45,Garden Story,81.55%,"11,226",298,318,1062140
46,Hundred Days - Winemaking Simulator,69.29%,"11,050",25,813,1042380
47,Through the Woods,70.14%,"10,732",1,149,368430
48,Snowtopia: Ski Resort Builder,70.39%,"10,228",10,577,1124260
49,Shelter,82.07%,"10,149",1,308,244710
51,WolfQuest: Anniversary Edition,92.07%,"9,831",211,"2,253",926990
52,King of Crabs,76.98%,"9,465",131,"1,876",1273710
54,Ecosystem,77.03%,"9,363",10,158,1133120
55,AWAY: The Survival Series,-,"9,047",0,1,750200
56,Röki,88.53%,"9,002",76,166,1067540
57,Bigscreen Beta,83.31%,"8,908",87,315,457550
58,PLAYNE : The Meditation Game,90.49%,"8,737",20,38,865540
59,Cattails | Become a Cat!,90.86%,"8,705",35,442,634160
60,Erzurum,46.80%,"8,434",4,511,1392060
61,Crest - an indirect god sim,65.63%,"8,172",2,60,341710
62,Cloud Gardens,91.25%,"8,123",4,286,1372320
63,Paws,84.81%,"7,982",0,79,434000
64,Seeds of Resilience,68.15%,"7,916",3,243,877080
65,OPUS: The Day We Found Earth,81.72%,"7,660",0,71,457680
66,Alba: A Wildlife Adventure,92.29%,"7,626",10,192,1337010
68,Lawn Mowing Simulator,69.87%,"7,484","1,198","2,108",1480560
69,The Plan,90.15%,"7,445",23,298,250600
70,Insurmountable,83.30%,"6,724",4,205,1385100
71,Chicken Police - Paint it RED!,90.84%,"6,545",4,164,1084640
72,Islet Online,74.33%,"6,172",9,145,428180
74,Natural Instincts,75.85%,"5,951",5,97,1168610
75,Farmer's Life,64.03%,"5,947",136,417,1137750
76,Someday You'll Return,80.37%,"5,546",3,201,840370
77,InnerSpace,61.30%,"5,468",2,46,347000
78,Utawarerumono: Prelude to the Fallen,85.61%,"5,414",9,321,1151450
79,Big Farm Story,70.31%,"5,401",121,433,1329510
80,Nemesis: Race Against The Pandemic,43.47%,"5,351",0,3,1497180
81,Gorilla Tag,93.50%,"5,225",220,534,1533390
82,MicroTown,87.76%,"5,214",3,50,931270
83,Potentia,66.48%,"5,188",1,72,606980
84,Even the Ocean,78.84%,"5,152",1,19,265470
85,Reptiles: In Hunt,50.00%,"5,118",1,25,897380
86,cyubeVR,81.56%,"5,103",19,34,619500
87,The Wild Eternal,71.70%,"4,874",1,14,554810
88,Hunting Simulator 2,59.68%,"4,687",19,383,1135910
89,Fugl,77.03%,"4,536",0,18,643810
90,The Lost Legends of Redwall™ : The Scout Act 1,68.44%,"4,420",0,20,656030
91,Northern Lights,56.00%,"4,401",0,78,1090800
94,Mundaun,88.78%,"4,359",6,82,720350
95,Fishing Sim World®: Pro Tour,71.90%,"4,330",26,215,834280
96,Alchemy Garden,74.37%,"4,282",6,32,935400
97,Werewolf: The Apocalypse — Heart of the Forest,79.95%,"4,264",6,304,1342620
98,Summer in Mara Prologue,82.71%,"4,248",0,205,1318420
99,On My Own,59.09%,"4,214",0,28,351730
