,Name,Rating,Followers,Online,Peak,id
0,60 Seconds!,81.48%,"56,590",34,"1,067",368360
1,Doki Doki Literature Club Plus!,93.01%,"35,553",349,"8,662",1388880
2,Cultist Simulator,76.80%,"30,315",136,"3,143",718670
3,Event[0],76.88%,"22,584",2,396,470260
4,Firework,95.62%,"19,481",5,"3,746",1288310
5,60 Parsecs!,81.60%,"16,840",22,727,646270
7,Emily is Away,86.84%,"15,025",14,"2,803",417860
8,60 Seconds! Reatomized,91.13%,"13,894",141,873,1012880
9,The Great Ace Attorney Chronicles,89.46%,"13,818","1,132","2,523",1158850
10,Emily is Away Too,90.33%,"12,545",25,844,523780
12,The Life and Suffering of Sir Brante,88.15%,"11,602",43,"1,819",1272160
13,Monster Prom 2: Monster Camp,94.01%,"11,487",63,"2,252",1140270
14,Suzerain,90.13%,"10,528",102,"1,090",1207650
15,Corruption of Champions II,89.80%,"10,366",151,423,1292690
16,Epic Tavern,65.17%,"10,279",1,56,517720
17,Stories Untold,84.15%,"9,359",6,374,558420
18,LoveKami -Divinity Stage-,77.34%,"8,852",0,128,547340
19,Wild Romance: Mofu Mofu Edition,72.77%,"8,793",1,40,748480
20,Summer~Life in the Countryside~,69.26%,"8,508",2,223,1508570
21,hackmud,72.83%,"8,056",20,436,469920
22,SanctuaryRPG: Black Edition,87.43%,"7,427",2,233,328760
23,LoveKami -Useless Goddess-,75.52%,"6,981",1,89,626510
24,Stone Story RPG,84.70%,"6,865",15,739,603390
25,Insurmountable,83.30%,"6,724",3,205,1385100
26,Maitetsu:Last Run!!,93.40%,"6,677",9,438,1434480
27,Mission IDLE,67.20%,"6,474",1,6,1503540
28,Horus IDLE,42.61%,"6,459",0,4,1507510
29,Buddy Simulator 1984,90.27%,"6,324",38,280,1269950
30,Uplink,87.01%,"6,249",10,538,1510
31,Subsurface Circular,89.70%,"6,212",0,193,676820
32,Friendship with Benefits,90.80%,"5,881",20,272,1299370
33,Choice of Robots,91.98%,"5,763",3,244,339350
34,Throne of Lies®: Medieval Politics,75.80%,"5,539",28,"1,381",595280
35,Harem Hunter: Sex-ray Vision,62.73%,"5,525",1,53,1490250
36,Void's Calling ep.1,80.90%,"5,490",10,299,1212020
37,Analogue: A Hate Story,89.06%,"5,277",1,285,209370
38,Lacuna – A Sci-Fi Noir Adventure,87.98%,"4,943",5,168,1364100
39,Forest Fortress,73.61%,"4,915",0,22,616620
40,Sorcery! Parts 1 and 2,81.26%,"4,837",7,182,411000
41,King of Dragon Pass,76.48%,"4,688",5,"1,599",352220
42,Fantasy Tavern Sextet -Vol.3 Postlude Days-,80.11%,"4,599",2,77,1523390
43,Monster Loves You!,74.86%,"4,573",1,526,226740
44,The Life and Suffering of Sir Brante — Chapter 1&2,92.70%,"4,523",5,246,1460090
45,Amairo Chocolate,89.92%,"4,474",2,66,1238680
46,My Vow to My Liege,91.43%,"4,317",7,684,1146970
47,Werewolf: The Apocalypse — Heart of the Forest,79.95%,"4,264",5,304,1342620
48,Age of Gladiators,74.59%,"4,117",2,378,442500
49,Knights College,91.52%,"4,064",14,599,1510030
50,A Legionary's Life,81.92%,"3,832",18,362,1058430
51,The Darkside Detective: A Fumble in the Dark,89.45%,"3,758",11,216,795420
52,Sepia Tears,83.54%,"3,734",0,102,429300
53,SIMULACRA 2,82.18%,"3,583",12,318,1011190
54,"Sorry, James",75.33%,"3,570",0,52,659190
55,Motesolo : No Girlfriend Since Birth,81.17%,"3,508",4,367,1414180
56,BustyBiz,68.84%,"3,485",294,562,1443820
57,MINDNIGHT,81.65%,"3,447",11,422,667870
58,Elf Breeding Farm,58.03%,"3,433",0,27,1233710
59,风信楼,88.47%,"3,384",8,229,1126310
60,Nanairo Reincarnation,85.13%,"3,373",0,33,751450
61,Monster Girl Breeder,63.09%,"3,369",1,18,1400180
62,Zeliria Sanctuary,82.76%,"3,256",0,113,855630
63,Idle Adventure,63.51%,"3,243",6,"1,062",714020
64,Achtung! Cthulhu Tactics,67.30%,"3,208",3,79,874460
65,Conquer and Breed the Demon Queen,50.54%,"3,202",0,37,1462550
66,Untrusted,80.35%,"3,186",6,335,1502660
67,Legend of Homebody,76.21%,"3,156",2,385,744260
68,My Yandere Sister loves me too much!,70.00%,"3,067",1,25,1426090
69,恋爱绮谭~不存在的夏天~,91.10%,"2,832",4,106,1345740
70,Sakura Succubus 3,80.03%,"2,813",6,37,1406020
71,Medieval Monarch,80.79%,"2,767",0,47,1058710
72,Soccer Manager 2021,68.59%,"2,764",553,"1,187",1448530
73,Zafehouse: Diaries,64.63%,"2,754",0,409,249360
74,Breeding Village,61.87%,"2,688",1,13,1061490
75,墨心：波云诡船,86.35%,"2,684",1,314,1424720
77,他人世界末 On-looker,88.57%,"2,572",2,233,1225780
78,RONIN: Two Souls,80.98%,"2,537",0,23,1349830
79,Heavy Metal Babes,65.18%,"2,400",69,245,1386950
80,Comet 64,71.19%,"2,359",3,81,1397290
81,迷雾之夏-The Vigilant Villa,76.72%,"2,316",2,479,1254900
82,Hot & Steamy Knights,62.78%,"2,264",1,39,1096730
84,Overboard!,84.00%,"2,232",18,93,1546920
85,Warsim: The Realm of Aslona,91.18%,"2,230",4,263,659540
86,Deviant Dungeon,65.53%,"2,132",0,26,1012900
87,Omen Exitio: Plague,82.41%,"2,042",1,45,668590
88,Twists of My Life,69.15%,"2,029",12,37,1159520
89,Aristocunts,63.41%,"2,010",0,12,1314630
90,99 Spirits,57.29%,"1,995",0,316,258090
91,Sutekina kanojo no tsukurikata,40.90%,"1,952",0,538,1396150
92,Scarlet Hollow,89.77%,"1,947",2,84,1609230
93,Master of the Harem Guild,61.92%,"1,926",0,36,803040
94,Orwell's Animal Farm,71.91%,"1,922",0,30,1398100
95,副作用之瞳-Tlicolity Eyes-,69.36%,"1,920",2,67,1195830
96,Lens Life,71.65%,"1,911",0,81,1346970
97,Under a Porcelain Sun,-,"1,834",0,1,532230
98,Depression Quest,57.13%,"1,815",4,515,270170
