,Name,Rating,Followers,Online,Peak,id
0,Eastside Hockey Manager,80.82%,"4,733",196,964,301120
1,ACE - Arena: Cyber Evolution,64.77%,"4,100",0,288,285580
2,Super Blood Hockey,87.23%,"3,041",1,68,532190
3,Ultraball,-,"2,989",0,8,708030
4,Slapshot: Rebound,81.97%,"2,703",131,"1,136",1173370
5,Slapshot,80.89%,"1,754",0,553,707680
6,Franchise Hockey Manager 6,72.98%,"1,006",22,285,1087270
7,Franchise Hockey Manager 4,61.18%,905,1,190,595420
8,Franchise Hockey Manager 3,55.79%,739,0,155,465660
9,Franchise Hockey Manager 7,71.53%,725,104,248,1345870
10,Bush Hockey League,61.52%,683,1,68,543010
11,Franchise Hockey Manager 5,56.38%,503,4,206,880380
12,Hockey Manager 20|20,64.43%,309,2,24,1014050
13,Hoser Hockey,72.76%,262,1,9,801400
15,Clash Cup Turbo,-,184,0,4,393280
16,Mini Hockey Champ!,68.75%,180,0,4,713030
17,Puck Buddies,69.44%,164,0,10,1201380
18,VR Hockey League,69.20%,115,0,4,721480
19,Tropical Air Hockey,63.75%,107,0,3,1218830
22,Super Hockey Ball,-,70,0,1,738950
23,Canvas Hockey,80.79%,67,0,3,1351400
24,NetStars - VR Goalie Trainer,61.96%,63,0,3,800670
25,Skills Hockey VR,36.11%,60,0,3,596070
26,Bedlamball,77.41%,52,0,52,667690
27,Trivia Vault: Hockey Trivia,55.75%,49,0,6,828550
29,capy hoky,66.62%,37,0,5,1209440
30,Hockeysplit,59.43%,34,0,6,1206000
32,Lair Hockey,59.42%,25,0,1,1381360
33,Goalienator,67.06%,25,0,4,1222830
34,Ping Pong Space - Retro Tennis,67.06%,19,0,3,1193930
35,MBHL20,46.68%,18,0,3,1374820
38,Smackball,67.06%,15,0,4,1554520
39,冰嬉图卷,64.08%,11,0,2,1688960
