,Name,Rating,Followers,Online,Peak,id
1,Steam Link,74.56%,"157,997",0,22,353380
2,Doorways: The Underworld,67.01%,"2,251",0,406,311250
3,Clockwork Tales: Of Glass and Ink,86.61%,"1,942",3,254,284830
4,6180 the moon,84.88%,"1,678",0,79,299660
5,Slybots: Frantic Zone,70.68%,"1,537",0,7,384100
6,Conduct DELUXE!,77.90%,"1,090",2,19,737870
7,Modern Tales: Age of Invention,81.59%,986,2,50,678970
8,The King's Request: Physiology and Anatomy Revision Game,83.24%,804,0,18,873230
9,REMOTE LIFE,83.53%,662,0,7,1126420
10,Skyland: Heart of the Mountain,73.53%,506,2,24,949800
11,Overlook: Local multiplayer game - up to 16 players,35.92%,220,0,3,770560
12,Photon Rush,72.17%,130,0,4,667660
13,CRONEWORLD RPG ADVENTURE - 1,50.00%,97,0,2,750710
