,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,547,808","32,368","247,709",218620
1,Deep Rock Galactic,95.39%,"1,346,378","4,942","36,224",548430
2,Warframe,89.62%,"755,374","68,038","189,837",230410
3,Destiny 2,84.09%,"498,886","40,900","292,513",1085660
4,Tom Clancy’s The Division™,67.96%,"472,301",735,"114,228",365590
5,Borderlands 2,92.54%,"287,121","4,173","124,678",49520
6,Risk of Rain 2,95.19%,"248,697","5,266","71,548",632360
7,Borderlands: The Pre-Sequel,79.46%,"219,126",464,"68,238",261640
8,Borderlands 3,82.52%,"148,744","10,182","93,820",397540
9,Shadow Warrior 2,86.00%,"141,053",186,"12,634",324800
10,OUTRIDERS,62.35%,"122,655","1,283","125,143",680420
11,EVERSPACE™ 2,87.36%,"81,556",301,"3,072",1128920
12,Gunfire Reborn,92.03%,"74,336","6,815","35,263",1217060
13,Defiance,74.81%,"72,549",4,"12,690",224600
14,Borderlands Game of the Year,88.55%,"71,981",134,"23,655",8980
16,League of Maidens®,53.19%,"47,589",146,"6,706",557180
17,Police Simulator: Patrol Officers,82.96%,"33,937",465,"3,330",997010
18,No More Room In Hell 2,-,"17,869",0,1,292000
19,Vampire: The Masquerade - Bloodhunt,-,"15,877",0,22,760160
21,Defiance 2050,47.91%,"12,281",0,"2,343",743090
23,Starpoint Gemini 3,53.15%,"11,907",4,215,977720
24,Project Warlock,85.12%,"11,031",20,365,893680
27,Black Ice,87.74%,"9,395",1,47,311800
28,Almighty: Kill Your Gods,63.29%,"8,422",1,544,1206600
29,Borderlands Game of the Year Enhanced,83.79%,"6,918",413,"26,446",729040
30,Withstand: Survival,67.51%,"6,091",1,75,1193100
34,Nightmare Reaper,90.82%,"4,038",14,168,1051690
35,TinShift,76.65%,"3,694",0,35,1288430
36,The Shadow of Yidhra,88.58%,"3,672",9,140,1576240
37,Alien Shooter 2 - The Legend,50.71%,"3,665",36,218,1007400
38,Crazy Flasher Series 2021,84.59%,"3,631",33,916,1540150
39,Alien Shooter,89.52%,"2,995",37,"1,029",33100
40,Danger Scavenger,73.83%,"2,385",0,40,1169740
41,AlterVerse: Disruption,64.76%,"2,274",0,13,389800
44,Power of Ten,78.99%,"1,682",0,20,1319550
45,Ravensword: Undaunted,72.48%,"1,591",1,10,1350430
46,S.O.T.A 2,50.47%,"1,572",2,52,1648730
47,Ghostship Chronicles,60.55%,"1,427",1,14,925010
48,Sector Six,85.20%,"1,427",0,77,465020
49,Barbearian,76.24%,"1,282",1,23,813450
50,Solar Purge,74.00%,"1,083",0,10,931450
51,Holiday Time,70.58%,"1,051",0,12,1436600
52,Riskers,47.93%,925,0,118,581310
54,Epidemic,61.96%,689,0,10,1420980
55,Bankrupt Heroines,82.28%,647,1,12,1376830
57,LURE,45.65%,517,0,37,1329560
58,The Frost Rebirth,47.22%,507,0,9,1499750
59,Hit n' Rush,63.77%,499,0,79,1036340
61,Bikini Island Challenge,34.86%,481,2,12,1074680
64,One More Dungeon 2,74.53%,410,0,13,1483100
65,Deadtime Defenders,69.78%,391,0,9,1148700
66,鋼鉄戦記C21,59.74%,378,14,113,1266560
68,Waifu Discovered 2,70.08%,355,1,18,1452200
72,Raw Element,40.90%,266,0,7,1484030
73,LURE: FREE,20.63%,252,0,35,1514910
74,Power of Ten - Demo,83.14%,251,0,12,1394090
75,Witch The Bloodlines,34.43%,244,0,4,925690
78,Vapormaze,72.86%,212,0,4,1193430
79,桃夭塔 TaoYaoTa,72.86%,211,1,18,1626600
80,Save the girls Action,57.76%,210,0,4,1576090
81,Megacraft Hentai Battlegrounds,68.18%,205,0,6,1531550
83,Hyforge,62.51%,173,0,2,1446510
86,ATTACK OF THE EVIL POOP,78.21%,171,0,4,1093670
88,Trump Loves Waifus,76.82%,163,0,4,1405220
91,SPL: Skilled Pilots Live,72.42%,157,0,3,1373830
92,Mad Pack,66.29%,146,2,22,1546280
94,Beauty Shooter,56.05%,145,0,2,1353560
95,Among Ass 2: Butt Warfare,69.58%,139,1,9,1574800
98,IronSurvival,45.52%,130,0,4,1423340
