,Name,Rating,Followers,Online,Peak,id
0,Total War: THREE KINGDOMS,69.70%,"461,869","2,806","192,298",779340
1,Total War: WARHAMMER II,92.11%,"379,908","23,047","84,920",594570
2,Minion Masters,90.06%,"265,476",815,"10,329",489520
3,Shadow Tactics: Blades of the Shogun,94.07%,"166,418",159,"5,037",418240
4,Total War™: ROME II - Emperor Edition,78.54%,"130,671","5,218","118,240",214950
5,Total War: ATTILA,78.38%,"121,279","1,883","26,346",325610
7,Men of War: Assault Squad 2,88.43%,"105,437","1,332","9,750",244450
8,Command & Conquer™ Remastered Collection,89.10%,"91,422",810,"42,587",1213210
9,Battlefleet Gothic: Armada,67.01%,"80,066",35,"9,253",363680
10,Planetary Annihilation: TITANS,81.90%,"79,347",235,"4,577",386070
11,Ancestors Legacy,77.31%,"73,018",65,"4,940",620590
12,Desperados III,93.87%,"71,678",200,"6,057",610370
14,Steel Division: Normandy 44,71.84%,"70,236",102,"4,678",572410
15,Football Manager 2019,84.19%,"63,148","2,727","75,982",872790
16,Ultimate General: Civil War,86.29%,"59,813",650,"1,678",502520
17,Wargame: Red Dragon,86.94%,"58,442",734,"4,779",251060
18,Medieval Kingdom Wars,75.38%,"54,339",8,549,499660
19,Sudden Strike 4,73.37%,"53,671",153,"2,476",373930
20,Door Kickers,91.89%,"52,964",31,"2,041",248610
21,Sins of a Solar Empire®: Rebellion,90.57%,"52,909",626,"93,109",204880
22,Battlefleet Gothic: Armada 2,77.42%,"51,468",289,"8,960",573100
23,Steel Division 2,76.44%,"50,292",564,"2,260",919640
24,Call to Arms - Gates of Hell: Ostfront,75.73%,"48,556",511,"2,704",400750
25,Heroes of the Three Kingdoms 8,54.64%,"46,390",167,"25,160",875210
26,911 Operator,86.49%,"45,743",82,"1,955",503560
27,Stronghold: Warlords,60.49%,"43,702",100,"4,434",907650
28,Abandon Ship,72.27%,"43,687",2,734,551860
29,Total War: EMPIRE – Definitive Edition,88.85%,"41,990","2,477","27,559",10500
30,Partisans 1941,82.14%,"41,670",49,"3,061",1227530
31,Bad North: Jotunn Edition,87.94%,"39,750",50,"1,136",688420
32,Act of Aggression - Reboot Edition,63.32%,"36,982",46,"3,131",318020
33,Frozenheim,68.16%,"36,555",67,"2,523",1134100
34,Door Kickers 2: Task Force North,93.08%,"32,312",288,784,1239080
35,Total War: NAPOLEON – Definitive Edition,89.43%,"32,127","1,284","9,935",34030
36,Men of War: Assault Squad,85.11%,"31,975",58,"1,490",64000
38,Total War: MEDIEVAL II – Definitive Edition,93.49%,"31,725","3,185","8,453",4700
39,Total War: ROME REMASTERED,67.88%,"29,783",861,"18,526",885970
41,Crying Suns,83.64%,"28,699",33,"1,479",873940
42,Red Solstice 2: Survivors,67.18%,"28,481",137,"3,826",768520
43,Blitzkrieg 3,58.30%,"27,747",31,"1,149",235380
44,Ashes of the Singularity: Escalation,74.00%,"26,800",53,"3,831",507490
45,Tower of Time,81.85%,"26,566",38,686,617480
46,WARTILE,74.88%,"26,184",0,332,404200
47,The Red Solstice,70.43%,"22,226",7,"82,980",265590
48,Door Kickers: Action Squad,91.46%,"21,619",25,"2,454",686200
49,Creeper World 4,91.06%,"21,246",420,"3,828",848480
50,Ratropolis,85.44%,"21,009",66,"1,470",1108370
51,Stronghold Crusader HD,94.51%,"20,015",714,"2,612",40970
52,Company of Heroes,91.48%,"19,085","1,234","5,906",228200
54,Legend of Mana,75.88%,"18,774",44,"1,479",1175830
55,Empires Apart,66.29%,"17,960",24,367,530630
56,Wargame: Airland Battle,85.26%,"17,857",40,"4,439",222750
57,Stronghold HD,91.86%,"17,249",179,755,40950
