,Name,Rating,Followers,Online,Peak,id
0,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","80,612","3,257,248",578080
1,Grand Theft Auto V,82.79%,"2,336,535","86,392","364,548",271590
2,Fallout 4,78.77%,"846,011","19,232","472,962",377160
3,Warframe,89.62%,"755,251","40,030","189,837",230410
4,Arma 3,89.33%,"610,379","15,116","56,679",107410
5,Z1 Battle Royale,55.26%,"517,234",73,"151,239",433850
6,Tom Clancy’s The Division™,67.96%,"472,315",406,"114,228",365590
7,Ring of Elysium,73.97%,"424,290",749,"63,435",755790
8,Red Dead Redemption 2,85.24%,"411,084","13,441","55,271",1174180
9,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459",971,"45,704",460930
10,Rise of the Tomb Raider™,92.63%,"368,952","1,220","44,588",391220
11,Just Cause™ 3,79.83%,"302,613","1,575","23,459",225540
12,Watch_Dogs® 2,81.33%,"296,713",296,"18,138",447040
13,Risk of Rain 2,95.19%,"248,653","6,171","71,548",632360
14,METAL GEAR SOLID V: THE PHANTOM PAIN,89.06%,"241,120","1,555","91,195",287700
15,HITMAN™ 2,89.37%,"231,772","1,356","361,001",863550
16,Mad Max,89.84%,"215,925",534,"33,356",234140
17,Sniper Elite 4,88.14%,"208,208",925,"15,101",312660
18,HITMAN™,80.89%,"195,303",187,"51,650",236870
19,Mafia III: Definitive Edition,54.85%,"184,243",466,"47,822",360430
20,Tomb Raider,95.16%,"175,016",921,"89,538",203160
21,Remnant: From the Ashes,83.26%,"169,449",640,"48,289",617290
22,Robocraft,71.96%,"160,068",283,"26,725",301520
23,ELEX,73.17%,"157,235",623,"22,969",411300
24,Sword Art Online: Fatal Bullet,77.83%,"145,791",111,"21,727",626690
25,Resident Evil 3,75.82%,"141,564",320,"60,293",952060
26,Arma 2,80.26%,"134,422",4,991,33900
27,OUTRIDERS,62.36%,"122,671","1,444","125,143",680420
28,Sniper Elite 3,79.95%,"110,619",158,"10,861",238090
29,Days Gone,90.47%,"109,372","3,147","27,450",1259420
30,Quantum Break,83.74%,"105,279",51,"2,719",474960
31,Grand Theft Auto IV: The Complete Edition,73.84%,"102,784","2,180","11,696",12210
33,Infestation: The New Z,52.56%,"94,858",248,"14,437",555570
34,Just Cause 4 Reloaded,58.90%,"92,926",369,"9,571",517630
35,Mass Effect™ Legendary Edition,89.46%,"92,897","6,016","59,817",1328670
36,Mafia: Definitive Edition,85.51%,"91,551",327,"36,679",1030840
37,The Evil Within 2,90.22%,"90,861",212,"9,918",601430
38,Control Ultimate Edition,86.93%,"88,935",608,"9,193",870780
39,Sleeping Dogs: Definitive Edition,90.22%,"88,415",479,"4,035",307690
40,Grand Theft Auto: San Andreas,89.97%,"88,386","1,659","3,387",12120
41,Watch_Dogs™,71.22%,"87,857",87,"47,887",243470
42,Alien Swarm,92.47%,"86,518",70,"60,467",630
43,Last Man Standing,60.52%,"83,988",0,"11,857",506540
44,The Evil Within,82.48%,"83,110",194,"4,499",268050
45,Zombie Army Trilogy,85.60%,"79,674",53,"4,320",301640
46,Saints Row IV,89.37%,"79,270",278,"42,270",206420
47,Aim Lab,93.64%,"79,055","4,795","10,381",714010
48,Holdfast: Nations At War,87.45%,"78,646",417,"2,833",589290
49,Mafia II (Classic),93.26%,"78,420",156,"29,474",50130
50,CRSED: F.O.A.D.,79.37%,"77,871",460,"12,266",884660
51,Realm Royale,73.47%,"74,910",933,"105,440",813820
52,Tom Clancy’s Splinter Cell Blacklist,81.99%,"73,430",78,"6,146",235600
53,Next Day: Survival,62.13%,"72,801",14,"4,511",519190
54,Defiance,74.82%,"72,550",6,"12,690",224600
55,AI＊Shoujo/AI＊少女,74.01%,"72,519",55,599,1250650
56,Rend,53.97%,"72,137",0,"5,111",547860
57,"Star Wars: Battlefront 2 (Classic, 2005)",92.22%,"71,734",355,"4,789",6060
58,Resident Evil 6,78.73%,"69,374",408,"11,879",221040
59,Dead Frontier 2,69.91%,"68,291",541,"10,101",744900
60,Saints Row: The Third,94.33%,"67,941",351,"34,371",55230
61,Gears 5,65.98%,"67,398",364,"10,196",1097840
62,Resident Evil,90.07%,"66,423",167,"4,388",304240
63,Saints Row: Gat out of Hell,73.09%,"62,624",24,"5,827",301910
64,Strange Brigade,81.51%,"62,314",42,"1,956",312670
