,Name,Rating,Followers,Online,Peak,id
0,Deep Rock Galactic,95.39%,"1,346,099","5,076","36,224",548430
1,Cyberpunk 2077,75.05%,"1,177,161","8,299","1,054,388",1091500
2,Fallout 4,78.77%,"846,011","20,035","472,962",377160
3,Monster Hunter: World,83.48%,"745,080","12,485","334,684",582010
4,No Man's Sky,71.14%,"680,963","6,149","212,613",275850
5,Euro Truck Simulator 2,96.64%,"659,530","24,644","61,081",227300
6,The Forest,93.84%,"625,035","6,196","64,879",242760
7,Terraria,97.11%,"586,997","27,265","489,886",105600
8,DARK SOULS™ III,93.01%,"562,806","11,175","129,975",374320
9,Subnautica,94.91%,"546,416","2,405","51,156",264710
10,ASTRONEER,89.34%,"480,297","1,662","17,986",361420
11,The Long Dark,89.86%,"460,431","1,314","14,433",305620
12,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,560","93,701",435150
13,Stellaris,86.01%,"407,722","12,474","68,602",281990
14,The Elder Scrolls® Online,80.65%,"394,490","20,727","49,234",306130
15,7 Days to Die,86.21%,"385,713","19,069","47,025",251570
16,Far Cry® 5,78.14%,"374,607","9,298","92,445",552520
17,Rise of the Tomb Raider™,92.63%,"368,952","1,390","44,588",391220
18,Just Survive,58.66%,"362,602",1,"40,335",295110
19,Valheim,94.77%,"361,047","22,050","502,387",892970
20,Metro Exodus,86.81%,"348,587",995,"15,375",412020
21,Stranded Deep,75.03%,"331,496",550,"6,036",313120
22,Oxygen Not Included,94.72%,"330,996","7,686","27,486",457140
23,American Truck Simulator,94.81%,"315,375","5,977","19,153",270880
24,Assassin's Creed® Origins,84.92%,"310,838",884,"41,551",582160
25,Just Cause™ 3,79.83%,"302,613","1,727","23,459",225540
26,Sea of Thieves,89.02%,"296,832","13,296","66,906",1172620
27,Elite Dangerous,76.49%,"294,215","4,747","28,923",359320
28,Conan Exiles,77.48%,"277,541","9,448","53,402",440900
29,Kerbal Space Program,93.10%,"275,856","3,856","19,149",220200
30,Far Cry® 4,80.87%,"269,607",674,"16,963",298110
31,Hollow Knight,95.74%,"267,383","6,805","11,992",367520
32,Starbound,91.83%,"259,613","2,261","88,709",211820
33,BeamNG.drive,94.90%,"250,756","7,029","13,572",284160
34,Satisfactory,95.42%,"245,421","8,300","32,831",526870
35,Empyrion - Galactic Survival,79.42%,"245,220","2,940","8,829",383120
36,Shadow of the Tomb Raider: Definitive Edition,82.13%,"234,624","1,241","38,268",750920
37,Green Hell,85.30%,"230,589","1,678","20,003",815370
38,Slime Rancher,96.08%,"221,645","1,851","6,452",433340
39,Dishonored 2,85.14%,"219,057","1,623","22,411",403640
40,Subnautica: Below Zero,89.94%,"216,187","1,702","42,115",848450
41,Mad Max,89.84%,"215,925",629,"33,356",234140
42,Ori and the Blind Forest,93.70%,"213,863",109,"13,108",261570
43,BIOMUTANT,67.29%,"210,413",266,"55,048",597820
44,Far Cry® Primal,81.41%,"203,247",251,"14,783",371660
45,DEATH STRANDING,91.89%,"202,696","1,227","32,515",1190460
46,Horizon Zero Dawn™ Complete Edition,81.45%,"195,641","3,075","56,557",1151640
47,Firewatch,86.64%,"192,787",56,"17,568",383870
48,Resident Evil 7 Biohazard,92.68%,"191,836",532,"20,449",418370
49,Dragon's Dogma: Dark Arisen,87.84%,"189,412",726,"27,368",367500
50,The Solus Project,77.25%,"188,920",4,652,313630
51,Grounded,84.80%,"186,347","2,211","32,012",962130
52,Eco,80.20%,"183,837","1,425","6,964",382310
53,The Talos Principle,93.53%,"180,221",143,"4,007",257510
54,My Time At Portia,91.04%,"176,513","1,090","13,299",666140
55,Tomb Raider,95.16%,"175,016","1,040","89,538",203160
56,STAR WARS Jedi: Fallen Order™,88.86%,"171,904",913,"46,550",1172380
57,鬼谷八荒,86.35%,"170,182","1,384","184,171",1468810
58,Medieval Dynasty,89.44%,"169,428","2,141","18,738",1129580
59,The Outer Worlds,83.86%,"168,639","1,248","20,349",578650
60,Portal Knights,81.02%,"168,215",187,"6,545",374040
61,We Happy Few,73.40%,"168,153",123,"3,498",320240
62,Don't Starve,95.30%,"165,845","1,197","16,796",219740
63,Disco Elysium - The Final Cut,92.42%,"163,866","1,733","8,081",632470
64,Prey,88.44%,"161,647",633,"24,594",480490
65,INSIDE,94.26%,"161,351",69,"4,170",304430
66,Pillars of Eternity,85.98%,"158,922",739,"41,906",291650
67,Forza Horizon 4,81.51%,"157,869","6,839","40,399",1293830
69,Universe Sandbox,93.16%,"153,252",321,646,230290
70,It Takes Two,93.70%,"151,273","1,936","21,567",1426210
71,Depth,86.09%,"150,351",145,"10,916",274940
72,ENDLESS™ Legend,82.56%,"147,291",336,"10,468",289130
73,Sid Meier's Civilization®: Beyond Earth™,57.15%,"143,979",493,"86,892",65980
74,Ori and the Will of the Wisps,94.75%,"142,463",446,"34,807",1057090
75,Temtem,85.88%,"139,665",966,"39,572",745920
76,LEGO® Worlds,75.78%,"139,002",313,"4,911",332310
77,Outward,73.22%,"135,949",581,"11,296",794260
78,Fallout: New Vegas,95.09%,"135,706","7,122","51,038",22380
79,DARK SOULS™: Prepare To Die™ Edition,90.10%,"130,104",401,"11,259",211420
80,Steep™,79.99%,"125,268",99,"2,113",460920
81,Planet Explorers,62.40%,"124,383",17,"2,125",237870
82,EVERSPACE™,77.75%,"122,244",109,"1,448",396750
83,SOMA,93.76%,"120,403",104,"4,072",282140
84,Assassin’s Creed® IV Black Flag™,87.95%,"120,276",581,"16,049",242050
85,Trove,79.74%,"117,499","2,008","58,949",304050
86,DARK SOULS™ II,87.50%,"117,175",298,"79,528",236430
87,Pillars of Eternity II: Deadfire,85.08%,"117,078",913,"22,724",560130
88,The Witness,83.29%,"115,785",155,"6,185",210970
89,Avorion,88.80%,"113,920","1,561","4,533",445220
