,Name,Rating,Followers,Online,Peak,id
0,Left 4 Dead 2,96.42%,"865,195","15,517","162,399",550
1,Rust,85.93%,"856,565","102,515","245,243",252490
2,Fallout 4,78.77%,"846,011","19,297","472,962",377160
3,Dying Light: Enhanced Edition,93.98%,"603,769","4,001","45,876",239140
4,Unturned,90.52%,"508,491","20,734","63,462",304930
5,DayZ,67.69%,"477,791","23,942","45,878",221100
6,Tom Clancy’s The Division™,67.96%,"472,315",410,"114,228",365590
7,The Long Dark,89.86%,"460,431","1,204","14,433",305620
8,NieR:Automata™,81.83%,"449,074",729,"23,908",524220
9,7 Days to Die,86.21%,"385,713","17,893","47,025",251570
10,Just Survive,58.66%,"362,602",1,"40,335",295110
11,Metro Exodus,86.81%,"348,587",855,"15,375",412020
12,This War of Mine,93.16%,"344,261",605,"9,503",282070
13,Frostpunk,89.70%,"331,686","5,611","29,361",323190
14,Left 4 Dead,94.00%,"307,581",565,"30,616",500
15,They Are Billions,83.54%,"255,231","1,818","22,395",644930
16,Grim Dawn,91.74%,"223,388","2,668","61,458",219990
17,Dying Light 2 Stay Human,-,"222,355",0,34,534380
18,Mad Max,89.84%,"215,925",537,"33,356",234140
19,Plague Inc: Evolved,92.56%,"210,944",405,"17,889",246620
20,BIOMUTANT,67.29%,"210,413",263,"55,048",597820
21,DOOM Eternal,89.24%,"206,899","3,936","104,891",782330
22,Miscreated,66.36%,"206,747",181,"5,159",299740
23,Kenshi,92.95%,"204,091","2,897","10,579",233860
24,DEATH STRANDING,91.89%,"202,696","1,117","32,515",1190460
25,Horizon Zero Dawn™ Complete Edition,81.45%,"195,641","2,881","56,557",1151640
26,No More Room in Hell,88.21%,"189,082",430,"10,922",224260
27,Project Zomboid,88.24%,"185,227","5,464","7,191",108600
28,The Talos Principle,93.53%,"180,221",129,"4,007",257510
29,My Time At Portia,91.04%,"176,513","1,015","13,299",666140
30,Dirty Bomb®,80.02%,"176,211",181,"13,113",333930
31,Remnant: From the Ashes,83.26%,"169,449",647,"48,289",617290
32,ELEX,73.17%,"157,235",622,"22,969",411300
33,CODE VEIN,86.15%,"151,661",529,"33,895",678960
34,A Plague Tale: Innocence,92.08%,"151,055",174,"4,058",752590
35,Generation Zero®,64.88%,"137,603",499,"11,416",704270
