,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","24,843","247,709",218620
1,Counter-Strike: Global Offensive,87.73%,"2,944,662","516,205","1,308,963",730
2,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","99,329","3,257,248",578080
3,Grand Theft Auto V,82.79%,"2,336,535","96,794","364,548",271590
4,Deep Rock Galactic,95.39%,"1,346,099","5,076","36,224",548430
5,Dead by Daylight,81.53%,"1,298,168","57,025","105,093",381210
6,ARK: Survival Evolved,79.77%,"1,249,512","46,907","157,400",346110
7,Team Fortress 2,93.06%,"1,231,323","76,677","151,253",440
8,Cyberpunk 2077,75.05%,"1,177,161","8,299","1,054,388",1091500
9,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","46,901","201,053",359550
10,Left 4 Dead 2,96.42%,"865,195","16,002","162,399",550
11,Rust,85.93%,"856,565","106,807","245,243",252490
12,Fallout 4,78.77%,"846,011","20,035","472,962",377160
13,Mount & Blade II: Bannerlord,86.17%,"737,748","12,962","248,216",261550
14,No Man's Sky,71.14%,"680,963","6,149","212,613",275850
15,The Forest,93.84%,"625,035","6,196","64,879",242760
16,Killing Floor 2,86.81%,"617,961","2,737","69,987",232090
17,Arma 3,89.33%,"610,379","16,943","56,679",107410
18,Garry's Mod,95.76%,"605,466","32,010","73,863",4000
19,Dying Light: Enhanced Edition,93.98%,"603,769","4,505","45,876",239140
20,Subnautica,94.91%,"546,416","2,405","51,156",264710
21,Z1 Battle Royale,55.26%,"517,234",87,"151,239",433850
22,Unturned,90.52%,"508,491","18,015","63,462",304930
23,Destiny 2,84.10%,"498,711","44,840","292,513",1085660
24,Squad,86.61%,"497,710","5,636","15,338",393380
25,DayZ,67.69%,"477,791","26,132","45,878",221100
26,The Long Dark,89.86%,"460,431","1,314","14,433",305620
27,Raft,91.48%,"452,909","5,743","42,288",648800
28,Halo: The Master Chief Collection,91.63%,"450,548","8,595","161,024",976730
29,Counter-Strike: Source,94.77%,"435,159","4,046","100,056",240
30,Ring of Elysium,73.97%,"424,290",860,"63,435",755790
31,Red Dead Redemption 2,85.24%,"411,084","14,429","55,271",1174180
32,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","23,669","69,906",489830
33,Hunt: Showdown,81.16%,"396,304","14,876","32,698",594650
34,The Elder Scrolls® Online,80.65%,"394,490","20,727","49,234",306130
35,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459","1,015","45,704",460930
36,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",415,"22,614",10180
37,Far Cry® 5,78.14%,"374,607","9,298","92,445",552520
38,Chivalry: Medieval Warfare,81.24%,"367,886",199,"25,145",219640
39,theHunter: Call of the Wild™,84.57%,"356,627","2,448","18,081",518790
40,CS:GO Player Profiles,88.80%,"355,600",5,193,413850
41,Kingdom Come: Deliverance,80.72%,"348,750","2,402","96,069",379430
42,Metro Exodus,86.81%,"348,587",995,"15,375",412020
43,Paladins®,85.03%,"331,872","10,459","60,743",444090
44,Stranded Deep,75.03%,"331,496",550,"6,036",313120
45,DOOM,93.94%,"327,579","1,827","44,271",379720
46,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,709","287,411",72850
47,Left 4 Dead,94.00%,"307,581",553,"30,616",500
48,Portal 2,97.64%,"303,997","2,382","98,460",620
49,Sea of Thieves,89.02%,"296,832","13,296","66,906",1172620
50,Elite Dangerous,76.49%,"294,215","4,747","28,923",359320
51,Scrap Mechanic,90.83%,"289,374","2,794","46,643",387990
52,Heroes & Generals,67.21%,"287,451","1,707","21,026",227940
53,Borderlands 2,92.54%,"287,122","3,794","124,678",49520
54,Planet Coaster,89.16%,"274,862","2,061","21,971",493340
55,Insurgency,90.40%,"271,988",680,"121,575",222880
56,Far Cry® 4,80.87%,"269,607",674,"16,963",298110
57,Evolve Stage 2,67.03%,"263,159",18,"51,127",273350
58,Black Squad,75.99%,"260,757","1,167","15,939",550650
59,Call of Duty®: Black Ops III,75.70%,"260,696","4,744","63,681",311210
60,BeamNG.drive,94.90%,"250,756","7,029","13,572",284160
61,Warface,67.77%,"247,197","2,245","13,867",291480
62,Satisfactory,95.42%,"245,421","8,300","32,831",526870
63,Empyrion - Galactic Survival,79.42%,"245,220","2,940","8,829",383120
64,Call of Duty®: WWII,62.66%,"244,891",211,"19,406",476600
65,Hurtworld,75.07%,"243,334",273,"13,333",393420
66,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",572,"29,498",637650
67,GTFO,86.64%,"236,110",497,"5,247",493520
68,Black Mesa,94.09%,"236,029",859,"7,158",362890
69,Green Hell,85.30%,"230,589","1,678","20,003",815370
70,Apex Legends™,88.13%,"229,969","128,770","330,879",1172470
71,Dying Light 2 Stay Human,-,"222,355",0,34,534380
