,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","26,892","247,709",218620
1,Counter-Strike: Global Offensive,87.73%,"2,944,662","484,514","1,308,963",730
2,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","88,206","3,257,248",578080
3,Dota 2,83.55%,"1,887,003","371,527","1,295,114",570
4,Dead by Daylight,81.53%,"1,298,168","55,425","105,093",381210
5,Team Fortress 2,93.06%,"1,231,323","78,729","151,253",440
6,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","44,070","201,053",359550
7,Left 4 Dead 2,96.42%,"865,195","15,789","162,399",550
8,Rust,85.93%,"856,565","104,530","245,243",252490
9,Warframe,89.62%,"755,251","41,420","189,837",230410
10,Rocket League®,88.30%,"618,648","61,152","147,632",252950
11,Killing Floor 2,86.81%,"617,961","2,767","69,987",232090
12,Sid Meier’s Civilization® VI,81.65%,"616,045","29,701","162,657",289070
13,Fall Guys: Ultimate Knockout,82.27%,"615,530","11,915","172,213",1097150
14,Arma 3,89.33%,"610,379","15,892","56,679",107410
15,Garry's Mod,95.76%,"605,466","30,236","73,863",4000
16,Dying Light: Enhanced Edition,93.98%,"603,769","4,235","45,876",239140
17,Terraria,97.11%,"586,997","26,238","489,886",105600
18,Z1 Battle Royale,55.26%,"517,234",84,"151,239",433850
19,Don't Starve Together,95.13%,"505,458","11,722","68,418",322330
20,Tom Clancy’s The Division™,67.96%,"472,315",426,"114,228",365590
21,Raft,91.48%,"452,909","5,392","42,288",648800
22,Halo: The Master Chief Collection,91.63%,"450,548","8,687","161,024",976730
23,Hunt: Showdown,81.16%,"396,304","13,916","32,698",594650
24,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459",968,"45,704",460930
25,7 Days to Die,86.21%,"385,713","18,350","47,025",251570
26,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",396,"22,614",10180
27,Valheim,94.77%,"361,047","20,902","502,387",892970
28,theHunter: Call of the Wild™,84.57%,"356,627","2,305","18,081",518790
29,CS:GO Player Profiles,88.80%,"355,600",5,193,413850
30,War Thunder,78.91%,"337,799","21,504","63,406",236390
31,Paladins®,85.03%,"331,872","10,089","60,743",444090
32,World of Warships,80.32%,"321,709","5,583","379,096",552990
33,Left 4 Dead,94.00%,"307,581",567,"30,616",500
34,Sea of Thieves,89.02%,"296,832","12,359","66,906",1172620
35,Elite Dangerous,76.49%,"294,215","4,567","28,923",359320
36,Scrap Mechanic,90.83%,"289,374","2,506","46,643",387990
37,Borderlands 2,92.54%,"287,122","3,618","124,678",49520
38,Conan Exiles,77.48%,"277,541","9,184","53,402",440900
40,Among Us,92.14%,"273,036","10,127","447,476",945360
41,Insurgency,90.40%,"271,988",622,"121,575",222880
42,Far Cry® 4,80.87%,"269,607",627,"16,963",298110
43,Evolve Stage 2,67.03%,"263,159",16,"51,127",273350
44,Starbound,91.83%,"259,613","2,188","88,709",211820
45,FOR HONOR™,66.32%,"256,503","3,759","225,831",304390
46,Risk of Rain 2,95.19%,"248,653","6,169","71,548",632360
47,Warface,67.77%,"247,197","2,068","13,867",291480
48,Path of Exile,89.92%,"241,945","35,108","157,103",238960
49,FINAL FANTASY XV WINDOWS EDITION,80.15%,"240,939",572,"29,498",637650
50,GTFO,86.64%,"236,110",470,"5,247",493520
51,Dungeon Defenders II,75.26%,"234,496",805,"18,785",236110
52,HITMAN™ 2,89.37%,"231,772","1,410","361,001",863550
53,Green Hell,85.30%,"230,589","1,634","20,003",815370
54,Borderlands: The Pre-Sequel,79.47%,"219,143",489,"68,238",261640
55,Phasmophobia,96.21%,"216,528","15,261","112,717",739630
56,KurtzPel,62.65%,"214,588",363,"11,937",844870
57,PlanetSide 2,80.97%,"212,979","2,326","29,676",218230
58,Insurgency: Sandstorm,83.26%,"211,997","2,305","14,606",581320
