,Name,Rating,Followers,Online,Peak,id
0,PAYDAY 2,87.79%,"7,544,201","24,843","247,709",218620
1,Counter-Strike: Global Offensive,87.73%,"2,944,662","516,205","1,308,963",730
2,PUBG: BATTLEGROUNDS,54.52%,"2,847,944","99,329","3,257,248",578080
3,Grand Theft Auto V,82.79%,"2,336,535","96,794","364,548",271590
4,Dota 2,83.55%,"1,887,003","381,069","1,295,114",570
5,Dead by Daylight,81.53%,"1,298,168","57,025","105,093",381210
6,ARK: Survival Evolved,79.77%,"1,249,512","46,907","157,400",346110
7,Team Fortress 2,93.06%,"1,231,323","76,677","151,253",440
8,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","46,901","201,053",359550
9,Left 4 Dead 2,96.42%,"865,195","16,002","162,399",550
10,Rust,85.93%,"856,565","106,807","245,243",252490
11,Warframe,89.62%,"755,251","43,077","189,837",230410
12,Monster Hunter: World,83.48%,"745,080","12,485","334,684",582010
13,Mount & Blade II: Bannerlord,86.17%,"737,748","12,962","248,216",261550
14,No Man's Sky,71.14%,"680,963","6,149","212,613",275850
15,Euro Truck Simulator 2,96.64%,"659,530","24,644","61,081",227300
16,Rocket League®,88.30%,"618,648","64,473","147,632",252950
17,Killing Floor 2,86.81%,"617,961","2,737","69,987",232090
18,Sid Meier’s Civilization® VI,81.65%,"616,045","30,726","162,657",289070
19,Fall Guys: Ultimate Knockout,82.27%,"615,530","11,836","172,213",1097150
20,Arma 3,89.33%,"610,379","16,943","56,679",107410
21,Garry's Mod,95.76%,"605,466","32,010","73,863",4000
22,Terraria,97.11%,"586,997","27,265","489,886",105600
23,Stardew Valley,96.93%,"583,057","31,935","94,879",413150
24,DARK SOULS™ III,93.01%,"562,806","11,175","129,975",374320
25,Subnautica,94.91%,"546,416","2,405","51,156",264710
26,Battlerite,83.09%,"526,206",378,"45,145",504370
27,Z1 Battle Royale,55.26%,"517,234",95,"151,239",433850
28,Unturned,90.52%,"508,491","18,015","63,462",304930
29,Don't Starve Together,95.13%,"505,458","12,232","68,418",322330
30,Squad,86.61%,"497,710","5,636","15,338",393380
31,Human: Fall Flat,93.25%,"488,573","1,487","127,517",477160
32,ASTRONEER,89.34%,"480,297","1,662","17,986",361420
33,DayZ,67.69%,"477,791","26,132","45,878",221100
34,Tom Clancy’s The Division™,67.96%,"472,315",458,"114,228",365590
35,Total War: THREE KINGDOMS,69.70%,"461,869","3,067","192,298",779340
36,Raft,91.48%,"452,909","5,743","42,288",648800
37,Halo: The Master Chief Collection,91.63%,"450,548","8,595","161,024",976730
38,Counter-Strike: Source,94.77%,"435,159","4,046","100,056",240
39,Ring of Elysium,73.97%,"424,290",860,"63,435",755790
40,Red Dead Redemption 2,85.24%,"411,084","14,429","55,271",1174180
41,Stellaris,86.01%,"407,722","12,474","68,602",281990
42,Hunt: Showdown,81.16%,"396,304","14,876","32,698",594650
43,The Elder Scrolls® Online,80.65%,"394,490","20,727","49,234",306130
44,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459","1,015","45,704",460930
45,7 Days to Die,86.21%,"385,713","19,069","47,025",251570
46,Total War: WARHAMMER II,92.11%,"379,908","25,772","84,920",594570
47,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",415,"22,614",10180
48,Far Cry® 5,78.14%,"374,607","9,298","92,445",552520
49,Rise of the Tomb Raider™,92.63%,"368,952","1,390","44,588",391220
50,Chivalry: Medieval Warfare,81.24%,"367,886",194,"25,145",219640
51,Just Survive,58.66%,"362,602",1,"40,335",295110
52,Valheim,94.77%,"361,047","22,050","502,387",892970
53,theHunter: Call of the Wild™,84.57%,"356,627","2,448","18,081",518790
54,CS:GO Player Profiles,88.80%,"355,600",5,193,413850
55,War Thunder,78.91%,"337,799","23,288","63,406",236390
56,Paladins®,85.03%,"331,872","10,459","60,743",444090
57,Stranded Deep,75.03%,"331,496",550,"6,036",313120
58,Factorio,97.37%,"331,424","12,446","34,700",427520
59,DOOM,93.94%,"327,579","1,827","44,271",379720
60,Total War: WARHAMMER,76.75%,"323,369",794,"113,019",364360
61,World of Warships,80.32%,"321,709","5,778","379,096",552990
62,American Truck Simulator,94.81%,"315,375","5,977","19,153",270880
63,Assassin's Creed® Origins,84.92%,"310,838",884,"41,551",582160
64,Left 4 Dead,94.00%,"307,581",553,"30,616",500
65,Just Cause™ 3,79.83%,"302,613","1,727","23,459",225540
66,Northgard,86.40%,"301,336","2,253","15,592",466560
67,Space Engineers,87.12%,"301,241","7,889","23,888",244850
68,Sea of Thieves,89.02%,"296,832","13,296","66,906",1172620
69,Watch_Dogs® 2,81.33%,"296,713",300,"18,138",447040
70,Elite Dangerous,76.49%,"294,215","4,747","28,923",359320
71,SCUM,72.18%,"294,185","10,238","68,322",513710
