,Name,Rating,Followers,Online,Peak,id
0,NieR:Automata™,81.83%,"449,074",711,"23,908",524220
1,Devil May Cry 5,92.69%,"218,904",493,"88,894",601150
2,KurtzPel,62.65%,"214,588",362,"11,937",844870
3,NieR Replicant™ ver.1.22474487139...,83.86%,"108,420",474,"28,684",1113560
4,Bayonetta,89.65%,"102,934",85,"4,194",460790
5,ICEY,89.02%,"94,980",3,"3,240",553640
6,SCARLET NEXUS,83.32%,"86,427",388,"14,516",775500
7,Devil May Cry 4 Special Edition,88.21%,"54,300",68,"4,500",329050
8,Vanquish,85.72%,"47,717",20,"2,418",460810
9,Moon Hunters,76.40%,"38,819",45,324,320040
10,Devil May Cry HD Collection,87.19%,"34,812",80,591,631510
11,DmC: Devil May Cry,91.56%,"32,797",51,"5,757",220440
12,METAL GEAR RISING: REVENGEANCE,91.30%,"31,310",147,"12,205",235460
13,Soulworker,74.80%,"25,195","1,799","10,332",1377580
14,ULTRAKILL,96.48%,"22,470",797,"2,065",1229490
15,Castlevania: Lords of Shadow – Ultimate Edition,78.18%,"20,680",36,"1,585",234080
16,Vigil: The Longest Night,85.37%,"20,407",56,"1,448",720560
17,SINNER: Sacrifice for Redemption,65.14%,"20,291",1,50,691280
18,The Initial,74.08%,"18,164",1,264,665090
19,Mahou Arms,80.40%,"17,826",0,103,1165870
20,Anima: Gate of Memories,64.68%,"17,779",1,145,380750
21,Darksiders™,87.07%,"15,282",60,"3,929",50620
22,Onechanbara Z2: Chaos,73.24%,"13,852",0,245,446390
23,[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ,72.94%,"13,693",59,"1,603",1580780
24,Samurai Jack: Battle Through Time,81.55%,"13,381",4,665,1150590
25,Killer is Dead - Nightmare Edition,73.91%,"12,983",14,"4,255",261110
26,Blades of Time,77.24%,"12,771",0,247,208670
27,GOCCO OF WAR,84.05%,"12,639",2,415,346730
28,Mitsurugi Kamui Hikae,78.09%,"11,839",2,188,263620
29,Redeemer: Enhanced Edition,81.56%,"11,654",5,802,447290
30,City of Brass,76.04%,"10,917",0,136,301840
31,Devil May Cry 4,87.34%,"10,743",10,501,45700
32,Ocean's Heart,78.57%,"9,025",22,200,1393750
33,Mr. Shifty,83.75%,"8,705",0,349,489140
34,ELDERBORN,82.88%,"8,576",41,391,727850
35,Lakeview Cabin Collection,88.60%,"8,336",4,980,361990
36,Devil May Cry® 3 Special Edition,58.68%,"8,282",8,145,6550
37,Assault Spy,85.41%,"8,247",1,67,767930
38,Dark Fantasy Warriors,58.49%,"8,218",0,3,1488820
39,Catmaze,78.17%,"7,167",1,42,620220
40,Devil's Hunt,42.09%,"7,029",6,120,887720
41,Borderlands Game of the Year Enhanced,83.80%,"6,918",522,"26,446",729040
42,Desktop Kanojo,82.72%,"6,775",71,600,1284820
43,Magical Battle Festa,61.44%,"6,556",0,117,292480
46,Heart&Slash,76.70%,"6,435",2,110,326840
47,The Dishwasher: Vampire Smile,88.33%,"6,296",4,100,268990
48,Mighty Goose,78.62%,"5,518",3,283,1299360
49,Sex with Stalin,76.61%,"5,219",11,230,1085750
50,Fashion Business,66.41%,"5,216",42,201,1364140
51,Son of Nor,60.27%,"5,135",1,56,264000
52,Reptiles: In Hunt,50.00%,"5,118",2,25,897380
54,Fairy Bloom Freesia,80.92%,"4,967",0,174,214590
55,Elmarion: Dragon's Princess,73.08%,"4,846",0,16,1468040
56,The Wonderful 101: Remastered,82.43%,"4,577",3,294,1190400
57,YAIBA: NINJA GAIDEN Z,62.42%,"4,473",1,121,252230
58,Nelo,68.57%,"4,465",0,17,537000
59,Olija,85.11%,"4,248",2,71,1297330
60,Half-Life: Alyx - Final Hours,89.25%,"4,011",0,955,1361700
62,Rosenkreuzstilette,74.13%,"3,966",0,29,564150
63,CosmicBreak Universal,57.81%,"3,887",50,"2,642",1140620
64,BORIS THE ROCKET,86.02%,"3,844",0,40,1329080
65,Ashes of Oahu,58.87%,"3,827",0,9,671600
66,Aztez,73.96%,"3,800",0,31,244750
67,Adventure Time: Pirates of the Enchiridion,81.24%,"3,784",1,59,728240
