,Name,Rating,Followers,Online,Peak,id
0,Halo: The Master Chief Collection,91.63%,"450,593","6,067","161,024",976730
1,The Elder Scrolls V: Skyrim,93.81%,"310,711","5,630","287,411",72850
3,Borderlands 3,82.52%,"148,744","10,371","93,820",397540
4,Batman™: Arkham Knight,79.92%,"142,278","1,278","27,406",208650
5,DARK SOULS™ II,87.50%,"117,180",244,"79,528",236430
6,Homeworld Remastered Collection,85.70%,"115,604",166,"17,790",244160
7,Teardown,92.83%,"114,131","1,194","8,339",1167630
8,FaceRig,80.12%,"113,124","2,846","3,554",274920
9,Wolfenstein: The New Order,89.00%,"111,202",730,"11,986",201810
10,South Park™: The Stick of Truth™,95.69%,"108,060",165,"34,811",213670
11,Broforce,95.26%,"102,731",294,"3,988",274190
13,Control Ultimate Edition,86.94%,"88,944",742,"9,193",870780
14,Watch_Dogs™,71.22%,"87,863",200,"47,887",243470
15,Outer Wilds,92.63%,"87,735",440,"4,463",753640
17,Age of Mythology: Extended Edition,89.26%,"84,138","1,381","11,074",266840
18,"Star Wars: Battlefront 2 (Classic, 2005)",92.22%,"71,734",292,"4,789",6060
19,Wargame: Red Dragon,86.93%,"58,455","1,065","4,779",251060
20,STAR WARS™ Empire at War - Gold Pack,95.06%,"57,011","1,472","5,716",32470
21,FINAL FANTASY VII,90.79%,"48,603",324,"6,424",39140
22,Project Wingman,91.29%,"45,197",150,"2,113",895870
23,Rise of Nations: Extended Edition,91.17%,"42,213",678,"2,734",287450
25,CPUCores :: Maximize Your FPS,73.02%,"40,937",594,"6,139",384300
26,The Henry Stickmin Collection,96.46%,"39,438",237,"2,812",1089980
27,I Am Bread,75.63%,"36,868",4,453,327890
28,UnEpic,89.38%,"35,335",27,"3,095",233980
29,Tales of Symphonia,81.97%,"34,771",73,"1,414",372360
30,STAR WARS™ Republic Commando™,92.69%,"34,576",85,"1,267",6000
31,ORION: Prelude,73.90%,"33,363",5,"7,944",104900
32,Company of Heroes - Legacy Edition,90.33%,"32,717",126,"3,344",4560
33,Men of War: Assault Squad,85.11%,"31,975",87,"1,490",64000
34,FINAL FANTASY VIII,86.15%,"31,631",120,"4,470",39150
35,Shenmue I & II,84.27%,"31,307",28,"1,554",758330
