,Name,Rating,Followers,Online,Peak,id
0,Mount & Blade II: Bannerlord,86.17%,"737,748","12,077","248,216",261550
1,Sid Meier’s Civilization® VI,81.65%,"616,045","28,878","162,657",289070
2,Total War: THREE KINGDOMS,69.70%,"461,869","2,896","192,298",779340
3,Chivalry: Medieval Warfare,81.24%,"367,886",171,"25,145",219640
4,Kingdom Come: Deliverance,80.72%,"348,750","2,148","96,069",379430
5,War Thunder,78.91%,"337,799","20,929","63,406",236390
6,World of Warships,80.32%,"321,709","5,422","379,096",552990
7,Assassin's Creed® Origins,84.92%,"310,838",828,"41,551",582160
8,Totally Accurate Battle Simulator,96.25%,"296,159","2,166","13,674",508440
9,Heroes & Generals,67.21%,"287,451","1,416","21,026",227940
10,Assassin's Creed® Odyssey,87.59%,"277,672","2,805","62,069",812140
11,Hearts of Iron IV,90.59%,"272,158","28,624","46,806",394360
12,Call of Duty®: WWII,62.66%,"244,891",202,"19,406",476600
13,Life is Feudal: Your Own,65.03%,"217,116",431,"7,896",290080
14,Hell Let Loose,81.18%,"196,146","6,271","14,190",686810
15,Age of Empires II (2013),94.11%,"186,343","4,642","27,927",221380
16,Sid Meier's Civilization® V,94.95%,"178,879","18,369","91,363",8930
17,Crusader Kings III,91.87%,"178,033","12,307","98,872",1158310
18,Assassin's Creed® Unity,71.33%,"172,839",246,"12,180",289650
19,Verdun,83.99%,"171,638",208,"4,541",242860
20,MORDHAU,81.35%,"171,629","1,275","60,204",629760
21,Assassin's Creed® Syndicate,77.22%,"170,210",203,"4,729",368500
22,Medieval Dynasty,89.43%,"169,428","1,907","18,738",1129580
23,Mount & Blade: Warband,96.34%,"167,408","3,458","33,054",48700
24,Shadow Tactics: Blades of the Shogun,94.07%,"166,418",165,"5,037",418240
25,Europa Universalis IV,84.74%,"165,520","18,519","48,165",236850
26,Age of Empires II: Definitive Edition,92.49%,"163,796","18,422","38,725",813780
27,World of Guns: Gun Disassembly,81.48%,"153,966",112,"1,597",262410
29,Post Scriptum,74.33%,"151,255",400,"7,753",736220
30,A Plague Tale: Innocence,92.08%,"151,055",174,"4,058",752590
31,Nioh: Complete Edition / 仁王 Complete Edition,79.08%,"144,514",372,"10,649",485510
32,Rising Storm 2: Vietnam,84.31%,"142,087","1,011","24,518",418460
33,Banished,88.45%,"139,043","1,009","24,636",242920
34,Company of Heroes 2,77.02%,"135,908","6,038","164,688",231430
35,Total War™: ROME II - Emperor Edition,78.54%,"130,671","5,397","118,240",214950
36,Dawn of Man,84.96%,"127,454",793,"23,864",858810
37,Total War: ATTILA,78.38%,"121,279","1,988","26,346",325610
