,Name,Rating,Followers,Online,Peak,id
0,Break the G̵amè̢̢͘,72.17%,"169,159",0,165,739540
1,SUPERHOT,87.82%,"137,038",48,"5,584",322500
2,Mini Metro,93.84%,"50,113",354,"2,104",287980
3,Loop Hero,91.25%,"49,707","1,088","51,156",1282730
4,ISLANDERS,92.48%,"46,625",164,"1,783",1046030
5,911 Operator,86.49%,"45,743",86,"1,955",503560
6,Superliminal,91.96%,"42,767",149,"1,439",1049410
7,LIMBO,91.77%,"41,578",53,"27,466",48000
8,Bad North: Jotunn Edition,87.94%,"39,750",50,"1,136",688420
9,Dorfromantik,93.69%,"39,479",656,"7,101",1455840
10,Baba Is You,95.52%,"34,960",274,"1,533",736260
11,Per Aspera,69.07%,"30,952",67,"4,342",803050
12,Screeps: World,85.52%,"30,828",66,359,464350
13,Hidden Folks,93.52%,"29,422",22,763,435400
14,EDGE,88.02%,"26,723",0,363,38740
15,SUPERHOT VR,73.96%,"23,063",88,839,617830
16,Mini Motorways,91.72%,"21,443","3,941","9,914",1127500
17,Draw & Guess,83.34%,"19,037","1,169","41,766",1483870
18,Antichamber,92.65%,"17,817",18,"2,369",219890
19,112 Operator,83.60%,"16,542",59,"1,805",793460
20,Manifold Garden,91.77%,"15,596",19,326,473950
21,Minimum,59.04%,"14,610",0,"1,960",214190
22,The Pedestrian,93.21%,"14,261",4,170,466630
23,Democracy 4,81.45%,"13,967",74,699,1410710
24,Taur,76.76%,"12,874",5,666,1227780
25,The Battle of Polytopia,90.96%,"12,306",133,966,874390
26,POLYGON: Multiplayer Shooter,68.68%,"11,930",188,470,1241100
27,Reigns: Game of Thrones,73.74%,"11,887",5,515,897820
28,Absolute Drift,84.95%,"11,803",6,352,320140
29,SUPERHOT: MIND CONTROL DELETE,83.23%,"10,634",57,"3,746",690040
30,shapez.io,94.02%,"10,517",596,"2,622",1318690
31,N++ (NPLUSPLUS),90.35%,"10,240",39,522,230270
32,LEGO® Builder's Journey,74.81%,"10,044",12,727,1544360
33,NIMBY Rails,85.52%,"9,665",126,834,1134710
34,ICBM,86.85%,"9,585",41,700,1178220
35,Minit,85.74%,"9,396",6,251,609490
36,Omno,88.96%,"8,763",27,261,969760
37,LYNE,92.90%,"8,552",11,239,266010
38,NaissanceE,79.40%,"8,221",3,230,265690
39,HellCat,78.71%,"7,993",0,11,864860
40,Super Hexagon,94.59%,"7,757",22,"2,650",221640
41,Hook,93.89%,"7,608",1,261,367580
42,Transport INC,72.85%,"7,525",16,496,936500
43,Thomas Was Alone,91.25%,"7,267",3,"1,072",220780
44,Mind Scanners,78.04%,"7,240",21,174,1389550
45,VVVVVV,93.17%,"7,157",17,"2,174",70300
46,Stone Story RPG,84.70%,"6,865",13,739,603390
47,Red Trigger,85.85%,"6,696",3,298,491130
48,Fingerbones,76.14%,"6,685",2,177,391270
49,NewCity,76.95%,"6,654",5,92,1067860
50,The Unfinished Swan,78.61%,"6,568",2,121,1206430
51,Warcube,83.26%,"6,452",0,121,505060
52,KNACK!,66.60%,"6,419",0,5,802810
53,ASTRAL,53.14%,"6,380",0,9,703600
54,Blue Fire,76.33%,"6,063",68,298,1220150
56,Rail Route,85.99%,"5,800",127,461,1124180
57,Sudoku Killer / 杀手数独,79.37%,"5,790",2,19,861270
58,TRI: Of Friendship and Madness,81.14%,"5,776",1,46,293660
59,Virtual Cottage,93.78%,"5,554",187,"1,801",1369320
60,Hidden Through Time,89.02%,"5,289",12,229,524910
61,Gorilla Tag,93.50%,"5,225",221,534,1533390
62,klocki,93.33%,"5,213",0,438,499440
63,No Longer Home,78.40%,"4,991",4,21,651490
64,Neon Beats,92.88%,"4,786",5,210,1064610
66,Escape the Game,80.14%,"4,741",0,107,542310
68,Melvor Idle,89.52%,"4,632","2,769","6,267",1267910
69,64.0,86.53%,"4,612",3,60,578850
70,OVIVO,83.23%,"4,485",0,72,597700
71,It came from space and ate our brains,77.32%,"4,267",0,190,342620
72,Zenge,91.16%,"4,205",1,107,461840
73,STATIONflow,81.66%,"4,132",5,306,1122120
74,Doodle God,73.15%,"4,057",47,812,348360
75,The Invisible Hand,75.20%,"3,994",1,157,628200
76,KIDS,79.35%,"3,966",1,75,793370
77,Zup! 2,92.20%,"3,944",2,376,562220
78,Intralism,84.88%,"3,909",7,"1,854",513510
79,140,89.24%,"3,839",2,551,242820
80,FRAMED Collection,87.65%,"3,810",3,145,322450
81,Word Game: Episode 0,93.93%,"3,749",7,412,1507970
82,Detective Di: The Silk Rose Murders,85.58%,"3,706",0,140,792040
83,Murder House,90.78%,"3,645",4,119,1064460
84,Zup!,91.35%,"3,613",1,"1,029",533300
85,Kairo,71.00%,"3,459",0,82,233230
86,Filament,86.57%,"3,306",16,279,1137350
87,Circuits,85.45%,"3,288",0,248,282760
88,Hexcells,93.04%,"3,271",6,384,265890
89,INVERSUS Deluxe,82.42%,"3,265",0,65,432980
91,Untrusted,80.35%,"3,186",6,335,1502660
92,Deisim,85.05%,"3,186",0,20,525680
94,A Town Uncovered,79.34%,"3,056",12,75,1330190
95,Sudoku Universe / 数独宇宙,90.03%,"3,042",16,232,733070
96,Bars and Balance,76.19%,"2,983",0,5,731940
97,Osmos,83.46%,"2,930",3,486,29180
98,PaperCraft,73.19%,"2,907",0,3,1543820
99,Infinitode 2 - Infinite Tower Defense,81.86%,"2,870",109,"1,022",937310
