,Name,Rating,Followers,Online,Peak,id
0,Need for Speed™ Heat,80.80%,"56,595","2,741","9,603",1222680
1,SimplePlanes,89.50%,"47,931",202,885,397340
2,Need For Speed: Hot Pursuit,80.63%,"44,733",94,"3,005",47870
3,Need for Speed™ Most Wanted,76.76%,"26,028",154,"1,964",1262560
4,Rustler,74.01%,"22,227",5,225,844260
5,GRIP: Combat Racing,82.15%,"22,088",20,622,396900
6,Heavy Metal Machines,72.07%,"18,921",10,442,331360
7,Gas Guzzlers Extreme,83.27%,"12,563",3,355,243800
8,Need for Speed™ Payback,83.76%,"11,745",705,"1,499",1262580
9,Need for Speed™ Hot Pursuit Remastered,75.63%,"11,248",130,983,1328660
10,Need for Speed™,69.17%,"10,531",309,"1,260",1262540
11,Pacer,70.66%,"7,389",2,122,389670
12,Need for Speed™ Rivals,70.83%,"5,999",59,415,1262600
13,BallisticNG,88.63%,"5,800",3,113,473770
14,Carmageddon: Max Damage,73.83%,"5,646",21,593,505170
16,Impulse of War,63.83%,"5,220",0,241,520860
17,Crashday Redline Edition,84.26%,"5,060",6,264,508980
18,Diesel Guns,70.26%,"5,014",0,12,355400
19,Garfield Kart,86.31%,"4,738",83,186,362930
20,Dieselpunk Wars,68.72%,"4,530",2,51,952240
21,FlatOut 2™,92.70%,"4,280",111,397,2990
22,GENSOU Skydrift,83.39%,"4,085",10,172,1065260
23,墲人之境：探索 - 1V4古墓对决,79.82%,"3,777",6,"1,399",1242700
24,FlatOut: Ultimate Carnage,82.62%,"3,776",31,168,12360
25,Rude Racers: 2D Combat Racing,77.52%,"3,218",0,18,1099440
26,FlatOut,88.99%,"3,060",19,84,6220
27,BlazeRush,83.63%,"3,039",9,181,302710
28,Shipped,90.56%,"2,681",0,66,1037190
29,Crash Drive 2,84.08%,"2,502",3,"5,214",343440
30,Vangers,85.29%,"2,455",6,73,264080
31,V-Racer Hoverbike,82.50%,"2,383",0,12,668430
32,FAST & FURIOUS CROSSROADS,40.41%,"2,130",0,54,678030
33,SkyDrift,83.85%,"2,020",0,186,91100
34,Post Apocalyptic Mayhem,80.64%,"1,894",3,"2,608",91900
35,Zombie Derby,75.14%,"1,792",0,8,831770
36,Initial Drift Online,78.54%,"1,787",7,71,1456200
37,Carmageddon 2: Carpocalypse Now,82.53%,"1,648",6,85,282030
38,Auto Age: Standoff,64.75%,"1,540",3,72,458680
39,J15 Jet Fighter VR (歼15舰载机),50.86%,"1,497",0,5,880200
41,Carmageddon Max Pack,83.62%,"1,447",4,61,282010
42,Crash Time 2,55.10%,"1,445",2,579,11390
43,Dieselpunk Wars Prologue,70.77%,"1,393",3,97,1275590
44,Dash Dash World,75.47%,"1,364",1,24,1159860
45,Touring Karts,75.64%,"1,297",0,12,1088950
46,Danger Zone,65.03%,"1,247",0,52,604740
48,Flatout 3: Chaos & Destruction,18.25%,"1,148",5,47,201510
49,Badland Bandits,45.03%,"1,144",0,67,378480
50,Darkwind: War on Wheels,48.41%,"1,138",2,159,295710
51,Rage of Car Force: Car Crashing Games,73.20%,"1,135",10,178,616700
52,Hashiriya Drifter-Online Drift Racing Multiplayer (DRIFT/DRAG/RACING),69.06%,"1,127",13,132,1336560
53,Bloody Rally Show,84.37%,"1,111",1,27,926860
54,Death Rally,67.58%,"1,104",1,"3,351",108700
55,Nightwolf: Survive the Megadome,71.84%,955,0,8,760050
56,Carmageddon TDR 2000,68.94%,953,0,51,331650
57,Quantum Rush Champions,55.66%,908,0,631,317440
58,Rocket Assault,86.40%,907,1,92,880730
59,Tinker Racers,81.20%,896,0,12,1234620
60,Pocket Cars,81.56%,883,0,10,1170720
61,CrashMetal - Cyberpunk,59.63%,860,0,23,1490130
62,Nickelodeon Kart Racers 2: Grand Prix,74.38%,836,7,46,1383960
63,CyberTaxi,75.18%,760,0,6,1420850
64,Mini Motor Racing X,81.00%,717,1,18,1303990
65,Gas Guzzlers: Combat Carnage,77.01%,703,1,16,596620
66,ShockRods,68.18%,686,0,23,647640
69,Engine Evolution,62.64%,617,3,49,1265230
70,Crazy Derby Racing,53.59%,611,0,2,1333270
71,Minit Fun Racer,85.35%,570,1,36,1503530
72,AI Drone Simulator,85.56%,527,8,64,1608560
73,Crash Drive 3,82.44%,518,6,24,346820
74,Wasteland Angel,56.37%,513,0,9,46520
75,Super Dirt Racers,74.93%,512,1,44,1528240
76,Gripper: Prologue,66.11%,493,0,16,1337240
77,Extreme-G 2,55.42%,439,0,30,582260
78,Kandidatos Kart,84.12%,431,0,20,1415140
79,Road Rage,41.93%,429,0,6,499210
80,Iron Madness,49.61%,420,0,19,442220
81,Clutch,64.50%,412,0,11,35310
82,Chickens Madness,50.00%,392,0,4,645650
83,Street Heat,64.06%,378,0,13,744040
85,Road Z : The Last Drive,52.20%,352,0,12,1357410
86,Mad Tracks,80.14%,347,0,13,1202970
87,Lost Wing,73.75%,339,0,10,556960
88,Skydrift Infinity,76.65%,335,2,17,827330
89,GRAL,66.76%,320,0,4,718020
90,Drive,58.97%,315,0,4,993840
91,Car Constructor,60.37%,307,2,11,1530890
92,Slick Racing Game,66.27%,288,2,29,1571950
93,Crystal Chasers League,79.71%,281,0,8,1375650
95,MiniTracks,71.78%,266,0,8,808880
96,SEQUENCE STORM,86.18%,263,1,16,630640
98,PRO DRIFT RELOADED 2020,35.65%,246,0,137,710640
99,Superstar Racing,56.44%,243,8,60,1488380
