,Name,Rating,Followers,Online,Peak,id
1,Gang Beasts,75.42%,"232,178",496,"3,062",285900
2,KurtzPel,62.65%,"214,588",356,"11,937",844870
3,TEKKEN 7,81.66%,"166,853","3,489","18,966",389730
4,DRAGON BALL FighterZ,88.11%,"166,488","3,416","44,303",678950
5,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,88.75%,"162,979",883,"7,185",349040
6,Castle Crashers®,94.63%,"146,567",548,"16,013",204360
7,Batman™: Arkham Knight,79.91%,"142,276","1,027","27,406",208650
8,DRAGON BALL XENOVERSE 2,85.07%,"136,669",810,"19,416",454650
9,RWBY: Grimm Eclipse,79.97%,"136,592",15,"3,298",418340
10,JUMP FORCE,71.10%,"118,753",279,"9,885",816020
11,DRAGON BALL Z: KAKAROT,90.86%,"104,226","1,351","25,852",851850
12,Bayonetta,89.65%,"102,934",79,"4,194",460790
13,DRAGON BALL XENOVERSE,86.44%,"97,809",45,"22,850",323470
14,Lost Castle / 失落城堡,86.44%,"96,912",68,"4,701",434650
15,Yakuza 0,92.61%,"77,091","1,204","8,985",638970
16,DEAD OR ALIVE 5 Last Round: Core Fighters,64.88%,"65,158",27,"2,827",311730
17,SOULCALIBUR VI,79.34%,"64,911",421,"14,684",544750
18,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,82.03%,"61,835",126,"3,878",278080
19,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,014",22,"1,088",502800
20,GrandChase,55.07%,"58,440","13,290","79,883",985810
21,Devil May Cry 4 Special Edition,88.21%,"54,300",66,"4,500",329050
22,DC Universe™ Online,77.91%,"54,271",681,"17,701",24200
23,One Piece Pirate Warriors 3,78.31%,"53,627",56,"4,274",331600
24,Batman™: Arkham Origins,85.56%,"53,530",376,"25,017",209000
25,Injustice™ 2,82.94%,"52,355",277,"1,873",627270
26,DEAD OR ALIVE 6,70.91%,"50,452",52,"2,107",838380
27,SENRAN KAGURA SHINOVI VERSUS,90.92%,"48,522",3,"1,048",411830
28,Yakuza: Like a Dragon,94.07%,"47,742",621,"9,535",1235140
29,Batman: Arkham City - Game of the Year Edition,93.83%,"45,900",470,"6,871",200260
30,Touhou Luna Nights,94.90%,"45,566",26,"1,368",851100
31,AKIBA'S TRIP: Undead ＆ Undressed,83.75%,"44,805",12,507,333980
32,Furi,88.16%,"43,371",43,640,423230
33,Rivals of Aether,92.50%,"43,350",454,"2,922",383980
34,Punch Club,77.96%,"42,048",45,"4,305",394310
35,THE KING OF FIGHTERS XIV STEAM EDITION,80.00%,"41,780",26,"1,197",571260
36,Yakuza Kiwami,90.46%,"41,452",384,"3,474",834530
37,ONE PIECE: PIRATE WARRIORS 4,88.51%,"40,800",184,"9,219",1089090
38,Paint the Town Red,91.86%,"40,424",417,"1,230",337320
39,WARRIORS OROCHI 4 Ultimate - 無双OROCHI３ Ultimate,83.49%,"39,790",66,"5,924",831560
40,Elsword,73.71%,"38,760",662,"2,587",237310
41,Remember Me,81.36%,"37,212",15,"3,117",228300
42,Z1 Battle Royale: Test Server,52.77%,"36,980",1,"8,554",439700
43,Devil May Cry HD Collection,87.19%,"34,812",71,591,631510
44,Streets of Rage 4,89.57%,"34,794",628,"6,438",985890
45,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,87.60%,"34,016",54,"4,713",234670
46,Police Simulator: Patrol Officers,82.95%,"33,797",334,"3,330",997010
47,Injustice: Gods Among Us Ultimate Edition,83.76%,"33,742",84,"10,344",242700
48,Fate/EXTELLA LINK,89.79%,"32,995",18,"3,118",622220
49,DmC: Devil May Cry,91.56%,"32,797",47,"5,757",220440
50,Sakuna: Of Rice and Ruin,89.46%,"32,540",73,"7,043",1356670
51,Yakuza Kiwami 2,92.63%,"31,385",375,"3,229",927380
52,Shenmue I & II,84.26%,"31,310",17,"1,554",758330
53,METAL GEAR RISING: REVENGEANCE,91.30%,"31,310",154,"12,205",235460
54,ULTIMATE MARVEL VS. CAPCOM 3,86.70%,"30,905",130,"2,487",357190
55,DYNASTY WARRIORS 9,34.08%,"29,759",38,"3,586",730310
56,Batman: Arkham Asylum Game of the Year Edition,94.26%,"29,460",261,"6,739",35140
57,THE KING OF FIGHTERS XIII STEAM EDITION,87.55%,"29,194",49,"1,100",222940
58,Mortal Kombat Komplete Edition,88.72%,"28,077",65,"5,235",237110
59,Closers,73.03%,"27,543",108,"2,091",215830
60,Record of Lodoss War-Deedlit in Wonder Labyrinth-,89.88%,"26,739",24,848,1203630
61,One Piece Burning Blood,75.70%,"26,197",25,857,425220
62,DRAGON QUEST HEROES™ Slime Edition,66.28%,"25,462",9,933,410850
63,Dust: An Elysian Tail,93.29%,"25,177",20,"2,669",236090
64,The Vagrant,88.17%,"24,850",16,"1,268",598700
65,Hyperdimension Neptunia U: Action Unleashed,88.44%,"24,606",2,"1,249",387340
66,Rampage Knights,88.99%,"24,595",21,"1,206",314410
67,Ultra Street Fighter® IV,86.76%,"23,936",181,"5,547",45760
68,Brutal Legend,90.76%,"23,843",36,"7,172",225260
69,Mother Russia Bleeds,83.54%,"23,260",14,"1,250",361300
70,Gensokyo Night Festival,86.08%,"23,090",5,"1,333",1122050
71,Killer Instinct,88.02%,"20,009",31,701,577940
72,DEAD RISING®,85.13%,"19,836",41,993,427190
73,VALKYRIE DRIVE -BHIKKHUNI-,82.33%,"19,712",0,524,550080
74,Kritika:REBOOT,74.29%,"18,394",140,"3,788",439350
75,Bladed fury,82.75%,"18,179",4,"1,191",927250
76,The Initial,74.08%,"18,164",1,264,665090
77,MADNESS: Project Nexus,-,"17,922",0,66,488860
78,SEGA Mega Drive and Genesis Classics,83.07%,"17,856",174,"4,522",34270
79,Dungeon Fighter Online,62.59%,"17,572",417,"3,469",495910
80,Full Metal Furies,87.66%,"17,011",20,587,416600
81,SENRAN KAGURA Burst Re:Newal,87.59%,"16,742",7,334,889510
82,Iron Snout,95.35%,"15,921",16,"1,373",424280
83,Dragon Knight,73.43%,"15,845",1,355,508190
