,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike: Global Offensive,87.73%,"2,944,662","451,884","1,308,963",730
1,Arma 3,89.33%,"610,379","15,116","56,679",107410
2,Squad,86.61%,"497,710","5,106","15,338",393380
3,Total War: THREE KINGDOMS,69.70%,"461,869","2,871","192,298",779340
4,Counter-Strike: Source,94.77%,"435,159","3,420","100,056",240
5,Stellaris,86.01%,"407,722","11,755","68,602",281990
6,Tom Clancy's Ghost Recon® Wildlands,76.83%,"394,459",971,"45,704",460930
7,Call of Duty®: Modern Warfare® 2,90.98%,"378,221",398,"22,614",10180
8,War Thunder,78.91%,"337,799","20,380","63,406",236390
9,World of Warships,80.32%,"321,709","5,322","379,096",552990
10,Hearts of Iron IV,90.59%,"272,158","27,880","46,806",394360
11,Insurgency,90.40%,"271,988",573,"121,575",222880
12,Black Squad,75.99%,"260,757","1,051","15,939",550650
13,Warface,67.77%,"247,197","1,944","13,867",291480
14,Insurgency: Sandstorm,83.26%,"211,997","2,171","14,606",581320
15,Hell Let Loose,81.18%,"196,146","6,169","14,190",686810
16,DCS World Steam Edition,81.69%,"187,024","1,052","3,044",223750
17,Counter-Strike,96.24%,"180,360","9,232","319,586",10
18,Verdun,83.99%,"171,638",190,"4,541",242860
19,Mount & Blade: Warband,96.34%,"167,408","3,367","33,054",48700
20,Europa Universalis IV,84.74%,"165,520","18,041","48,165",236850
22,World of Guns: Gun Disassembly,81.48%,"153,966",105,"1,597",262410
23,Post Scriptum,74.33%,"151,255",386,"7,753",736220
24,Rising Storm 2: Vietnam,84.31%,"142,087","1,006","24,518",418460
25,Company of Heroes 2,77.02%,"135,908","5,830","164,688",231430
26,World War 3,60.73%,"135,083",19,"11,108",674020
27,Arma 2,80.26%,"134,422",4,991,33900
28,Foxhole,80.39%,"133,390","2,992","5,709",505460
29,World of Tanks Blitz,79.02%,"118,293","9,648","48,598",444200
30,Arma 2: Operation Arrowhead,90.24%,"115,686",263,"19,175",33930
31,ACE COMBAT™ 7: SKIES UNKNOWN,83.65%,"115,196",308,"13,758",502500
32,Age of Empires® III (2007),88.82%,"109,135","1,005","9,490",105450
33,Men of War: Assault Squad 2,88.43%,"105,437","1,388","9,750",244450
34,Naval Action,62.62%,"104,432",771,"5,222",311310
35,A Total War Saga: THRONES OF BRITANNIA,66.13%,"101,033",434,"22,797",712100
36,Day of Infamy,81.22%,"100,760",63,"9,210",447820
37,Ravenfield,94.83%,"100,043",792,"3,939",636480
38,Homefront®: The Revolution,58.00%,"97,544",71,"4,365",223100
39,Mass Effect™ Legendary Edition,89.46%,"92,897","6,016","59,817",1328670
40,RUNNING WITH RIFLES,85.64%,"92,471",113,"14,149",270150
41,Microsoft Flight Simulator X: Steam Edition,83.68%,"90,889","1,146","6,051",314160
42,Titanfall® 2,94.04%,"89,968","1,501","27,631",1237970
43,Call to Arms,76.61%,"87,796",295,"2,882",302670
44,Argo,50.48%,"84,920",45,"6,659",530700
45,Call of Duty®: Advanced Warfare - Gold Edition,62.16%,"84,489",29,"12,675",209650
46,Battlefield V,66.10%,"83,357","2,392","30,881",1238810
47,Battlefield: Bad Company™ 2,84.03%,"79,644",141,"21,923",24960
48,Freeman: Guerrilla Warfare,75.92%,"78,842",58,"2,127",773951
49,Holdfast: Nations At War,87.45%,"78,646",417,"2,833",589290
50,Sniper Ghost Warrior 3,63.59%,"78,220",279,"4,086",368070
51,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,90.76%,"76,938",210,"16,551",35450
52,"Star Wars: Battlefront 2 (Classic, 2005)",92.22%,"71,734",355,"4,789",6060
53,Call of Duty®: Modern Warfare® Remastered,61.31%,"70,885",52,"1,409",393080
54,Steel Division: Normandy 44,71.84%,"70,236",104,"4,678",572410
55,BATTALION 1944,60.60%,"67,666",0,"16,771",489940
56,From the Depths,87.43%,"66,625",514,"1,700",268650
57,War of Rights,82.61%,"60,786",146,"1,327",424030
58,Forts,87.39%,"60,055",330,"7,280",410900
59,Ultimate General: Civil War,86.29%,"59,813",654,"1,678",502520
60,America's Army: Proving Grounds,77.05%,"58,839",322,"3,073",203290
61,Call of Duty®: Black Ops,88.38%,"58,545",579,"63,343",42700
62,Wargame: Red Dragon,86.94%,"58,442",782,"4,779",251060
63,Cold Waters,82.58%,"56,825",198,865,541210
64,Sudden Strike 4,73.37%,"53,671",152,"2,476",373930
65,Halo Wars: Definitive Edition,86.90%,"53,326",148,"3,192",459220
66,Sins of a Solar Empire®: Rebellion,90.57%,"52,909",631,"93,109",204880
67,KINGDOMS,76.78%,"51,166",53,781,409590
68,Age of Empires III: Definitive Edition,73.44%,"51,124","2,976","20,146",933110
69,Steel Division 2,76.44%,"50,292",590,"2,260",919640
70,Oriental Empires,77.57%,"50,241",24,896,357310
71,Sniper: Ghost Warrior 2,72.93%,"48,950",57,"3,629",34870
72,Call to Arms - Gates of Hell: Ostfront,75.73%,"48,556",533,"2,704",400750
73,Azur Lane Crosswave,67.30%,"48,225",10,"10,413",1150080
74,Sniper Ghost Warrior Contracts,71.70%,"48,081",355,"3,923",973580
75,Tannenberg,84.20%,"47,884",61,"1,177",633460
76,"Warhammer 40,000: Gladius - Relics of War",78.11%,"47,113",412,"3,451",489630
77,Project Wingman,91.29%,"45,183",122,"2,113",895870
78,Counter-Strike: Condition Zero,88.88%,"44,447",368,"32,748",80
79,Stronghold: Warlords,60.49%,"43,702",105,"4,434",907650
80,Becastled,80.16%,"43,457",85,"1,507",1330460
81,GROUND BRANCH,86.09%,"42,735",138,620,16900
82,Zero Hour,80.01%,"42,578",615,"2,497",1359090
83,Rebel Inc: Escalation,79.49%,"42,331",50,"1,034",1088790
84,Total War: EMPIRE – Definitive Edition,88.85%,"41,990","2,572","27,559",10500
85,LEFT ALIVE™,29.67%,"41,901",0,647,714370
86,Bomber Crew,85.82%,"41,480",79,"9,898",537800
87,Victoria 3,-,"40,157",0,7,529340
88,Beyond The Wire,70.61%,"39,423",31,"2,312",1058650
89,Spec Ops: The Line,91.20%,"39,059",73,"13,995",50300
90,Call of Duty® 4: Modern Warfare®,90.45%,"38,990",367,"1,796",7940
91,The Mean Greens - Plastic Warfare,80.04%,"38,543",13,"2,836",360940
92,Blacklight: Retribution,73.91%,"38,144",0,"12,131",209870
93,Onward,72.12%,"38,099",104,423,496240
94,Act of Aggression - Reboot Edition,63.32%,"36,982",43,"3,131",318020
95,IL-2 Sturmovik: Battle of Stalingrad,77.43%,"35,733",452,"1,061",307960
96,Evil Bank Manager,74.50%,"35,503",16,530,896160
97,Call of Duty®: Ghosts,59.78%,"35,002",45,"13,831",209160
98,Steel Ocean,67.79%,"34,979",0,"2,444",390670
99,Pavlov VR,92.25%,"34,926",827,"3,221",555160
