,Name,Rating,Followers,Online,Peak,id
0,The Witcher® 3: Wild Hunt,97.05%,"786,023","13,092","103,329",292030
1,Mount & Blade II: Bannerlord,86.17%,"737,748","12,077","248,216",261550
2,Chivalry: Medieval Warfare,81.24%,"367,886",171,"25,145",219640
3,Kingdom Come: Deliverance,80.72%,"348,750","2,148","96,069",379430
4,The Elder Scrolls V: Skyrim,93.81%,"310,714","5,336","287,411",72850
5,Northgard,86.40%,"301,336","1,918","15,592",466560
6,Totally Accurate Battle Simulator,96.25%,"296,159","2,166","13,674",508440
7,Middle-earth™: Shadow of War™,85.06%,"290,587","2,088","68,183",356190
8,Besiege,93.79%,"281,869",242,"11,206",346010
9,FOR HONOR™,66.32%,"256,503","3,678","225,831",304390
10,Life is Feudal: Your Own,65.03%,"217,116",431,"7,896",290080
11,Wolcen: Lords of Mayhem,55.62%,"192,095",830,"127,542",424370
12,Age of Empires II (2013),94.11%,"186,343","4,642","27,927",221380
13,DARK SOULS™ II: Scholar of the First Sin,85.01%,"185,308","2,688","12,106",335300
14,Crusader Kings III,91.87%,"178,033","12,307","98,872",1158310
15,MORDHAU,81.35%,"171,629","1,275","60,204",629760
16,Foundation,83.89%,"169,502",522,"4,088",690830
17,Medieval Dynasty,89.43%,"169,428","1,907","18,738",1129580
18,Mount & Blade: Warband,96.34%,"167,408","3,458","33,054",48700
19,Age of Empires II: Definitive Edition,92.49%,"163,796","18,422","38,725",813780
20,Dark and Light,54.24%,"151,382",210,"14,089",529180
21,A Plague Tale: Innocence,92.08%,"151,055",174,"4,058",752590
22,ENDLESS™ Legend,82.56%,"147,291",326,"10,468",289130
23,Black Desert,74.46%,"140,901","20,614","60,395",582660
24,Banished,88.45%,"139,043","1,009","24,636",242920
25,Kingdoms and Castles,89.60%,"130,527",630,"4,856",569480
26,Total War: ATTILA,78.38%,"121,279","1,988","26,346",325610
27,Savage Lands,55.60%,"120,441",9,"2,157",307880
28,Crusader Kings II,88.54%,"113,781","3,537","141,439",203770
29,Medieval Engineers,55.51%,"113,689",39,"3,984",333950
30,Going Medieval,86.46%,"111,810","1,903","14,676",1029780
31,Stoneshard,77.05%,"111,500",226,"10,738",625960
32,Rising World,80.77%,"111,264",49,486,324080
33,Pathfinder: Kingmaker - Enhanced Plus Edition,77.24%,"107,172","2,578","22,643",640820
34,Naval Action,62.62%,"104,432",795,"5,222",311310
35,Graveyard Keeper,83.43%,"103,836",824,"16,993",599140
36,The Guild 3,57.79%,"102,584",78,"3,513",311260
37,A Total War Saga: THRONES OF BRITANNIA,66.13%,"101,033",448,"22,797",712100
38,Reign Of Kings,56.99%,"98,322",18,"13,278",344760
39,Life is Feudal: Forest Village,64.48%,"96,003",143,"1,962",496460
40,Ultimate Epic Battle Simulator,72.27%,"90,176",106,"10,326",616560
41,The Witcher 2: Assassins of Kings Enhanced Edition,88.87%,"89,250",681,"12,884",20920
42,Thronebreaker: The Witcher Tales,89.02%,"85,931",113,"3,371",973760
43,Game of Thrones - A Telltale Games Series,74.51%,"81,296",9,"6,771",330840
44,Lords Of The Fallen™,59.89%,"79,861",42,"8,024",265300
45,Mordheim: City of the Damned,68.78%,"79,481",165,"2,715",276810
46,Exanima,79.90%,"78,046",108,838,362490
47,FINAL FANTASY IX,90.80%,"76,228",268,"8,229",377840
48,Crypt of the NecroDancer,93.79%,"74,562",147,"2,282",247080
49,Fable Anniversary,81.50%,"73,457",161,"6,186",288470
50,Ancestors Legacy,77.31%,"73,018",71,"4,940",620590
52,Nioh 2 – The Complete Edition,83.54%,"70,527","1,551","41,325",1325200
53,Ghost of a Tale,88.88%,"70,143",11,883,417290
