,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike: Global Offensive,87.73%,"2,944,662","488,278","1,308,963",730
1,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","44,506","201,053",359550
2,Mount & Blade II: Bannerlord,86.17%,"737,748","12,508","248,216",261550
3,Euro Truck Simulator 2,96.64%,"659,530","22,212","61,081",227300
4,The Forest,93.84%,"625,035","5,818","64,879",242760
5,Arma 3,89.33%,"610,379","16,022","56,679",107410
6,Cities: Skylines,91.95%,"579,631","11,845","60,386",255710
7,Squad,86.61%,"497,710","5,266","15,338",393380
8,Red Dead Redemption 2,85.24%,"411,084","13,930","55,271",1174180
9,theHunter: Call of the Wild™,84.57%,"356,627","2,325","18,081",518790
10,Kingdom Come: Deliverance,80.72%,"348,750","2,276","96,069",379430
11,This War of Mine,93.16%,"344,261",650,"9,503",282070
12,War Thunder,78.91%,"337,799","21,799","63,406",236390
13,Stranded Deep,75.03%,"331,496",516,"6,036",313120
14,World of Warships,80.32%,"321,709","5,624","379,096",552990
15,American Truck Simulator,94.81%,"315,375","6,060","19,153",270880
16,Totally Accurate Battle Simulator,96.25%,"296,159","2,147","13,674",508440
17,SCUM,72.18%,"294,185","9,523","68,322",513710
18,Planet Coaster,89.16%,"274,862","2,020","21,971",493340
19,Insurgency,90.40%,"271,988",605,"121,575",222880
20,FOR HONOR™,66.32%,"256,503","3,796","225,831",304390
21,BeamNG.drive,94.90%,"250,756","6,767","13,572",284160
22,Planet Zoo,88.07%,"239,930","3,435","38,630",703080
23,Green Hell,85.30%,"230,589","1,649","20,003",815370
24,Insurgency: Sandstorm,83.26%,"211,997","2,385","14,606",581320
25,Plague Inc: Evolved,92.56%,"210,944",395,"17,889",246620
26,Hell Let Loose,81.18%,"196,146","6,531","14,190",686810
27,House Flipper,90.71%,"194,016","2,127","10,899",613100
28,No More Room in Hell,88.21%,"189,082",417,"10,922",224260
29,DCS World Steam Edition,81.69%,"187,024","1,073","3,044",223750
30,Project Zomboid,88.24%,"185,227","5,626","7,191",108600
31,Eco,80.20%,"183,837","1,340","6,964",382310
32,Hellblade: Senua's Sacrifice,89.88%,"183,286",110,"5,653",414340
33,Verdun,83.99%,"171,638",216,"4,541",242860
34,MORDHAU,81.35%,"171,629","2,158","60,204",629760
35,Medieval Dynasty,89.44%,"169,428","1,989","18,738",1129580
36,Mount & Blade: Warband,96.34%,"167,408","3,560","33,054",48700
37,Forza Horizon 4,81.51%,"157,869","6,023","40,399",1293830
38,PC Building Simulator,92.46%,"156,187",532,"3,884",621060
39,World of Guns: Gun Disassembly,81.48%,"153,966",104,"1,597",262410
40,Universe Sandbox,93.16%,"153,252",328,646,230290
41,Post Scriptum,74.33%,"151,255",475,"7,753",736220
42,The Isle,81.26%,"148,944","4,326","11,973",376210
43,Farming Simulator 19,91.78%,"142,342","19,743","59,466",787860
44,Rising Storm 2: Vietnam,84.31%,"142,087","1,038","24,518",418460
45,Assetto Corsa,89.38%,"136,976","5,959","11,691",244210
46,Outward,73.22%,"135,949",563,"11,296",794260
47,World War 3,60.73%,"135,083",29,"11,108",674020
48,Arma 2,80.26%,"134,422",5,991,33900
49,Car Mechanic Simulator 2018,88.38%,"127,208","1,719","8,474",645630
50,DiRT Rally,85.97%,"126,734",240,"20,343",310560
51,Steep™,79.99%,"125,268",94,"2,113",460920
52,Project CARS,76.53%,"122,097",162,"10,688",234630
53,Farming Simulator 17,91.05%,"118,490",894,"32,313",447020
54,Wreckfest,84.25%,"118,325","1,094","3,865",228380
55,Arma 2: Operation Arrowhead,90.24%,"115,686",335,"19,175",33930
56,ACE COMBAT™ 7: SKIES UNKNOWN,83.65%,"115,196",309,"13,758",502500
57,Teardown,92.84%,"114,047","1,399","8,339",1167630
58,Medieval Engineers,55.51%,"113,689",46,"3,984",333950
59,Men of War: Assault Squad 2,88.43%,"105,437","1,501","9,750",244450
60,Naval Action,62.62%,"104,432",808,"5,222",311310
61,UBOAT,77.35%,"103,847",583,"5,755",494840
62,The Sims™ 4,87.95%,"100,969","9,901","25,403",1222670
63,Day of Infamy,81.22%,"100,760",74,"9,210",447820
64,Ravenfield,94.83%,"100,043",832,"3,939",636480
65,Reign Of Kings,56.99%,"98,322",23,"13,278",344760
67,BONEWORKS,89.11%,"94,004",402,"8,717",823500
69,Thief Simulator,83.67%,"92,697",344,"2,697",704850
70,MudRunner,87.05%,"92,186",289,"8,667",675010
71,My Summer Car,91.47%,"90,992",726,"5,509",516750
72,Microsoft Flight Simulator X: Steam Edition,83.68%,"90,889","1,197","6,051",314160
74,Youtubers Life,74.79%,"90,009",83,"7,553",428690
75,Microsoft Flight Simulator,73.74%,"89,692","5,990","61,829",1250410
76,GRID 2,81.99%,"89,602",200,"27,339",44350
77,Endzone - A World Apart,76.01%,"88,186",175,"6,426",933820
78,Call to Arms,76.61%,"87,796",313,"2,882",302670
79,X-Plane 11,89.09%,"87,233","1,316","4,210",269950
80,Chernobylite,79.00%,"85,920",806,"3,944",1016800
81,Transport Fever,81.06%,"85,110",276,"12,615",446800
82,Argo,50.48%,"84,920",55,"6,659",530700
83,Workers & Resources: Soviet Republic,88.87%,"81,987","1,010","3,891",784150
84,Project CARS 2,77.98%,"81,861",666,"6,775",378860
85,Farming Simulator 15,88.88%,"80,384",197,"18,711",313160
86,Freeman: Guerrilla Warfare,75.92%,"78,842",56,"2,127",773951
