,Name,Rating,Followers,Online,Peak,id
0,Plague Inc: Evolved,92.56%,"210,944",383,"17,889",246620
1,Sid Meier's Civilization® V,94.95%,"178,879","17,476","91,363",8930
2,DARK SOULS™: Prepare To Die™ Edition,90.10%,"130,104",380,"11,259",211420
3,"Papers, Please",94.96%,"95,060",466,"6,129",239030
4,"Star Wars: Battlefront 2 (Classic, 2005)",92.22%,"71,734",342,"4,789",6060
5,Football Manager 2019,84.19%,"63,148","2,613","75,982",872790
6,Game Dev Tycoon,93.44%,"61,727",269,"7,761",239820
7,Plants vs. Zombies GOTY Edition,95.01%,"59,534","1,514","12,893",3590
8,FTL: Faster Than Light,94.33%,"56,554","1,694","19,301",212680
9,The Binding of Isaac,93.86%,"51,467",191,"12,575",113200
10,Mini Metro,93.84%,"50,113",308,"2,104",287980
11,XCOM: Enemy Unknown,92.74%,"49,346","1,102","70,568",200510
12,Risk of Rain,91.72%,"48,438",90,"5,462",248820
13,ISLANDERS,92.48%,"46,625",141,"1,783",1046030
14,911 Operator,86.49%,"45,743",87,"1,955",503560
15,Rebel Inc: Escalation,79.49%,"42,331",49,"1,034",1088790
16,Hotline Miami,95.69%,"40,291",126,"6,878",219150
17,Clicker Heroes,88.47%,"34,223","2,889","65,882",363970
18,Beholder 2,85.29%,"34,071",45,"1,981",761620
19,Company of Heroes - Legacy Edition,90.32%,"32,718",96,"3,344",4560
20,Quake Live™,83.63%,"28,369",363,"6,154",282440
21,Spelunky,89.95%,"27,438",164,"2,919",239350
22,SimCity™ 4 Deluxe Edition,77.41%,"27,068",350,"5,206",24780
23,Unreal Tournament 3 Black,86.37%,"25,630",31,"1,514",13210
24,Rogue Legacy,91.16%,"24,911",65,"8,079",241600
25,AdVenture Capitalist,86.86%,"24,539","1,641","22,998",346900
26,RPG Maker VX Ace,90.82%,"24,023",167,"4,196",220700
27,Descenders,91.13%,"22,467",343,"1,563",681280
28,Door Kickers: Action Squad,91.46%,"21,619",28,"2,454",686200
29,Octodad: Dadliest Catch,90.37%,"19,381",14,"1,815",224480
30,Gnomoria,75.15%,"17,963",20,"2,050",224500
32,Reus,76.23%,"17,189",21,"4,252",222730
33,BDSM: Big Drunk Satanic Massacre,85.03%,"15,791",1,78,669950
