,Name,Rating,Followers,Online,Peak,id
0,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,560","93,701",435150
1,Ring of Elysium,73.97%,"424,290",860,"63,435",755790
2,Totally Accurate Battle Simulator,96.25%,"296,159","2,150","13,674",508440
3,Planet Coaster,89.16%,"274,862","2,061","21,971",493340
4,Dungeon Defenders II,75.26%,"234,496",815,"18,785",236110
5,Phasmophobia,96.21%,"216,528","16,102","112,717",739630
6,House Flipper,90.71%,"194,016","2,151","10,899",613100
7,Dyson Sphere Program,95.90%,"182,895","5,138","59,815",1366540
8,Tabletop Simulator,94.38%,"171,957","5,821","37,198",286160
9,PC Building Simulator,92.46%,"156,187",561,"3,884",621060
10,Black Desert,74.46%,"140,901","21,450","60,395",582660
11,Temtem,85.88%,"139,665",966,"39,572",745920
12,ACE COMBAT™ 7: SKIES UNKNOWN,83.65%,"115,196",311,"13,758",502500
13,Hello Neighbor,76.74%,"113,472",109,"1,414",521890
14,FaceRig,80.11%,"113,112",948,"3,554",274920
15,Going Medieval,86.46%,"111,810","1,948","14,676",1029780
16,嗜血印 Bloody Spell,84.51%,"94,857",33,"4,256",992300
18,Armello,80.42%,"90,904",199,"3,614",290340
19,Goat Simulator,88.26%,"89,577",119,"10,108",265930
20,Outer Wilds,92.63%,"87,697",548,"4,463",753640
21,Galactic Civilizations III,75.01%,"87,606",434,"6,297",226860
22,She Will Punish Them,90.23%,"86,348",606,"15,711",1213740
23,Beholder,88.91%,"83,240",158,"2,774",475550
24,Blender,94.92%,"76,255","3,501","5,133",365670
25,Planet Nomads,66.20%,"75,122",19,372,504050
26,Contagion,70.61%,"73,462",55,"7,624",238430
28,DEAD OR ALIVE 5 Last Round: Core Fighters,64.88%,"65,158",27,"2,827",311730
29,VR Kanojo / VRカノジョ,74.47%,"64,162",7,66,751440
31,Solasta: Crown of the Magister,87.93%,"63,680",734,"8,291",1096530
32,Hood: Outlaws & Legends,53.58%,"62,280",64,"11,536",927350
33,Gloomhaven,84.66%,"60,910",572,"2,179",780290
34,Sherlock Holmes: The Devil's Daughter,77.30%,"59,836",115,"2,968",350640
35,コイカツ！ / Koikatsu Party,89.76%,"58,935",198,367,1073440
36,Kingdoms Reborn,86.39%,"57,038",801,"2,014",1307890
37,Dungeons & Dragons: Dark Alliance,50.41%,"56,437",121,"9,912",623280
38,Persona® 5 Strikers,89.92%,"55,774",210,"8,730",1382330
39,Monster Hunter Stories 2: Wings of Ruin,75.99%,"55,704","3,133","34,995",1277400
40,Starpoint Gemini 2,67.95%,"54,537",20,"20,842",236150
41,Eternal Return,81.98%,"54,527","2,379","52,853",1049590
42,Medieval Kingdom Wars,75.38%,"54,339",10,549,499660
43,TaleSpire,89.71%,"53,433",230,"1,416",720620
44,Sins of a Solar Empire®: Rebellion,90.57%,"52,909",648,"93,109",204880
45,Curse of the Dead Gods,84.38%,"52,853",133,"3,004",1123770
46,Monster Girl Island: Prologue,93.74%,"51,807",66,"1,538",943700
47,Sven Co-op,90.85%,"51,196",479,"6,572",225840
48,Age of Empires III: Definitive Edition,73.44%,"51,124","3,362","20,146",933110
49,SimplePlanes,89.49%,"47,929",165,885,397340
50,Flotsam,71.75%,"47,463",29,"2,075",821250
51,Journey,92.38%,"46,976",45,"1,757",638230
52,ISLANDERS,92.48%,"46,625",163,"1,783",1046030
53,Heroes of the Three Kingdoms 8,54.64%,"46,390",179,"25,160",875210
54,FINAL FANTASY TYPE-0™ HD,60.48%,"45,684",19,"2,673",340170
55,Hobo: Tough Life,76.78%,"43,863",184,"2,254",632300
56,Zero Hour,80.01%,"42,578",666,"2,497",1359090
57,Imagine Earth,76.54%,"42,187",26,327,280720
