,Name,Rating,Followers,Online,Peak,id
0,CS:GO Player Profiles,88.80%,"355,600",1,193,413850
1,Life is Strange - Episode 1,95.03%,"255,042",299,"18,260",319630
2,HITMAN™,80.89%,"195,303",181,"51,650",236870
3,Life is Strange: Before the Storm,91.72%,"117,404",97,"16,209",554620
4,Quantum Break,83.74%,"105,279",45,"2,719",474960
5,Tales from the Borderlands,92.88%,"83,190",17,"8,690",330830
6,Minecraft: Story Mode - A Telltale Games Series,74.05%,"83,042",14,"6,423",376870
7,Game of Thrones - A Telltale Games Series,74.51%,"81,296",6,"6,771",330840
8,Life is Strange 2,82.88%,"74,964",235,"468,717",532210
9,Dreamfall Chapters,80.26%,"69,538",14,"1,711",237850
10,Oats Studios - Volume 1,93.83%,"68,734",0,853,633030
11,The Walking Dead: A New Frontier,77.84%,"63,656",44,"8,278",536220
12,Resident Evil Revelations 2,76.81%,"52,795",140,"3,686",287290
13,The Walking Dead,95.14%,"50,997",123,"12,114",207610
14,Half-Life 2: Episode Two,94.61%,"48,640",162,"1,419",420
15,The Council,81.91%,"47,121",22,784,287630
16,Batman - The Telltale Series,79.74%,"46,279",56,"4,001",498240
17,The Walking Dead: The Final Season,91.57%,"45,337",66,"4,120",866800
18,The Walking Dead: Season Two,93.82%,"41,397",62,"18,627",261030
19,Orwell: Keeping an Eye On You,88.92%,"40,090",27,"154,375",491950
20,The Wolf Among Us,95.46%,"38,739",67,"14,321",250320
21,Alan Wake,89.27%,"34,686",89,"6,652",108710
22,The Walking Dead: Michonne - A Telltale Miniseries,76.21%,"29,423",3,"2,435",429570
23,Marvel's Guardians of the Galaxy: The Telltale Series,83.13%,"28,389",2,906,579950
24,Being a DIK - Season 1,93.29%,"27,494",167,"1,185",1126320
25,Batman: The Enemy Within - The Telltale Series,87.26%,"26,430",53,"2,029",675260
26,King's Quest,85.55%,"25,186",20,721,345390
27,Home Sweet Home,83.95%,"24,550",5,323,617160
28,Tell Me Why,81.98%,"23,299",115,"2,784",1180660
29,Kentucky Route Zero: PC Edition,78.17%,"22,688",11,431,231200
30,D4: Dark Dreams Don’t Die -Season One-,77.58%,"22,191",0,268,358090
31,PAYDAY: The Web Series,86.43%,"21,026",0,57,354500
32,The Dark Pictures Anthology: Little Hope,72.47%,"20,238",63,"4,997",1194630
33,Republique,73.58%,"19,523",1,198,317100
34,Dota 2 Player Profiles,86.64%,"18,777",0,93,411180
35,The Uncertain: Last Quiet Day,76.46%,"18,413",13,"2,058",406970
36,Broken Age,81.21%,"18,210",13,"3,260",232790
37,Eon Altar,82.16%,"16,746",1,152,382050
38,Higurashi When They Cry Hou - Ch.1 Onikakushi,91.82%,"16,101",22,543,310360
39,The Lion's Song: Episode 1 - Silence,88.70%,"15,761",1,272,437160
40,Minecraft: Story Mode - Season Two,86.84%,"15,105",3,"1,228",639170
41,Half-Life 2: Episode One,92.95%,"14,355",92,"1,132",380
42,Necrobarista,81.76%,"13,993",2,290,725270
43,Blues and Bullets,61.47%,"12,758",0,118,378660
44,Acting Lessons,92.81%,"12,692",56,263,1045520
45,The Fall,84.89%,"12,464",2,423,290770
46,KARAKARA,86.78%,"10,065",3,314,487430
47,The Gallery - Episode 1: Call of the Starseed,80.31%,"9,846",1,73,270130
48,Light Fairytale Episode 1,76.36%,"8,704",1,22,539330
49,Bear With Me - Episode One,83.11%,"8,323",0,"1,216",492630
50,Mortal Kombat: Legacy,80.14%,"8,140",0,17,361700
51,True Sight,87.46%,"6,521",0,229,539730
52,9-nine-:Episode 1,88.74%,"6,019",8,64,976390
53,Grimm,95.13%,"5,522",158,"30,886",252150
54,Deus Ex: The Fall,35.84%,"5,499",4,428,258180
55,Dysfunctional Systems: Learning to Manage Chaos,72.58%,"5,315",0,86,248800
56,The Descendant,84.84%,"5,161",28,"14,052",351940
57,Back to the Future: The Game,84.45%,"5,124",1,448,31290
58,Jurassic Park: The Game,64.61%,"4,929",5,371,201830
59,The Lost Legends of Redwall™ : The Scout Act 1,68.44%,"4,420",0,20,656030
60,The Journey Down: Chapter One,82.85%,"4,411",0,245,220090
61,9-nine-:Episode 2,90.93%,"4,259",3,59,1033420
62,1bitHeart,86.48%,"4,240",3,47,618720
63,Sam & Max Save the World,81.99%,"4,171",30,359,1440440
64,Beach Bounce,64.19%,"4,006",2,193,352010
65,Agent Origins,86.45%,"3,784",0,20,534110
66,Con Man,76.65%,"3,687",0,53,549290
67,Thief of Thieves,72.89%,"3,655",1,19,635390
68,THE KING OF FIGHTERS: DESTINY,85.36%,"3,550",0,101,642890
69,Mortal Kombat: Legacy II,80.35%,"3,312",0,23,362280
70,Dragon and Weed: Origins - Prologue,45.31%,"3,172",0,4,1251190
71,WORLD END ECONOMiCA episode.02,85.89%,"3,136",0,58,368160
72,Space Pilgrim Episode I: Alpha Centauri,83.10%,"2,993",0,"16,445",429470
73,MISSING: An Interactive Thriller - Episode One,79.39%,"2,723",0,24,354650
74,ARIDA: Backland's Awakening,83.55%,"2,657",1,25,907760
75,Black Clover,78.32%,"2,529",0,121,738380
76,Cognition: An Erica Reed Thriller,78.47%,"2,516",0,362,242780
77,Ne no Kami: The Two Princess Knights of Kyoto,81.22%,"2,489",1,22,490890
78,Millennium - A New Hope,69.96%,"2,466",3,"1,967",280140
79,SiN Episodes: Emergence,83.56%,"2,117",1,105,1300
80,SUBVERSE,66.57%,"2,061",0,11,1001630
81,War of the Human Tanks,80.35%,"2,027",0,182,263400
82,Fears to Fathom - Home Alone,82.41%,"2,022",26,112,1671340
83,Half-Life - The Freeman Chronicles,85.51%,"1,920",0,15,642920
84,OVERVIEW (A Walk Through The Universe),67.68%,"1,890",0,15,751110
85,Re:ZERO -Starting Life in Another World-,84.90%,"1,844",0,21,600930
86,Storm VR,67.91%,"1,776",0,10,457380
87,Odysseus Kosmos and his Robot Quest: Episode 1,72.02%,"1,754",0,"1,585",769920
88,Arma 3 Community Guide Series,76.62%,"1,724",0,312,544940
89,Miss Kobayashi's Dragon Maid,87.11%,"1,696",1,43,640570
90,Ne no Kami - The Two Princess Knights of Kyoto Part 2,83.53%,"1,681",0,12,701420
91,Sonic the Hedgehog 4 - Episode I,45.08%,"1,639",10,102,202530
92,Mirrored - Chapter 1,61.27%,"1,579",0,131,365880
93,Ghost In The Shell: Stand Alone Complex,71.87%,"1,470",0,46,581490
94,Thorne - Death Merchants,77.61%,"1,425",0,28,451920
95,Walkerman,70.25%,"1,355",0,16,387100
96,National Park Girls,83.63%,"1,318",2,17,1036580
97,Dark Nights with Poe and Munro,76.92%,"1,317",1,50,1098170
98,Sam & Max 301: The Penal Zone,83.82%,"1,297",4,156,31220
99,Bot Colony,64.28%,"1,280",0,7,263040
