,Name,Rating,Followers,Online,Peak,id
0,Cuphead,94.74%,"255,988",878,"19,026",268910
1,Subverse,80.55%,"174,461",53,"25,318",1034140
2,Sven Co-op,90.85%,"51,196",481,"6,572",225840
3,Furi,88.16%,"43,371",47,640,423230
4,POSTAL 4: No Regerts,84.19%,"39,039",32,916,707030
5,Lovers in a Dangerous Spacetime,89.94%,"30,579",39,273,252110
6,Journey To The Savage Planet,83.54%,"29,909",37,"2,162",973810
7,Nex Machina,84.21%,"23,903",6,326,404540
8,Touhou Tenkuushou ~ Hidden Star in Four Seasons.,94.82%,"22,749",2,649,745880
9,"Guns, Gore and Cannoli 2",89.57%,"21,591",14,568,525510
10,Space Stories: Darth Star,64.68%,"21,075",0,9,763770
11,NOT A HERO,83.16%,"20,379",0,224,274270
12,DEEP SPACE WAIFU,93.30%,"15,617",3,268,639790
13,METAL SLUG 3,86.98%,"15,490",30,"2,879",250180
14,METAL SLUG X,85.47%,"15,459",5,373,312610
15,Downwell,93.58%,"15,173",26,405,360740
16,Shark Attack Deathmatch 2,73.22%,"14,476",0,76,330580
17,Juicy Realm,85.14%,"14,243",9,"1,944",732370
18,"Guns, Gore & Cannoli",88.01%,"14,095",9,263,322210
19,Ikaruga,90.40%,"13,861",4,335,253750
20,Dragonia,81.93%,"13,130",2,"1,118",635730
21,Valfaris,83.35%,"12,154",10,148,600130
22,METAL SLUG,85.01%,"12,085",12,222,366250
23,Altitude,87.80%,"12,064",14,"4,940",41300
24,Nova Drift,94.24%,"11,749",209,963,858210
25,God's Trigger,71.67%,"11,108",4,178,488730
26,Mercenary Kings: Reloaded Edition,68.79%,"10,983",5,846,218820
27,Astebreed: Definitive Edition,84.42%,"10,142",1,133,283680
28,The Bug Butcher,85.55%,"10,119",0,139,350740
29,Rogue Stormers,66.86%,"10,118",1,533,299480
30,Assault Android Cactus+,89.50%,"9,735",6,238,250110
31,HUNTDOWN,89.21%,"9,701",17,283,598550
32,The Hong Kong Massacre,73.03%,"9,691",0,263,741510
34,Steambirds Alliance,72.68%,"9,183",0,"1,460",386010
35,Super Time Force Ultra,84.71%,"8,575",0,476,250700
36,Geometry Wars™ 3: Dimensions Evolved,85.15%,"8,436",8,397,310790
37,Beat Hazard,91.76%,"8,370",3,"4,123",49600
38,Beat Hazard 2,83.45%,"8,148",8,439,618740
39,HellCat,78.71%,"7,993",0,11,864860
40,Out There Somewhere,90.09%,"7,930",0,823,263980
41,LUFTRAUSERS,87.76%,"7,821",13,605,233150
42,Tesla vs Lovecraft,85.15%,"7,559",7,241,636100
43,Krunker,76.39%,"7,503",583,"2,255",1408720
44,Blazing Chrome,84.97%,"7,488",5,119,609110
45,Zombotron,84.01%,"7,391",7,195,664830
46,Hentai Asmodeus,79.68%,"7,371",2,676,1147510
47,Princess Remedy in a World of Hurt,93.29%,"7,199",1,177,407900
48,Mushihimesama,91.19%,"6,971",5,357,377860
49,Captain Forever Remix,75.86%,"6,963",0,118,298560
50,DARIUSBURST Chronicle Saviours,79.90%,"6,920",3,498,377870
51,GIBZ,81.19%,"6,840",5,113,448320
52,Soul Saber 2,58.55%,"6,644",0,41,581230
53,Nation Red,84.66%,"6,431",1,"6,850",39800
54,Steredenn,82.66%,"6,389",5,242,347160
55,Kill It With Fire,89.84%,"6,015",406,472,1179210
56,Touhou Blooming Chaos 2,91.24%,"5,990",23,530,1260810
57,Hentai Girl Division,78.72%,"5,934",1,371,1113680
58,DoDonPachi Resurrection,89.23%,"5,933",1,328,464450
59,ASTRO: The Beginning,40.40%,"5,906",0,2,1082200
60,Bit Blaster XL,93.42%,"5,823",0,269,433950
61,Kero Blaster,88.26%,"5,736",5,211,292500
62,Project Amalthea: Battlegrounds,62.61%,"5,723",1,61,715810
64,R-Type Final 2,69.61%,"5,689",11,925,1442820
65,Sky Force Reloaded,88.40%,"5,614",31,330,667600
66,Struggle Offensive,63.79%,"5,609",0,22,1403280
67,BoneCraft,78.86%,"5,502",1,98,1001220
68,東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,91.41%,"5,500",6,87,882710
69,Deathsmiles,89.70%,"5,425",2,191,314180
70,Touhou Kikeijuu ~ Wily Beast and Weakest Creature.,91.24%,"5,238",7,387,1079160
72,"RIVE: Wreck, Hack, Die, Retry!",80.86%,"5,205",0,258,278100
73,Crimsonland,87.85%,"5,103",27,479,262830
75,Guardians of the Ashes,72.34%,"4,878",0,180,1195020
76,"Get To Work, Succubus-Chan!",74.11%,"4,752",1,33,1104340
77,Bot Vice,89.09%,"4,692",0,47,491040
78,Deep Space Waifu: FANTASY,90.34%,"4,685",1,373,859680
79,Sky Force Anniversary,87.63%,"4,593",4,223,355050
80,Deep Space Waifu: FLAT JUSTICE,90.06%,"4,559",0,241,639780
81,Gun Crazy,66.23%,"4,461",0,6,897640
82,Saints Row®: The Third™ Remastered,54.64%,"4,387",50,"1,560",978300
83,TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,92.50%,"4,300",2,656,1031480
84,Touhou Kouryudou ~ Unconnected Marketeers.,92.31%,"4,264",19,"3,416",1566410
85,Monolith,93.03%,"4,109",15,133,603960
86,Drifting Lands,74.17%,"4,021",0,156,322750
87,Apocalypse Cow,-,"3,962",0,1,592380
88,Airscape - The Fall of Gravity,79.29%,"3,919",2,925,317250
89,Wing of Darkness,40.56%,"3,808",0,175,1179060
90,Jet Lancer,88.81%,"3,798",4,139,913060
91,Dinosis Survival,51.77%,"3,775",0,32,613270
92,GALAK-Z,69.89%,"3,772",2,397,300580
93,Sora,85.14%,"3,764",1,113,390730
94,Jigoku Kisetsukan: Sense of the Seasons,88.99%,"3,757",0,164,368950
95,Savant - Ascent,89.03%,"3,715",1,599,259530
96,Alien Shooter 2 - The Legend,50.71%,"3,663",14,218,1007400
97,AHEGAL,83.77%,"3,650",0,149,865090
98,Jets'n'Guns 2,88.28%,"3,587",3,182,830820
99,Sierra Ops - Space Strategy Visual Novel,70.67%,"3,570",1,431,364210
