,Name,Rating,Followers,Online,Peak,id
0,Dead by Daylight,81.53%,"1,298,168","56,841","105,093",381210
1,Left 4 Dead 2,96.42%,"865,195","15,985","162,399",550
2,The Forest,93.84%,"625,035","6,118","64,879",242760
3,Killing Floor 2,86.81%,"617,961","2,775","69,987",232090
4,Dying Light: Enhanced Edition,93.98%,"603,769","4,467","45,876",239140
5,Z1 Battle Royale,55.26%,"517,234",87,"151,239",433850
6,Sekiro™: Shadows Die Twice - GOTY Edition,93.56%,"460,471","2,405","125,315",814380
7,Ring of Elysium,73.97%,"424,290",852,"63,435",755790
8,Red Dead Redemption 2,85.24%,"411,084","14,369","55,271",1174180
9,Hunt: Showdown,81.16%,"396,304","14,827","32,698",594650
10,Chivalry: Medieval Warfare,81.24%,"367,886",199,"25,145",219640
11,theHunter: Call of the Wild™,84.57%,"356,627","2,407","18,081",518790
12,Metro Exodus,86.81%,"348,587",987,"15,375",412020
13,DOOM,93.94%,"327,579","1,827","44,271",379720
14,Total War: WARHAMMER,76.75%,"323,369",776,"113,019",364360
15,Watch_Dogs® 2,81.33%,"296,713",301,"18,138",447040
16,SCUM,72.18%,"294,185","10,110","68,322",513710
17,Middle-earth™: Shadow of War™,85.06%,"290,587","2,263","68,183",356190
18,Assassin's Creed® Odyssey,87.59%,"277,672","3,018","62,069",812140
19,Conan Exiles,77.48%,"277,541","9,411","53,402",440900
20,Resident Evil 2,95.77%,"263,717",808,"74,227",883710
21,Black Squad,75.99%,"260,757","1,131","15,939",550650
22,Call of Duty®: Black Ops III,75.70%,"260,696","4,778","63,681",311210
23,FOR HONOR™,66.32%,"256,503","3,985","225,831",304390
24,NARAKA: BLADEPOINT,67.75%,"249,815","21,746","70,731",1203220
25,Call of Duty®: WWII,62.66%,"244,891",211,"19,406",476600
26,GTFO,86.64%,"236,110",499,"5,247",493520
27,Shadow of the Tomb Raider: Definitive Edition,82.13%,"234,624","1,222","38,268",750920
28,HITMAN™ 2,89.37%,"231,772","1,502","361,001",863550
29,Dying Light 2 Stay Human,-,"222,355",0,34,534380
30,The Binding of Isaac: Rebirth,96.57%,"222,230","17,005","70,701",250900
31,Dishonored 2,85.14%,"219,057","1,613","22,411",403640
32,Devil May Cry 5,92.69%,"218,904",527,"88,894",601150
33,Middle-earth™: Shadow of Mordor™,90.70%,"215,473",521,"48,668",241930
34,Insurgency: Sandstorm,83.26%,"211,997","2,444","14,606",581320
35,Warhammer: End Times - Vermintide,78.35%,"211,417",106,"24,700",235540
36,Sniper Elite 4,88.14%,"208,208","1,103","15,101",312660
37,Half-Life: Alyx,96.82%,"207,624",620,"42,858",546560
38,Friday the 13th: The Game,77.50%,"207,391",912,"16,096",438740
39,DOOM Eternal,89.24%,"206,899","4,244","104,891",782330
40,Warhammer: Vermintide 2,81.50%,"199,384","3,838","73,316",552500
41,Hell Let Loose,81.18%,"196,146","7,055","14,190",686810
42,Resident Evil 7 Biohazard,92.68%,"191,836",535,"20,449",418370
43,Mafia III: Definitive Edition,54.85%,"184,243",541,"47,822",360430
44,Dirty Bomb®,80.02%,"176,211",183,"13,113",333930
45,Verdun,83.99%,"171,638",252,"4,541",242860
46,MORDHAU,81.35%,"171,629","2,938","60,204",629760
47,Assassin's Creed® Syndicate,77.22%,"170,210",240,"4,729",368500
