,Name,Rating,Followers,Online,Peak,id
0,Sid Meier’s Civilization® VI,81.65%,"616,045","27,384","162,657",289070
1,Total War: THREE KINGDOMS,69.70%,"461,869","2,758","192,298",779340
2,Stellaris,86.01%,"407,722","11,307","68,602",281990
3,Total War: WARHAMMER II,92.11%,"379,908","22,651","84,920",594570
4,Total War: WARHAMMER,76.75%,"323,369",685,"113,019",364360
5,Hearts of Iron IV,90.59%,"272,158","26,439","46,806",394360
6,Sid Meier's Civilization® V,94.95%,"178,879","17,544","91,363",8930
7,Crusader Kings III,91.87%,"178,033","11,512","98,872",1158310
8,ENDLESS™ Space 2,81.03%,"171,909",908,"53,435",392110
9,Europa Universalis IV,84.74%,"165,520","17,076","48,165",236850
11,ENDLESS™ Legend,82.56%,"147,291",315,"10,468",289130
12,Sid Meier's Civilization®: Beyond Earth™,57.15%,"143,979",460,"86,892",65980
13,Total War™: ROME II - Emperor Edition,78.54%,"130,671","5,142","118,240",214950
14,Total War: ATTILA,78.38%,"121,279","1,863","26,346",325610
15,Crusader Kings II,88.54%,"113,781","3,396","141,439",203770
17,Iron Harvest,70.22%,"101,513",674,"8,164",826630
18,A Total War Saga: THRONES OF BRITANNIA,66.13%,"101,033",414,"22,797",712100
19,Imperator: Rome,56.72%,"96,337",752,"41,945",859580
20,Armello,80.42%,"90,904",206,"3,614",290340
21,Galactic Civilizations III,75.01%,"87,606",402,"6,297",226860
22,Master of Orion,72.91%,"86,754",397,"4,852",298050
23,Planetary Annihilation: TITANS,81.90%,"79,347",218,"4,577",386070
24,Planet Nomads,66.20%,"75,122",18,372,504050
26,Starpoint Gemini Warlords,71.86%,"67,738",22,"1,260",419480
27,Age of Wonders III,78.08%,"65,016",447,"19,469",226840
28,Cossacks 3,78.05%,"61,913",481,"5,797",333420
29,Ultimate General: Civil War,86.29%,"59,813",650,"1,678",502520
30,STAR WARS™ Empire at War - Gold Pack,95.05%,"56,993","1,643","5,716",32470
31,Medieval Kingdom Wars,75.38%,"54,339",8,549,499660
32,Sins of a Solar Empire®: Rebellion,90.57%,"52,909",628,"93,109",204880
33,Oriental Empires,77.57%,"50,241",23,896,357310
34,ROMANCE OF THE THREE KINGDOMS XIV,57.09%,"47,872",954,"16,482",872410
35,"Warhammer 40,000: Gladius - Relics of War",78.11%,"47,113",387,"3,451",489630
36,Heroes of the Three Kingdoms 8,54.64%,"46,390",163,"25,160",875210
37,ROMANCE OF THE THREE KINGDOMS XIII,51.81%,"45,809",374,"11,909",363150
38,Age of History II,83.18%,"42,902",662,"2,206",603850
39,Imagine Earth,76.54%,"42,187",22,327,280720
40,Total War: EMPIRE – Definitive Edition,88.85%,"41,990","2,424","27,559",10500
41,Victoria 3,-,"40,157",0,7,529340
42,Grand Ages: Medieval,46.63%,"36,888",18,"4,274",310470
43,Frozenheim,68.16%,"36,555",57,"2,523",1134100
44,Evil Bank Manager,74.50%,"35,503",16,530,896160
45,Driftland: The Magic Revival,72.49%,"34,936",15,456,718650
46,Total War: NAPOLEON – Definitive Edition,89.43%,"32,127","1,264","9,935",34030
47,Total War: MEDIEVAL II – Definitive Edition,93.49%,"31,725","3,112","8,453",4700
48,Total War: ROME REMASTERED,67.88%,"29,783",834,"18,526",885970
50,Xenonauts,84.83%,"29,615",81,"1,619",223830
51,"Warhammer 40,000: Regicide",67.41%,"29,075",2,516,322910
52,Victoria II,89.61%,"28,347","1,294","3,419",42960
53,ENDLESS™ Space - Definitive Edition,78.41%,"27,612",86,"31,089",208140
54,Airships: Conquer the Skies,91.87%,"27,106",62,"1,030",342560
55,Three Kingdoms The Last Warlord,69.71%,"27,015",79,799,577230
56,Supreme Commander 2,85.30%,"26,663",329,"3,730",40100
58,Distant Worlds: Universe,73.97%,"24,604",42,"1,254",261470
59,Knights of Honor II: Sovereign,-,"22,598",0,1,736820
60,Phoenix Point: Year One Edition,69.39%,"22,078",419,"4,993",839770
61,Blood of Steel,77.67%,"21,432",247,"2,203",567630
62,Creeper World 4,91.06%,"21,246",423,"3,828",848480
63,Ymir,72.64%,"19,426",54,564,378360
65,Panzer Corps 2,78.09%,"19,051",579,"3,480",1072040
66,Heavy Metal Machines,72.07%,"18,919",14,442,331360
67,NOBUNAGA'S AMBITION: Sphere of Influence,78.80%,"18,238",23,"1,166",392470
68,AI War 2,84.73%,"17,936",20,310,573410
69,RISK: Global Domination,82.35%,"17,869","1,664","11,716",1128810
70,Generals & Rulers,63.57%,"17,653",2,68,1076920
71,Fantasy General II,78.95%,"17,177",40,634,1025440
72,Sigma Theory: Global Cold War,73.51%,"17,149",5,315,716640
73,Warhammer Underworlds: Online,61.88%,"16,994",13,793,1022310
74,Hegemony III: Clash of the Ancients,73.79%,"16,577",8,251,308173
76,Supreme Commander: Forged Alliance,94.06%,"16,327",558,"1,330",9420
77,Hearts of Iron III,75.18%,"16,141",105,"1,551",25890
78,Railroad Corporation,70.52%,"16,122",40,306,797400
79,Unity of Command II,77.97%,"15,736",67,614,809230
80,Last Day of Rome,52.61%,"15,396",0,314,1015090
81,Terraforming Mars,74.19%,"15,322",506,"1,667",800270
82,Songs of Syx,89.03%,"14,981",227,318,1162750
83,Dominions 4: Thrones of Ascension,86.73%,"14,836",7,557,259060
84,Making History: The Great War,71.59%,"14,481",7,114,279140
85,Democracy 4,81.45%,"13,967",72,699,1410710
86,Carrier Command 2,70.90%,"13,871","1,469","2,696",1489630
88,Field of Glory: Empires,78.25%,"13,270",28,471,1011390
89,Rome: Total War™ - Collection,91.85%,"13,211",910,"4,413",4760
90,Stronghold Kingdoms,63.95%,"13,177",342,"8,616",47410
91,Panzer Corps Gold,87.15%,"13,172",335,"1,056",268400
92,Immortal Realms: Vampire Wars,60.88%,"12,915",3,547,1024480
93,中华三国志 the Three Kingdoms of China,80.96%,"12,015",16,439,1029500
94,Pax Nova,58.43%,"12,007",5,201,804850
95,Fallen Enchantress: Legendary Heroes,70.83%,"11,616",51,"2,682",228260
96,Call of War: World War 2,63.09%,"11,364",274,773,672680
97,AI War: Fleet Command,79.54%,"11,359",4,"5,027",40400
98,Dominions 5 - Warriors of the Faith,89.72%,"11,223",255,"1,085",722060
99,Polaris Sector,68.02%,"10,999",6,548,418250
