,Name,Rating,Followers,Online,Peak,id
0,The Beginner's Guide,84.89%,"36,254",11,947,303210
1,RUSH,85.24%,"30,930",0,"3,944",38720
2,EDGE,88.02%,"26,723",0,363,38740
3,Draw & Guess,83.34%,"19,037","1,025","41,766",1483870
4,Antichamber,92.65%,"17,817",15,"2,369",219890
5,Manifold Garden,91.77%,"15,596",16,326,473950
6,Absolute Drift,84.95%,"11,803",3,352,320140
7,LEGO® Builder's Journey,74.81%,"10,044",12,727,1544360
9,LYNE,92.90%,"8,552",7,239,266010
10,The Bridge,84.90%,"8,411",2,"1,015",204240
11,NaissanceE,79.40%,"8,221",6,230,265690
12,Hook,93.89%,"7,608",2,261,367580
13,When The Past Was Around,91.02%,"7,205",2,171,1164050
14,Noosphere,72.21%,"7,176",1,24,1161430
15,UNDYING,-,"7,154",0,7,638990
16,Receiver,77.17%,"6,087",0,"1,224",234190
17,Rail Route,85.99%,"5,800",119,461,1124180
18,Sudoku Killer / 杀手数独,79.37%,"5,790",3,19,861270
19,Papo & Yo,89.43%,"5,730",2,239,227080
20,klocki,93.33%,"5,213",2,438,499440
21,Anodyne,79.87%,"5,200",1,387,234900
22,Lovely Planet,87.33%,"5,002",2,"2,999",298600
23,64.0,86.53%,"4,612",2,60,578850
24,Her Majesty's Ship,49.29%,"4,562",0,128,688660
25,OVIVO,83.23%,"4,485",0,72,597700
26,Bitardia,83.62%,"4,216",2,84,405010
27,Hotshot Racing,71.53%,"4,087",3,338,609920
28,Elbub,60.90%,"3,874",0,11,757860
29,140,89.24%,"3,839",2,551,242820
30,Dreaming Sarah,87.25%,"3,466",3,"3,038",296870
31,Kairo,71.00%,"3,459",0,82,233230
32,Hexcells,93.04%,"3,271",7,384,265890
33,INVERSUS Deluxe,82.42%,"3,265",2,65,432980
34,Sudoku Universe / 数独宇宙,90.03%,"3,042",11,232,733070
35,Hylics,93.07%,"2,995",5,80,397740
36,Bars and Balance,76.19%,"2,983",0,5,731940
37,Circa Infinity,85.14%,"2,881",0,13,390610
38,The Backrooms Game FREE Edition,80.44%,"2,820",5,116,1111210
39,Cylne,47.88%,"2,761",0,4,346550
40,FISHERY,80.87%,"2,727",2,25,809730
41,Wayout,83.63%,"2,698",0,785,551110
42,Intelligent Design: An Evolutionary Sandbox,47.70%,"2,654",0,128,627620
43,Hot Brass,75.76%,"2,647",2,156,892860
44,FRACT OSC,80.45%,"2,632",0,311,243220
45,World of One,66.59%,"2,585",0,28,598480
46,Rememoried,56.84%,"2,576",0,64,368450
47,Balls and Magnets,64.52%,"2,558",0,3,788320
48,FOTONICA,83.15%,"2,555",0,226,253290
49,Geometry Arena,92.43%,"2,450",48,673,1255650
50,Youropa,80.91%,"2,446",0,71,640120
51,SNKRX,93.17%,"2,399",167,"1,766",915310
52,Slime CCG,41.25%,"2,395",0,217,863560
53,Fibrillation HD,80.94%,"2,338",0,14,558450
54,Construct: Escape the System,69.83%,"2,271",1,20,497080
55,Disoriented,78.19%,"2,232",1,121,556240
57,Nelly Cootalot: The Fowl Fleet,85.17%,"2,038",1,164,317320
58,A Good Snowman Is Hard To Build,88.34%,"2,036",1,64,316610
59,David.,74.59%,"2,021",0,549,346180
60,Essays on Empathy,73.08%,"2,020",1,36,1586880
61,大千世界,84.25%,"2,011",32,"1,437",1348300
63,Euclidean,62.16%,"1,931",0,25,398180
64,Fermi's Path,62.07%,"1,865",0,132,342650
65,Lifeslide,86.58%,"1,862",3,33,956140
66,Under a Porcelain Sun,-,"1,834",0,1,532230
68,Munin,78.23%,"1,759",1,155,281750
69,Californium,68.38%,"1,742",1,57,402060
70,Colortone,63.57%,"1,683",1,"2,333",375320
71,Becalm,78.18%,"1,653",0,16,999830
72,Engare,87.49%,"1,651",0,48,415170
73,Chippy,85.80%,"1,620",3,97,602700
74,Lines X Free,87.23%,"1,618",1,121,725340
75,Project Rhombus,87.81%,"1,599",2,127,735570
76,Waves,88.75%,"1,560",2,142,107600
77,SLUDGE LIFE,85.19%,"1,552",10,62,1144770
78,Sokobond,85.94%,"1,537",2,81,290260
79,MirrorMoon EP,57.12%,"1,513",0,121,231310
80,Immortal Defense,79.96%,"1,478",0,24,298360
81,Hive,80.94%,"1,468",2,801,251210
83,Star Sky,73.52%,"1,379",2,38,407020
84,Waves 2: Notorious,79.23%,"1,369",0,7,217120
85,Exo One: Prologue,89.63%,"1,335",4,90,1375530
86,0°N 0°W,80.13%,"1,319",0,8,670750
87,Nonogram - The Greatest Painter,78.34%,"1,285",6,24,742490
88,Cognition Method: Initiation,78.58%,"1,280",0,143,1554860
89,Bot Colony,64.28%,"1,280",0,7,263040
90,Cadence,-,"1,263",0,3,362800
91,SOK,77.04%,"1,253",0,5,765940
92,Khet 2.0,81.10%,"1,238",0,902,312720
93,Ayahuasca,76.68%,"1,235",0,11,1212940
94,Milk inside a bag of milk inside a bag of milk,93.13%,"1,230",8,19,1392820
95,Mars Power Industries Deluxe,87.27%,"1,225",1,25,977230
96,Cosmic Express,86.39%,"1,218",1,56,583270
97,SiNKR,87.39%,"1,214",1,39,676420
98,Don't Disturb,79.11%,"1,204",0,25,501840
99,Ilamentia,63.76%,"1,195",0,96,334710
