,Name,Rating,Followers,Online,Peak,id
0,Kingdom Come: Deliverance,80.72%,"348,750","2,148","96,069",379430
1,鬼谷八荒,86.35%,"170,182","1,215","184,171",1468810
2,Life is Strange: Before the Storm,91.72%,"117,404",119,"16,209",554620
3,Tales from the Borderlands,92.88%,"83,190",18,"8,690",330830
4,Minecraft: Story Mode - A Telltale Games Series,74.05%,"83,042",13,"6,423",376870
5,Game of Thrones - A Telltale Games Series,74.51%,"81,296",9,"6,771",330840
6,Hand of Fate,87.68%,"75,554",12,"2,178",266510
7,Life is Strange 2,82.88%,"74,964",248,"468,717",532210
8,Anno 1800,80.13%,"71,818",285,"25,302",916440
9,Dreamfall Chapters,80.26%,"69,538",14,"1,711",237850
10,The Walking Dead: A New Frontier,77.84%,"63,656",52,"8,278",536220
11,Windward,77.48%,"58,884",27,"3,510",326410
12,Griftlands,92.45%,"53,119",304,"7,693",601840
13,The Walking Dead,95.14%,"50,997",151,"12,114",207610
14,The Council,81.91%,"47,121",22,784,287630
15,Batman - The Telltale Series,79.74%,"46,279",56,"4,001",498240
16,The Walking Dead: The Final Season,91.57%,"45,337",68,"4,120",866800
17,Abandon Ship,72.27%,"43,687",4,734,551860
18,The Walking Dead: Season Two,93.82%,"41,397",64,"18,627",261030
19,The Henry Stickmin Collection,96.46%,"39,425",234,"2,812",1089980
20,Star Control®: Origins,69.84%,"38,920",18,"2,601",271260
21,The Wolf Among Us,95.46%,"38,739",70,"14,321",250320
22,Pine,73.62%,"37,055",11,"1,630",1042780
23,Doki Doki Literature Club Plus!,93.01%,"35,553",338,"8,662",1388880
24,WILL: A Wonderful World / WILL：美好世界,90.62%,"32,504",4,"1,126",588040
25,Pathway,72.52%,"32,347",11,"1,952",546430
26,Lucy -The Eternity She Wished For-,92.05%,"32,283",5,193,430960
27,Late Shift,84.47%,"30,845",21,395,584980
28,The Walking Dead: Michonne - A Telltale Miniseries,76.21%,"29,423",2,"2,435",429570
29,Marvel's Guardians of the Galaxy: The Telltale Series,83.13%,"28,389",3,906,579950
30,Not For Broadcast,92.02%,"27,940",19,326,1147550
31,Batman: The Enemy Within - The Telltale Series,87.26%,"26,430",51,"2,029",675260
32,People Playground,96.98%,"25,803","5,069","8,431",1118200
33,The Pirate: Caribbean Hunt,78.62%,"25,423",49,"1,968",512470
35,Tell Me Why,81.98%,"23,299",134,"2,784",1180660
36,Reigns,85.64%,"23,176",46,"1,612",474750
37,Hired Ops,62.22%,"22,846",142,"1,835",374280
38,Way of the Samurai 4,76.82%,"22,242",9,"1,557",312780
39,Super Seducer : How to Talk to Girls,79.32%,"17,955",3,431,695920
40,Anima: Gate of Memories,64.68%,"17,779",4,145,380750
41,THE LONGING,88.86%,"17,683",72,"1,063",893850
42,The Town of Light,76.67%,"16,961",6,155,433100
43,Minecraft: Story Mode - Season Two,86.84%,"15,105",3,"1,228",639170
44,Emily is Away,86.84%,"15,025",17,"2,803",417860
45,Legends of Eisenwald,73.32%,"14,967",12,872,246760
46,Gedonia,84.00%,"14,803",14,121,1114220
47,City of Broken Dreamers: Book One,88.79%,"14,767",46,386,1358250
48,Fictorum,73.04%,"14,523",1,453,503620
49,60 Seconds! Reatomized,91.13%,"13,894",136,873,1012880
50,The Great Ace Attorney Chronicles,89.46%,"13,818","1,166","2,523",1158850
51,Hardland,69.42%,"13,479",1,89,321980
52,Blues and Bullets,61.47%,"12,758",0,118,378660
53,College Kings - Act I,89.56%,"11,967",226,"1,642",1463120
54,Reigns: Game of Thrones,73.74%,"11,887",5,515,897820
56,Long Live The Queen,91.87%,"11,740",20,"2,623",251990
57,80 Days,87.02%,"11,678",11,168,381780
58,The Life and Suffering of Sir Brante,88.15%,"11,602",43,"1,819",1272160
59,BEAUTIFUL DESOLATION,77.53%,"11,557",3,175,912570
60,Monster Prom 2: Monster Camp,94.01%,"11,487",65,"2,252",1140270
61,Crystalline,90.29%,"10,993",4,109,616250
63,Suzerain,90.13%,"10,528",98,"1,090",1207650
64,Plebby Quest: The Crusades,84.16%,"10,486",10,"3,533",334310
65,Vagrus - The Riven Realms,80.25%,"10,323",7,131,909660
66,Epic Tavern,65.17%,"10,279",1,56,517720
67,Wrench,85.85%,"10,254",15,150,936720
68,Nantucket,75.21%,"10,211",3,"1,261",621220
69,Afterparty,69.69%,"10,043",6,104,762220
70,Sid Meier's Pirates!,90.78%,"10,034",123,"1,342",3920
71,Heaven's Vault,85.87%,"9,968",24,261,774201
72,The Fermi Paradox,74.71%,"9,828",21,423,1543150
73,Reventure,91.80%,"9,755",26,"1,105",900270
74,Death and Taxes,85.88%,"9,661",11,632,1166290
75,Our Life: Beginnings & Always,94.84%,"9,505",201,"1,400",1129190
76,Way of the Samurai 3,73.36%,"9,401",5,235,427510
77,1979 Revolution: Black Friday,73.46%,"9,322",0,40,388320
78,Seek Girl Ⅱ,79.98%,"9,126",2,251,1149660
79,Joe Dever's Lone Wolf HD Remastered,72.63%,"8,964",2,98,279440
80,Bigscreen Beta,83.31%,"8,908",82,315,457550
81,LoveKami -Divinity Stage-,77.34%,"8,852",0,128,547340
82,Emily is Away <3,90.59%,"8,709",55,882,978460
83,ACE Academy,90.17%,"8,703",2,132,396650
85,Tokyo School Life,87.60%,"8,491",0,116,320760
87,She Sees Red - Interactive Movie,75.66%,"7,750",0,155,1081510
88,Blood and Gold: Caribbean!,59.38%,"7,705",11,497,413710
89,Fetish Locator Week One - Extended Edition,84.71%,"7,653",25,331,1360980
91,Fast Food Manager,68.32%,"7,476",4,31,1519790
92,LoveKami -Useless Goddess-,75.52%,"6,981",2,89,626510
93,Cinders,82.70%,"6,972",0,149,293680
94,The Warlock of Firetop Mountain,72.53%,"6,907",2,264,324740
95,Six Ages: Ride Like the Wind,76.80%,"6,706",7,175,881420
96,Reigns: Her Majesty,80.90%,"6,428",7,292,717640
98,Buddy Simulator 1984,90.27%,"6,324",37,280,1269950
99,Lust Theory Season 1,81.46%,"6,285",477,800,1607130
