,Name,Rating,Followers,Online,Peak,id
0,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,469","9,063","93,701",435150
1,Baldur's Gate 3,86.61%,"353,575","1,977","73,980",1086940
2,Dungeon Defenders II,75.28%,"234,482",814,"18,785",236110
3,It Takes Two,93.69%,"151,725","7,437","21,567",1426210
4,Borderlands 3,82.52%,"148,744","9,936","93,820",397540
5,Marvel's Avengers,65.42%,"91,138","1,305","31,165",997070
6,Overcooked,88.50%,"79,826",403,"1,195",448510
7,Resident Evil 6,78.73%,"69,385",619,"11,879",221040
8,Gears 5,65.99%,"67,402",352,"10,196",1097840
9,From the Depths,87.42%,"66,623",370,"1,700",268650
10,Arizona Sunshine®,79.03%,"52,656",225,658,342180
11,Command & Conquer: Red Alert 3,82.68%,"40,237",528,"2,984",17480
12,Resident Evil 5,85.19%,"36,144",382,"2,585",21690
13,Hellpoint,73.40%,"35,307",59,"1,911",628670
15,Streets of Rage 4,89.58%,"34,807",728,"6,438",985890
16,We Were Here Together,84.17%,"31,598",179,"2,261",865360
17,Lovers in a Dangerous Spacetime,89.94%,"30,577",31,273,252110
18,Earthfall,63.93%,"30,439",4,587,415590
19,We Were Here,89.74%,"29,564",139,"1,365",582500
20,Orcs Must Die! 3,81.54%,"27,958","4,105","13,210",1522820
21,Biped,88.28%,"26,090",287,"1,853",1071870
22,Raw Data,76.72%,"25,263",19,414,436320
23,"Warhammer 40,000: Dawn of War II",86.75%,"24,757",170,"18,862",15620
24,We Were Here Too,77.83%,"24,661",39,956,677160
26,Unfortunate Spacemen,84.52%,"20,876",150,"11,823",408900
27,The Incredible Adventures of Van Helsing: Final Cut,73.15%,"18,958",39,"1,322",400170
28,F.E.A.R. 3,71.02%,"18,125",25,"3,090",21100
30,Saints Row 2,76.00%,"17,863",67,"6,509",9480
31,Bus Simulator 16,66.64%,"16,044",25,"1,280",324310
33,Operation: Tango,85.64%,"13,780",119,875,1335790
34,RUNE II: Decapitation Edition,55.55%,"13,524",1,316,821290
36,LARA CROFT AND THE TEMPLE OF OSIRIS™,64.20%,"12,957",19,"3,438",289690
37,Tick Tock: A Tale for Two,86.50%,"12,824",96,"1,213",790740
38,Obscure,89.67%,"10,785",11,91,254460
39,NeuroVoider,73.71%,"10,506",0,205,400450
40,SURV1V3,78.51%,"9,944",60,148,722180
41,"Cook, Serve, Delicious! 2!!",85.65%,"9,608",35,"1,532",386620
42,Embr,79.56%,"9,389",15,670,1062830
43,Gatewalkers (Alpha),79.32%,"9,100",0,254,1341330
44,Lara Croft and the Guardian of Light,87.83%,"8,879",21,877,35130
45,The Incredible Adventures of Van Helsing III,60.83%,"8,733",1,923,359900
46,Fantasy Grounds Unity,81.45%,"8,113",150,420,1196310
47,Frozen Flame,-,"7,904",0,8,715400
49,Tools Up!,69.91%,"7,627",23,183,1004490
50,Karnage Chronicles,83.81%,"7,553",3,85,611160
51,Blazing Chrome,84.98%,"7,491",7,119,609110
52,Bloody Trapland,80.02%,"7,148",0,591,257750
53,Geneshift,78.08%,"7,010",9,"214,143",308600
54,Super Cane Magic ZERO - Legend of the Cane Cane,85.22%,"6,882",1,84,336440
55,Solstice Chronicles: MIA,70.15%,"6,095",0,101,528160
56,The Walking Dead Onslaught,40.46%,"6,048",1,653,1082680
58,POSTAL Redux,87.03%,"5,892",15,628,401680
60,A Year Of Rain,48.56%,"5,703",1,244,319540
61,Out of Ammo,78.57%,"5,445",0,57,451840
62,"Cook, Serve, Delicious! 3?!",89.66%,"5,397",63,491,1000030
64,The TakeOver,80.79%,"5,065",0,24,418620
66,Superfighters Deluxe,87.24%,"4,995",47,146,855860
67,Overcooked! All You Can Eat,53.22%,"4,979",381,"3,077",1243830
68,Uncraft World,79.63%,"4,957",0,29,339910
70,Hacktag,66.86%,"4,804",4,77,622770
71,Levelhead,88.76%,"4,781",28,367,792710
72,PHOGS!,85.38%,"4,514",13,80,850320
73,Woodle Deluxe,76.37%,"4,314",0,5,1516090
74,39 Days to Mars,80.66%,"4,025",0,16,504920
75,Lumberhill,70.42%,"3,092",17,181,976900
76,Speed Brawl,78.23%,"3,092",0,44,468670
77,Streets of Fury EX,88.24%,"3,064",2,34,350910
79,Bloody Trapland 2: Curiosity,77.93%,"2,886",7,86,579840
80,Haunt Chaser,80.03%,"2,695",25,155,1450180
81,9th Dawn III,83.29%,"2,686",5,437,1154850
82,Double Dragon Trilogy,54.85%,"2,652",0,159,314150
83,Death Squared,85.11%,"2,415",3,66,471810
84,Battlewake,64.37%,"2,399",0,38,814400
85,CounterAttack,83.18%,"2,375",3,70,451600
86,Struggling,80.41%,"2,267",8,142,1035560
87,Dungeon Crowley,69.01%,"2,264",0,10,937530
88,Asterix & Obelix XXL 3 - The Crystal Menhir,60.56%,"2,172",5,61,1109690
89,Undercrewed,65.25%,"2,119",0,24,731310
90,Toodee and Topdee,87.07%,"2,049",33,72,1303950
92,Diner Bros,82.48%,"2,009",19,91,846800
93,Colony Siege,83.52%,"1,939",7,69,1198740
94,War of Beach,53.61%,"1,757",0,428,398840
95,Cobra Kai: The Karate Kid Saga Continues,83.62%,"1,751",1,92,1279920
96,Congo,57.46%,"1,717",0,43,317530
97,Charterstone: Digital Edition,71.73%,"1,662",3,292,1046660
98,Mad Experiments: Escape Room,76.51%,"1,608",3,58,1201550
99,Stardust Galaxy Warriors: Stellar Climax,86.17%,"1,602",1,30,389650
