,Name,Rating,Followers,Online,Peak,id
0,Stoneshard,77.05%,"111,529",372,"10,738",625960
1,Wayward,81.08%,"28,182",43,140,379210
2,Caves of Qud,91.98%,"22,146",160,"1,221",333640
3,Low Magic Age,87.30%,"17,186",53,212,576770
4,Tales of Maj'Eyal,92.15%,"15,214",248,867,259680
5,UnReal World,90.06%,"13,114",14,249,351700
6,Tangledeep,80.68%,"12,980",13,423,628770
7,One Way Heroics,90.76%,"11,755",46,775,266210
8,Desktop Dungeons,85.88%,"11,064",13,"1,528",226620
9,Jupiter Hell,88.29%,"10,568",320,666,811320
10,ADOM (Ancient Domains Of Mystery),83.31%,"9,753",77,312,333300
11,Cogmind,91.43%,"9,130",7,168,722730
12,Sproggiwood,76.75%,"7,328",1,131,311720
13,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,73.70%,"6,257",183,"2,671",1178790
14,Dungeons of Dredmor,90.55%,"5,965",39,"5,098",98800
15,Rogue Empire: Dungeon Crawler RPG,81.03%,"5,451",10,340,650940
16,Dungeonmans,86.27%,"5,281",33,248,288120
17,Hieroglyphika,61.67%,"4,288",1,11,434880
18,Ultimate ADOM - Caverns of Chaos,65.73%,"4,206",4,135,1266820
19,Quest of Dungeons,73.21%,"3,683",1,125,270050
20,MidBoss,78.96%,"3,460",0,97,561740
21,The World is Your Weapon,89.62%,"3,454",10,81,1056490
22,Tavern of Gods,74.54%,"3,243",23,563,1418020
23,Dredgers,83.21%,"3,104",4,157,1112930
24,Sword of the Stars: The Pit,82.63%,"2,706",10,"1,298",233700
25,Shattered Planet,65.64%,"2,682",4,209,305640
26,Vulture for NetHack,64.83%,"2,524",1,55,341390
27,Door in the Woods,72.67%,"2,110",0,75,1189230
28,Xenomarine,74.44%,"1,894",1,19,676830
29,Approaching Infinity,82.35%,"1,815",4,42,551620
30,"Hack, Slash, Loot",50.67%,"1,764",0,546,207430
31,Rogue,87.69%,"1,643",2,74,1443430
32,Nova-111,71.90%,"1,544",0,155,325370
34,Rogue Fable III,86.34%,"1,372",44,75,956450
35,OMFG: One Million Fatal Guns,87.87%,"1,331",8,231,1555710
36,Rift Wizard,84.72%,"1,246",5,37,1271280
37,Rogue's Tale,67.37%,"1,206",54,190,265990
38,Terra Randoma,76.08%,"1,194",0,28,1120400
39,Golden Krone Hotel,86.33%,"1,193",1,20,497800
40,Hero of Not Our Time,67.82%,"1,113",6,42,1409730
41,Haque,80.70%,"1,081",0,15,662540
43,HyperRogue,86.38%,987,3,53,342610
44,Endhall,77.11%,895,0,7,838990
45,Fareo: Shadowlands,77.16%,796,2,31,1218810
46,Hydra Slayer,78.74%,732,0,8,432380
47,Lost in Dungeon / 地牢迷失者,73.16%,726,1,13,1362440
48,Legion's Crawl,68.05%,685,0,11,885780
49,C:\raft,53.31%,668,0,6,386710
50,Rogue Harvest,57.17%,661,0,6,409490
51,Cardinal Quest 2,79.08%,644,1,14,378030
52,I Am Overburdened,80.60%,565,0,25,690560
53,We Slay Monsters,81.55%,559,0,38,332540
54,Ananias Roguelike,72.05%,533,0,10,372080
55,NovaMundi: The Spear of Chaquén,64.78%,527,1,4,1370940
56,Dread Nautical,68.78%,458,0,16,1426900
57,Wyvern,67.26%,454,8,35,1541710
58,Possession,73.89%,442,0,6,629340
59,XLarn,66.85%,421,0,17,360030
60,The Curse Of Yendor,83.81%,391,0,12,576420
61,The Red Prison,73.63%,379,0,99,1074040
62,NetHack: Legacy,69.33%,362,0,6,837200
63,Once upon a Dungeon,76.37%,324,0,8,772090
64,Equin: The Lantern,80.01%,307,0,7,547980
65,Torgar's Quest,65.93%,303,0,5,448810
66,God Sword,36.47%,290,13,25,1490680
67,Dawn of the Mexica,75.64%,281,1,7,1456630
68,Stay Safe: Labyrinth of the Mad,66.57%,268,0,8,1105660
69,Dungeon Limbus,56.53%,267,0,33,1366520
71,Fractalis,69.20%,247,0,4,1141160
72,Lost Flame,81.46%,209,0,9,856570
74,Risk Of Waifus,52.78%,191,0,3,1632420
75,问道仙途,60.90%,179,1,21,1348510
77,Solar Rogue,59.42%,170,0,2,1301410
78,Ufflegrim,75.71%,159,0,4,1072800
80,Greedy Dungeon,76.97%,130,0,9,1366150
82,无限次元,67.93%,122,1,8,1398630
83,In the House of Silence,61.97%,115,0,4,1378870
84,Get Ogre It,78.75%,114,0,602,1411920
86,Overpower,64.08%,106,0,3,1523220
87,Dungeon of Rikka,77.77%,101,0,3,1183840
91,The Wizard's Lair,48.11%,79,0,"2,034",507360
92,Living the Nightmare,75.71%,76,0,3,1361020
93,中国象棋-残局大师,57.76%,75,0,25,1625260
94,魔法与高塔,76.34%,73,0,5,1598750
95,Dwarves & Dungeons,76.45%,71,0,8,1457690
96,青之镇物语,55.69%,67,0,3,1608460
97,Hyper Dungeon Crawler,64.08%,67,0,4,1570290
99,Text RPG,75.86%,60,0,3,1471240
