,Name,Rating,Followers,Online,Peak,id
0,Team Fortress 2,93.06%,"1,231,323","76,505","151,253",440
2,Cuphead,94.74%,"255,988",871,"19,026",268910
3,South Park™: The Stick of Truth™,95.69%,"108,056",213,"34,811",213670
4,South Park™: The Fractured But Whole™,78.54%,"100,505",231,"21,609",488790
5,Torchlight II,91.67%,"93,820",341,"54,821",200710
6,Youtubers Life,74.79%,"90,009",94,"7,553",428690
7,Awesomenauts - the 2D moba,83.28%,"88,611",202,"12,156",204300
8,Poly Bridge,89.25%,"84,383",105,"4,134",367450
9,SPORE™,89.61%,"72,420",950,"5,630",17390
10,Skullgirls 2nd Encore,91.97%,"54,613",438,"4,016",245170
11,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,92.76%,"51,319",91,"15,419",969990
12,Bendy and the Ink Machine,85.74%,"42,518",70,"3,457",622650
13,The Immortal Mayor,61.60%,"33,378",52,"3,232",1426730
14,WAKFU,74.40%,"30,301",468,"4,078",215080
15,Quest Hunter,78.70%,"28,022",25,549,487000
16,Mark of the Ninja,94.43%,"26,502",4,"5,066",214560
17,We Need To Go Deeper,83.86%,"25,709",71,879,307110
18,The Swords of Ditto: Mormo's Curse,60.39%,"24,955",7,"1,893",619780
19,Dicey Dungeons,87.50%,"23,893",490,"2,994",861540
20,D4: Dark Dreams Don’t Die -Season One-,77.58%,"22,191",0,268,358090
21,Rick and Morty: Virtual Rick-ality,73.15%,"20,728",15,935,469610
22,DORAEMON STORY OF SEASONS,80.34%,"20,627",16,"1,478",965230
23,Passpartout: The Starving Artist,82.62%,"20,598",25,481,582550
24,Spooky's Jump Scare Mansion,90.33%,"20,135",32,625,356670
25,Deponia: The Complete Journey,84.64%,"19,902",63,"13,321",292910
26,Swaying Girl,87.04%,"19,791",13,"1,447",1393350
27,Dead Maze,71.84%,"19,106",145,"3,967",667890
28,Draw & Guess,83.34%,"19,037","1,081","41,766",1483870
29,Kingdom Rush - Tower Defense,93.72%,"17,740",111,"2,022",246420
30,Kingdom Rush Frontiers - Tower Defense,93.16%,"17,733",86,981,458710
32,Shotgun Farmers,90.82%,"16,103",49,486,604240
33,Iron Snout,95.35%,"15,921",16,"1,373",424280
34,Them's Fightin' Herds,88.44%,"15,475",63,"1,436",574980
35,Creaks,89.94%,"15,210",8,286,956030
36,PewDiePie: Legend of the Brofist,85.02%,"14,863",0,376,390520
37,River City Ransom: Underground,73.21%,"14,473",7,"1,659",422810
38,Kingdom Rush Vengeance - Tower Defense,91.85%,"14,464",150,"3,206",1367550
39,Mad Games Tycoon 2,88.13%,"14,274",164,"2,182",1342330
40,"Guns, Gore & Cannoli",88.01%,"14,095",9,263,322210
41,60 Seconds! Reatomized,91.13%,"13,894",136,873,1012880
42,Samurai Jack: Battle Through Time,81.55%,"13,381",4,665,1150590
45,The Jackbox Party Pack 7,92.43%,"13,101",233,"10,599",1211630
46,Carto,93.08%,"13,078",143,929,1172450
47,Monster Boy and the Cursed Kingdom,87.37%,"12,576",16,359,449610
48,CHUCHEL,77.22%,"11,959",2,243,711660
49,POLYGON: Multiplayer Shooter,68.68%,"11,930",178,470,1241100
50,DuckTales: Remastered,84.40%,"11,927",11,"2,052",237630
51,Cyanide & Happiness - Freakpocalypse (Episode 1),56.07%,"11,869",4,"1,286",869880
52,Worms Rumble,68.48%,"11,833",20,767,1186040
53,Gibbous - A Cthulhu Adventure,86.24%,"11,390",9,297,914020
54,Roguebook,79.50%,"11,007",418,"2,548",1076200
55,Torchlight,88.76%,"10,990",27,"6,217",41500
56,Old Man's Journey,84.56%,"10,441",1,180,581270
57,Animaze by FaceRig,53.01%,"9,302",250,664,1364390
58,Iron Marines,78.44%,"9,279",9,498,931280
59,LUNA The Shadow Dust,87.43%,"9,124",2,245,465100
60,Vanguard Princess,68.88%,"8,684",0,674,262150
61,Wizard101,76.43%,"8,167",422,754,799960
62,Perky Little Things,85.41%,"8,120",4,221,811890
63,Panzer Knights,77.92%,"8,040",23,248,1416230
64,Touhou Mystia's Izakaya,92.93%,"7,848",16,664,1584090
65,Shank 2,78.85%,"7,821",11,466,102840
66,The Disney Afternoon Collection,83.12%,"7,679",2,174,525040
67,Alba: A Wildlife Adventure,92.29%,"7,626",9,192,1337010
68,Dealer's Life 2,78.49%,"7,319",38,"2,884",1343670
69,Endless World Idle RPG,76.86%,"7,141",423,"2,312",840260
70,Captain Forever Remix,75.86%,"6,963",0,118,298560
71,Pilgrims,90.51%,"6,774",4,124,1049280
72,The Ultimatest Battle,74.17%,"6,567",0,313,669580
73,Governor of Poker 3,69.66%,"6,486",996,"1,655",436150
75,Steven Universe: Save the Light,86.07%,"6,391",11,200,821890
77,枝江往事,92.32%,"6,328",7,"1,142",1641270
78,TSIOQUE,90.64%,"6,327",1,94,393190
79,Battletoads,68.60%,"6,089",6,768,1244950
80,Jenny LeClue - Detectivu,83.88%,"6,033",7,105,319870
81,Labyrinth City: Pierre the Maze Detective,89.89%,"6,024",5,566,1421790
82,Deck Hunter,71.73%,"6,000",0,148,905490
83,Cute Honey 2,73.39%,"5,932",5,489,1399370
84,Whispering Willows,78.26%,"5,508",1,"2,527",288060
85,Shank,85.94%,"5,349",7,573,6120
86,Desktop Magic Engine,70.59%,"5,308",41,752,1096550
87,Metaverse Keeper / 元能失控,77.95%,"5,213",0,490,698870
88,Mushroom Wars,74.26%,"5,124",1,78,431250
89,COCKHEAD,64.19%,"4,926",0,281,1172050
90,Levelhead,88.76%,"4,782",11,367,792710
91,Race Race Racer,69.94%,"4,780",0,52,1190380
92,Broken Sword 5 - the Serpent's Curse,84.57%,"4,780",10,"1,101",262940
93,Animation Throwdown: The Quest for Cards,72.41%,"4,661",99,"1,380",591960
94,Melvor Idle,89.52%,"4,632","2,735","6,267",1267910
95,Hell Architect: Prologue,77.52%,"4,562",20,366,1382910
96,Message Quest,81.47%,"4,552",0,47,408280
97,Vampires' Melody,92.82%,"4,523",4,174,1377360
99,PHOGS!,85.38%,"4,508",13,80,850320
