,Name,Rating,Followers,Online,Peak,id
0,Chivalry: Medieval Warfare,81.24%,"367,886",143,"25,145",219640
1,Kingdom Come: Deliverance,80.72%,"348,750","1,838","96,069",379430
2,Sea of Thieves,89.02%,"296,832","10,669","66,906",1172620
3,FOR HONOR™,66.32%,"256,503","3,369","225,831",304390
4,NARAKA: BLADEPOINT,67.85%,"249,815","19,814","70,731",1203220
5,STAR WARS Jedi: Fallen Order™,88.86%,"171,904",775,"46,550",1172380
6,MORDHAU,81.35%,"171,629",583,"60,204",629760
7,Shadow Warrior 2,86.00%,"141,054",87,"12,634",324800
8,Beat Saber,94.42%,"135,326","1,355","4,472",620980
9,Blackwake,81.10%,"129,831",46,"6,159",420290
10,Absolver,68.56%,"108,540",42,"18,921",473690
11,Ghostrunner,89.68%,"106,914",211,"11,294",1139900
12,Last Oasis,65.16%,"71,438","1,992","33,287",903950
13,Gloria Victis: Medieval MMORPG,69.59%,"68,188",392,"1,481",327070
14,SOULCALIBUR VI,79.34%,"64,911",388,"14,684",544750
15,Conqueror's Blade,73.45%,"54,881","3,044","15,008",905370
16,Blade and Sorcery,93.29%,"53,459",813,"4,892",629730
17,Hellish Quart,90.25%,"38,104",29,755,1000360
18,Shadow Warrior,90.65%,"33,294",35,"25,890",233130
19,METAL GEAR RISING: REVENGEANCE,91.30%,"31,310",139,"12,205",235460
20,"Pirates, Vikings, and Knights II",84.65%,"25,730",21,878,17570
21,Stories: The Path of Destinies,85.40%,"25,187",7,"81,664",439190
22,STAR WARS™ Jedi Knight - Jedi Academy™,93.11%,"23,591",125,"2,337",6020
23,Clone Drone in the Danger Zone,94.21%,"22,821",574,"1,944",597170
24,Way of the Samurai 4,76.82%,"22,242",12,"1,557",312780
25,GORN,91.34%,"21,793",40,479,578620
26,Blood of Steel,77.67%,"21,432",251,"2,203",567630
27,Omensight: Definitive Edition,84.26%,"20,300",4,245,455820
28,Assassin's Creed Freedom Cry,73.28%,"19,990",10,447,277590
29,Blade Symphony,64.81%,"19,123",6,"3,155",225600
30,Mortal Online 2,-,"17,947",0,"1,300",1170950
