,Name,Rating,Followers,Online,Peak,id
0,Battlerite,83.09%,"526,206",310,"45,145",504370
1,Foxhole,80.39%,"133,390","3,002","5,709",505460
2,HELLDIVERS™ Dive Harder Edition,89.61%,"115,384",186,"6,744",394510
3,Alien Swarm: Reactive Drop,92.35%,"93,465",151,"9,335",563560
4,Alien Swarm,92.47%,"86,518",67,"60,467",630
5,Hotline Miami 2: Wrong Number,91.21%,"74,917",265,"18,950",274170
6,How to Survive 2,68.55%,"73,545",56,"2,823",360170
7,The Ascent,75.74%,"69,539","3,039","14,013",979690
8,RUINER,87.70%,"69,233",19,918,464060
9,Darksiders Genesis,82.54%,"57,934",425,"6,433",710920
10,Door Kickers,91.89%,"52,964",30,"2,041",248610
11,Nuclear Throne,93.67%,"52,555",178,"1,213",242680
12,Police Stories,83.12%,"52,257",48,666,539470
13,Hotline Miami,95.69%,"40,291",138,"6,878",219150
14,Heat Signature,91.32%,"39,955",58,"3,877",268130
15,Star Control®: Origins,69.84%,"38,920",18,"2,601",271260
16,Hatred,77.68%,"36,831",35,"3,085",341940
17,永远消失的幻想乡 ～ The Disappearing of Gensokyo,82.40%,"35,894",5,934,776490
18,Death Trash,90.99%,"35,307",337,"1,008",941460
19,Killsquad,66.21%,"31,043",19,"2,784",910490
20,Super Animal Royale,92.58%,"29,258",781,"6,547",843380
21,Red Solstice 2: Survivors,67.18%,"28,481",148,"3,826",768520
22,Relic Hunters Legend,-,"26,357",0,29,633080
23,Nex Machina,84.21%,"23,903",7,326,404540
25,Rustler,74.06%,"22,222",6,225,844260
26,SYNTHETIK: Legion Rising,91.90%,"22,109",559,"3,458",528230
27,Guardians of Orion (Phase 1),54.12%,"20,891",0,691,407840
28,Grand Theft Auto 2,84.90%,"19,798",0,73,12180
29,Relic Hunters Zero: Remix,91.00%,"18,816",5,"3,777",382490
30,American Fugitive,71.20%,"18,006",8,920,934780
31,Of Guards And Thieves,82.68%,"16,934",22,425,302590
32,Black Skylands,78.62%,"16,794",45,883,1143810
33,BDSM: Big Drunk Satanic Massacre,85.03%,"15,791",1,78,669950
34,Rapture Rejects,41.75%,"15,766",0,962,686600
35,X-Morph: Defense,87.88%,"15,685",22,918,408410
36,Brigador: Up-Armored Edition,91.61%,"15,645",38,616,274500
37,DEEP SPACE WAIFU,93.30%,"15,617",3,268,639790
38,CS2D,87.01%,"15,501",38,"1,418",666220
39,12 is Better Than 6,82.07%,"14,751",5,"4,517",410110
40,Taur,76.76%,"12,874",7,666,1227780
41,Thunder Tier One,-,"12,854",0,5,377300
42,Yet Another Zombie Defense,84.35%,"12,720",24,"67,959",270550
43,Halo: Spartan Assault,77.55%,"12,142",5,680,277430
44,VERSUS SQUAD,75.09%,"12,067",0,500,471330
45,SAS: Zombie Assault 4,82.06%,"11,792",172,"1,530",678800
46,God's Trigger,71.67%,"11,108",3,178,488730
47,Livelock,76.02%,"10,981",1,229,251230
48,APE OUT,90.03%,"10,923",5,128,447150
49,GLADIABOTS - AI Combat Arena,85.96%,"10,586",4,284,871930
50,The Hong Kong Massacre,73.03%,"9,691",0,263,741510
52,10 Miles To Safety,72.77%,"8,929",10,411,1015140
53,Mr. Shifty,83.75%,"8,705",1,349,489140
54,West of Dead,73.41%,"8,502",2,224,1016790
55,Yet Another Zombie Defense HD,79.69%,"8,124",1,257,674750
56,SYNTHETIK: Arena,86.91%,"7,887",11,317,984110
58,Tesla vs Lovecraft,85.15%,"7,559",6,241,636100
59,Teleglitch: Die More Edition,82.04%,"7,475",4,"1,431",234390
60,Tower 57,62.32%,"7,472",1,171,530950
61,Geneshift,78.08%,"7,009",11,"214,143",308600
62,Blazing Beaks,82.67%,"6,698",32,321,585710
63,Landinar: Into the Void,57.40%,"6,688",0,159,794270
64,Nation Red,84.66%,"6,431",0,"6,850",39800
65,Zombie Driver HD,80.17%,"6,423",3,"1,003",220820
67,Solstice Chronicles: MIA,70.15%,"6,096",0,101,528160
68,Star Valor,85.51%,"6,049",43,418,833360
69,POSTAL Redux,87.04%,"5,888",14,628,401680
70,Halo: Spartan Strike,77.20%,"5,883",8,117,324570
71,JYDGE,81.64%,"5,726",3,139,654050
72,Project Amalthea: Battlegrounds,62.61%,"5,723",1,61,715810
