,Name,Rating,Followers,Online,Peak,id
0,Dota 2,83.55%,"1,887,003","370,755","1,295,114",570
1,Left 4 Dead 2,96.42%,"865,195","15,717","162,399",550
2,Monster Hunter: World,83.48%,"745,080","11,879","334,684",582010
3,Terraria,97.11%,"586,997","26,099","489,886",105600
4,Cities: Skylines,91.95%,"579,631","11,663","60,386",255710
5,DARK SOULS™ III,93.01%,"562,806","10,717","129,975",374320
6,Stellaris,86.01%,"407,722","12,037","68,602",281990
7,Left 4 Dead,94.00%,"307,581",596,"30,616",500
8,Undertale,95.23%,"307,354",844,"10,484",391540
9,Dead Cells,95.35%,"285,472","1,379","13,802",588650
10,Kerbal Space Program,93.10%,"275,856","3,795","19,149",220200
11,METAL GEAR SOLID V: THE PHANTOM PAIN,89.06%,"241,120","1,634","91,195",287700
12,The Binding of Isaac: Rebirth,96.57%,"222,230","16,423","70,701",250900
13,Hades,97.40%,"211,213","5,812","37,749",1145360
14,Plague Inc: Evolved,92.56%,"210,944",403,"17,889",246620
15,House Flipper,90.71%,"194,016","2,094","10,899",613100
16,Prison Architect,89.34%,"193,132","1,305","16,211",233450
17,Age of Empires II (2013),94.11%,"186,343","4,711","27,927",221380
18,Two Point Hospital,89.15%,"185,945","1,083","34,009",535930
19,Sid Meier's Civilization® V,94.95%,"178,879","18,538","91,363",8930
20,Slay the Spire,96.40%,"178,205","7,316","33,086",646570
21,Getting Over It with Bennett Foddy,81.08%,"177,602",431,"5,054",240720
22,Remnant: From the Ashes,83.26%,"169,449",652,"48,289",617290
23,Don't Starve,95.30%,"165,845","1,135","16,796",219740
24,Europa Universalis IV,84.74%,"165,520","18,911","48,165",236850
25,Age of Empires II: Definitive Edition,92.49%,"163,796","18,787","38,725",813780
26,Sid Meier's Civilization®: Beyond Earth™,57.15%,"143,979",470,"86,892",65980
28,Assetto Corsa,89.38%,"136,976","5,755","11,691",244210
29,DARK SOULS™: Prepare To Die™ Edition,90.10%,"130,104",403,"11,259",211420
30,UNO,71.84%,"121,038",491,"5,639",470220
31,DARK SOULS™ II,87.50%,"117,175",291,"79,528",236430
32,Teardown,92.84%,"114,047","1,370","8,339",1167630
33,Crusader Kings II,88.54%,"113,781","3,595","141,439",203770
34,UBOAT,77.35%,"103,847",574,"5,755",494840
35,DARK SOULS™: REMASTERED,86.11%,"95,652","2,624","24,501",570940
36,"Papers, Please",94.96%,"95,060",513,"6,129",239030
37,Detroit: Become Human,88.93%,"95,020",557,"7,218",1222140
38,Torchlight II,91.67%,"93,820",347,"54,821",200710
39,Command & Conquer™ Remastered Collection,89.10%,"91,422",862,"42,587",1213210
40,The Sims™ 3,84.08%,"91,359","2,182","10,505",47890
41,State of Decay 2: Juggernaut Edition,77.17%,"89,835","1,624","19,211",495420
42,Into the Breach,91.71%,"88,493",297,"14,682",590380
43,Dishonored,95.69%,"83,719","1,000","19,938",205100
44,Lords Of The Fallen™,59.89%,"79,861",43,"8,024",265300
45,Fallout 3: Game of the Year Edition,76.64%,"79,220",388,"10,401",22370
46,Gunfire Reborn,92.02%,"74,275","2,651","35,263",1217060
47,Enderal: Forgotten Stories,91.29%,"72,613",251,"5,983",933480
48,Railway Empire,80.12%,"70,471",444,"5,446",503940
49,Steel Division: Normandy 44,71.84%,"70,236",117,"4,678",572410
50,Everlasting Summer,93.96%,"63,263",859,"1,823",331470
51,Farm Together,91.62%,"62,501",686,"3,671",673950
52,Cossacks 3,78.05%,"61,913",612,"5,797",333420
53,Game Dev Tycoon,93.44%,"61,727",248,"7,761",239820
54,Phantom Doctrine,72.98%,"60,936",54,"2,658",559100
55,Gloomhaven,84.66%,"60,910",553,"2,179",780290
56,METAL GEAR SOLID V: GROUND ZEROES,80.73%,"60,572",62,"5,810",311340
57,Cooking Simulator,80.78%,"60,007",258,"3,500",641320
58,Battle Brothers,85.84%,"59,292","1,158","8,060",365360
59,FTL: Faster Than Light,94.33%,"56,554","1,824","19,301",212680
60,Hitman: Absolution™,89.38%,"55,610",168,"26,137",203140
61,Devil May Cry 4 Special Edition,88.21%,"54,300",72,"4,500",329050
62,OneShot,95.74%,"53,268",42,824,420530
