,Name,Rating,Followers,Online,Peak,id
0,Wallpaper Engine,96.92%,"672,048","30,387","66,512",431960
1,Fall Guys: Ultimate Knockout,82.27%,"615,530","11,836","172,213",1097150
2,Stardew Valley,96.93%,"583,057","31,935","94,879",413150
3,Undertale,95.23%,"307,354",844,"10,484",391540
4,Watch_Dogs® 2,81.33%,"296,713",301,"18,138",447040
5,Totally Accurate Battle Simulator,96.25%,"296,159","2,150","13,674",508440
7,Hollow Knight,95.74%,"267,383","6,805","11,992",367520
8,Planet Zoo,88.07%,"239,930","3,672","38,630",703080
9,Slime Rancher,96.08%,"221,645","1,851","6,452",433340
10,Ori and the Blind Forest,93.70%,"213,863",109,"13,108",261570
11,BIOMUTANT,67.29%,"210,413",266,"55,048",597820
12,Grounded,84.80%,"186,347","2,211","32,012",962130
13,Portal Knights,81.02%,"168,215",187,"6,545",374040
15,Enter the Gungeon,94.47%,"147,633","1,141","15,792",311690
16,Ori and the Will of the Wisps,94.75%,"142,463",446,"34,807",1057090
17,DEAD OR ALIVE Xtreme Venus Vacation,80.53%,"139,994",981,"10,381",958260
18,Temtem,85.88%,"139,665",966,"39,572",745920
19,RWBY: Grimm Eclipse,79.97%,"136,592",6,"3,298",418340
20,Doki Doki Literature Club!,95.52%,"132,697",937,"7,402",698780
21,Tales of Zestiria,80.50%,"132,519",84,"9,696",351970
22,Overcooked! 2,88.62%,"132,171","1,211","11,213",728880
23,Stonehearth,74.58%,"130,698",186,"1,851",253250
24,Mirror,95.43%,"126,433",272,"7,565",644560
25,Ori and the Blind Forest: Definitive Edition,94.23%,"119,117",416,"9,079",387290
26,FaceRig,80.11%,"113,112",948,"3,554",274920
27,Ni no Kuni™ II: Revenant Kingdom,82.39%,"112,275",170,"10,805",589360
28,Tales of Berseria™,90.11%,"111,791",281,"8,085",429660
29,Mortal Kombat 11,83.92%,"110,285","2,315","35,147",976310
30,The Sims™ 4,87.95%,"100,969","10,191","25,403",1222670
31,Ultimate Chicken Horse,94.12%,"90,370",408,"2,744",386940
32,Goat Simulator,88.26%,"89,577",119,"10,108",265930
33,Moonlighter,81.21%,"86,073",86,"6,229",606150
34,A Hat in Time,96.05%,"84,949",220,"7,312",253230
35,VA-11 Hall-A: Cyberpunk Bartender Action,95.47%,"84,842",66,"1,574",447530
36,Poly Bridge,89.25%,"84,383",120,"4,134",367450
37,NEKOPARA Vol. 1,93.39%,"83,447",76,487,333600
38,Atelier Ryza: Ever Darkness & the Secret Hideout,84.43%,"83,098",41,"4,616",1121560
39,Chinese Parents,89.77%,"82,457",105,"32,593",736190
40,Overcooked,88.50%,"79,804",140,"1,195",448510
41,Celeste,95.82%,"78,187",704,"2,252",504230
42,Untitled Goose Game,92.47%,"76,015",168,"1,951",837470
43,Tree of Savior (English Ver.),63.74%,"73,470","1,012","53,554",372000
44,Lobotomy Corporation | Monster Management Simulation,91.35%,"73,035",317,"2,880",568220
45,SPORE™,89.61%,"72,420",970,"5,630",17390
46,Secrets of Grindea,88.49%,"70,309",35,435,269770
47,Ghost of a Tale,88.88%,"70,143",10,883,417290
48,Muse Dash,90.71%,"67,153",435,"6,087",774171
49,Crash Bandicoot™ N. Sane Trilogy,90.31%,"66,939",194,"3,755",731490
50,Yonder: The Cloud Catcher Chronicles,79.32%,"66,756",14,"1,305",580200
51,Tree of Life,64.58%,"66,156",5,"3,708",361800
52,DEAD OR ALIVE 5 Last Round: Core Fighters,64.88%,"65,158",27,"2,827",311730
53,VR Kanojo / VRカノジョ,74.47%,"64,162",7,66,751440
54,Helltaker,96.53%,"64,080",138,"6,509",1289310
55,LIGHTNING RETURNS™: FINAL FANTASY® XIII,77.39%,"62,637",57,"2,503",345350
56,Farm Together,91.62%,"62,501",709,"3,671",673950
57,Phantasy Star Online 2 New Genesis,74.58%,"62,085","3,792","59,558",1056640
58,SENRAN KAGURA ESTIVAL VERSUS,91.42%,"61,014",23,"1,088",502800
59,Parkitect,91.11%,"60,388",260,"1,400",453090
60,Plants vs. Zombies GOTY Edition,95.01%,"59,534","1,564","12,893",3590
61,コイカツ！ / Koikatsu Party,89.76%,"58,935",198,367,1073440
62,GrandChase,55.07%,"58,440","12,068","79,883",985810
63,Night in the Woods,90.68%,"56,868",83,"1,305",481510
64,Fate/EXTELLA,88.91%,"55,901",7,"2,946",511680
65,Townscaper,95.02%,"54,402",65,"1,089",1291340
66,To the Moon,94.71%,"53,650",28,615,206440
67,OneShot,95.74%,"53,268",34,824,420530
68,NEKOPARA Vol. 3,94.32%,"52,580",22,"2,571",602520
69,Monster Girl Island: Prologue,93.74%,"51,807",66,"1,538",943700
70,Hyperdimension Neptunia Re;Birth1,92.27%,"51,718",29,"2,281",282900
71,NEKOPARA Vol. 2,94.43%,"51,636",23,"1,228",420110
72,Rabi-Ribi,94.29%,"50,546",30,693,400910
73,HuniePop,94.23%,"49,398",166,"3,018",339800
74,Child of Light,90.22%,"49,305",14,"2,696",256290
75,Feel The Snow,85.71%,"49,225",4,365,538100
76,SENRAN KAGURA SHINOVI VERSUS,90.92%,"48,522",6,"1,048",411830
77,Azur Lane Crosswave,67.30%,"48,225",10,"10,413",1150080
78,Momodora: Reverie Under The Moonlight,91.08%,"47,643",32,693,428550
79,Flotsam,71.75%,"47,463",29,"2,075",821250
80,Staxel,77.09%,"47,128",77,"2,644",405710
82,LOST EMBER,86.17%,"46,330",15,590,563840
83,Trials of Mana,89.74%,"46,100",60,"11,998",924980
84,Never Alone (Kisima Ingitchuna),78.98%,"46,081",17,482,295790
85,Tricolour Lovestory,89.11%,"46,062",26,"2,733",668630
86,CLANNAD,94.74%,"46,013",40,312,324160
87,Shelter 2,81.42%,"45,623",12,607,275100
88,Touhou Luna Nights,94.90%,"45,566",26,"1,368",851100
89,AKIBA'S TRIP: Undead ＆ Undressed,83.75%,"44,805",8,507,333980
90,Owlboy,82.56%,"44,307",8,"1,317",115800
91,The Legend of Heroes: Trails of Cold Steel,91.80%,"44,234",134,"1,628",538680
92,Dream Daddy: A Dad Dating Simulator,87.84%,"44,137",29,"14,471",654880
93,Shadowverse CCG,73.85%,"43,993","1,280","24,167",453480
94,Niche - a genetics survival game,83.61%,"43,622",60,"1,046",440650
95,Becastled,80.16%,"43,457",95,"1,507",1330460
96,Unrailed!,90.33%,"43,271",352,"9,852",1016920
97,Secret of Mana,67.17%,"42,956",13,"3,261",637670
98,Aura Kingdom,77.14%,"42,701",150,"2,165",268420
99,Bendy and the Ink Machine,85.74%,"42,518",76,"3,457",622650
