,Name,Rating,Followers,Online,Peak,id
0,Dawn of Man,84.95%,"127,458",890,"23,864",858810
1,Crusader Kings II,88.54%,"113,794","3,436","141,439",203770
2,Tropico 6,84.92%,"102,892","1,286","15,294",492720
3,The Guild 3,57.79%,"102,577",96,"3,513",311260
4,Imperator: Rome,56.73%,"96,340",830,"41,945",859580
5,Workers & Resources: Soviet Republic,88.88%,"81,995","1,310","3,891",784150
6,Anno 1800,80.13%,"71,811",383,"25,302",916440
7,Tropico 5,76.62%,"48,890",230,"13,483",245620
8,Age of History II,83.18%,"42,903","1,132","2,206",603850
9,"Gremlins, Inc.",83.55%,"41,514",383,"1,716",369990
10,Victoria 3,-,"40,276",0,7,529340
11,Orwell: Keeping an Eye On You,88.92%,"40,091",43,"154,375",491950
13,Grand Ages: Medieval,46.63%,"36,887",22,"4,274",310470
14,Beholder 2,85.26%,"34,077",123,"1,981",761620
15,Urban Empire,35.51%,"32,960",6,"5,840",352550
16,Home Behind,83.09%,"30,628",60,"3,083",467960
17,Democracy 3,73.00%,"28,954",33,"2,674",245470
18,Victoria II,89.62%,"28,355","1,025","3,419",42960
19,Not For Broadcast,92.02%,"27,960",23,326,1147550
20,Sigma Theory: Global Cold War,73.51%,"17,148",4,315,716640
22,OMON Simulator,71.10%,"15,932",5,801,1140440
23,House of Detention,88.92%,"15,632",10,491,1293230
24,Ruinarch,78.98%,"15,489",7,"1,075",909320
25,Last Day of Rome,52.61%,"15,401",0,314,1015090
26,Tropico 4,89.13%,"15,361",153,"10,892",57690
27,Not Tonight,80.29%,"15,047",80,486,733790
28,The Guild II Renaissance,79.62%,"14,496",74,"1,249",39680
29,Democracy 4,81.47%,"13,967",54,699,1410710
30,The Ship: Remasted,56.56%,"13,366",6,195,383790
31,Evil Democracy: 1932,74.57%,"12,241",1,42,1219950
32,Pax Nova,58.43%,"12,005",0,201,804850
33,Divinity: Dragon Commander,71.88%,"11,875",3,"2,311",243950
34,Long Live The Queen,91.87%,"11,742",13,"2,623",251990
35,City of Gangsters,64.79%,"10,803",437,"1,184",1386780
36,Through the Ages,85.78%,"10,691",142,747,758370
37,Suzerain,90.10%,"10,539",92,"1,090",1207650
38,Stellar Monarch,72.61%,"10,474",6,50,446000
39,Star Dynasties,66.93%,"10,229",3,292,1194590
40,Realpolitiks,61.34%,"10,213",11,"1,148",553260
41,Secret Government,61.74%,"9,794",2,128,946990
42,NIMBY Rails,85.52%,"9,671",177,834,1134710
43,Twilight Struggle,83.25%,"9,592",104,672,406290
44,Citystate,70.91%,"9,299",10,484,774351
45,Supreme Ruler Ultimate,72.86%,"8,302",95,302,314980
46,Hentai Police,79.79%,"8,192",2,108,1198730
47,Mr.President!,76.05%,"7,910",5,385,507010
48,Power & Revolution,55.68%,"7,563",27,335,467520
49,Plutocracy,72.20%,"7,336",19,173,754500
50,Through the Darkest of Times,80.17%,"6,774",4,344,1003090
51,Realpolitiks II,50.60%,"5,556",16,305,1248060
52,Crisis in the Kremlin,80.17%,"5,468",11,"3,095",599750
53,Strategy & Tactics: Dark Ages,58.88%,"5,262",1,907,508300
54,US Spy: Mission in Russia,72.39%,"5,114",0,21,1219940
55,The Political Machine 2016,72.78%,"4,984",1,193,404620
56,SuperPower 2 Steam Edition,76.80%,"4,637",34,227,282400
57,Stayhome Simulator,71.74%,"4,545",0,8,1285000
58,Make America Great Again: The Trump Presidency,83.07%,"4,396",4,732,515040
59,Power & Revolution 2019 Edition,59.81%,"4,339",50,340,1029630
60,The Spatials: Galactology,68.76%,"4,021",1,234,450700
61,CONFLICT OF NATIONS: WORLD WAR 3,68.22%,"3,972",317,577,784950
62,Masters of the World - Geopolitical Simulator 3,45.57%,"3,910",9,85,268890
63,Headliner: NoviNews,85.57%,"3,893",0,198,918820
64,Tropico 3,84.38%,"3,880",9,"5,784",23490
65,Supremacy 1914: World War 1,67.85%,"3,824",158,551,979920
66,The Political Process,90.49%,"3,739",36,310,1184770
67,HEADLINER,73.92%,"3,628",2,44,680980
69,Precipice,76.57%,"3,308",0,61,951670
70,OFF GRID : Stealth Hacking,-,"3,159",0,3,526720
71,"Calm Down, Stalin",83.95%,"3,158",2,89,502940
72,Putin Life,83.27%,"3,135",0,8,1151390
73,Political Animals,67.13%,"2,865",0,53,458630
74,China: Mao's legacy,86.29%,"2,824",58,"2,199",950740
75,Democracy 3 Africa,69.88%,"2,813",3,264,427470
76,Not For Broadcast: Prologue,87.32%,"2,699",2,31,1201400
77,Red Comrades Save the Galaxy: Reloaded,86.70%,"2,627",2,227,415610
78,Arms Race - TCWE,64.17%,"2,567",0,7,583590
79,Hate Plus,80.20%,"2,506",0,312,239700
80,The Guild II,66.58%,"2,464",14,674,39650
81,Government Simulator,46.76%,"2,348",0,158,731920
