,Name,Rating,Followers,Online,Peak,id
0,NieR:Automata™,81.84%,"449,117","1,186","23,908",524220
1,Devil May Cry 5,92.70%,"218,941","1,210","88,894",601150
2,RWBY: Grimm Eclipse,79.97%,"136,588",8,"3,298",418340
3,Bayonetta,89.65%,"102,936",125,"4,194",460790
4,ICEY,89.02%,"94,983",17,"3,240",553640
5,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,82.03%,"61,858",685,"3,878",278080
6,Devil May Cry 4 Special Edition,88.21%,"54,302",103,"4,500",329050
7,Momodora: Reverie Under The Moonlight,91.08%,"47,647",43,693,428550
8,Devil May Cry HD Collection,87.20%,"34,812",75,591,631510
9,Darksiders II Deathinitive Edition,75.18%,"34,135",307,"2,927",388410
10,DmC: Devil May Cry,91.56%,"32,803",89,"5,757",220440
11,METAL GEAR RISING: REVENGEANCE,91.30%,"31,310",124,"12,205",235460
12,TERA - Action MMORPG,75.62%,"23,756",655,"5,068",212740
13,ULTRAKILL,96.48%,"22,582",417,"2,065",1229490
14,Castlevania: Lords of Shadow – Ultimate Edition,78.17%,"20,678",30,"1,585",234080
15,Metin2,68.46%,"20,649",573,"8,285",550900
16,Darksiders™,87.07%,"15,281",64,"3,929",50620
17,SpellForce 3: Fallen God,86.59%,"15,274",39,"1,696",1154040
18,Onechanbara Z2: Chaos,73.27%,"13,853",6,245,446390
19,[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ,72.88%,"13,696",45,"1,603",1580780
20,Samurai Jack: Battle Through Time,81.55%,"13,381",3,665,1150590
21,Killer is Dead - Nightmare Edition,73.92%,"12,980",8,"4,255",261110
22,Elmarion: Dragon time,77.55%,"12,976",0,21,1152090
23,Blades of Time,77.24%,"12,772",6,247,208670
24,Mitsurugi Kamui Hikae,78.07%,"11,840",2,188,263620
25,Redeemer: Enhanced Edition,81.60%,"11,655",9,802,447290
26,Devil May Cry 4,87.34%,"10,744",4,501,45700
27,Fight Angel Special Edition,74.83%,"10,431",6,130,1041840
28,Astebreed: Definitive Edition,84.42%,"10,140",4,133,283680
31,Override: Mech City Brawl,74.46%,"8,349",4,159,709440
32,Devil May Cry® 3 Special Edition,58.70%,"8,284",11,145,6550
33,Assault Spy,85.41%,"8,246",5,67,767930
34,Fight Crab,85.56%,"7,140",16,263,1213750
35,Home Wars,69.46%,"7,118",6,244,645790
36,Devil's Hunt,42.09%,"7,028",0,120,887720
37,神位纷争HD ~ Ragnania HD,59.23%,"5,545",3,958,934430
38,古剑奇谭网络版 海外版,75.44%,"5,543","7,623","9,336",1541840
39,Mighty Goose,78.66%,"5,531",13,283,1299360
40,Ace of Seafood,82.52%,"5,370",4,169,450500
41,Tales Of Glory,79.13%,"5,312",9,47,636970
42,Onigiri,68.97%,"4,680",135,377,290470
43,The Wonderful 101: Remastered,82.43%,"4,579",2,294,1190400
44,YAIBA: NINJA GAIDEN Z,62.47%,"4,473",0,121,252230
45,Nelo,68.57%,"4,465",0,17,537000
46,CosmicBreak Universal,57.76%,"3,890",215,"2,642",1140620
47,[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2,66.52%,"3,438",54,722,1580790
48,X-Blades,60.42%,"3,434",14,"4,840",7510
49,Bike Rush,48.85%,"3,359",0,12,641910
51,BloodRayne 2: Terminal Cut,78.35%,"3,030",4,642,1373550
53,Attack Heroes,66.02%,"2,845",0,84,428200
54,Marlow Briggs and the Mask of Death,87.20%,"2,701",0,187,249680
55,Sink Again,66.82%,"2,540",2,39,1422090
56,Vicewave 1984,66.35%,"2,503",0,15,1426790
58,Sphere 3: Rage of the Devastator,50.34%,"2,333",12,258,397040
59,Shing!,76.75%,"2,300",5,67,1103730
60,Swordbreaker: Back to The Castle,61.65%,"2,286",0,11,1005990
62,SPACERIFT: Arcanum System,76.64%,"2,068",10,39,1148480
63,Music Racer,85.78%,"2,010",2,"18,509",893030
64,The Divine Invasion,83.07%,"2,008",0,458,1346960
65,Futuridium EP Deluxe,60.95%,"1,952",0,5,352790
67,Bomb Bots Arena,80.02%,"1,591",2,111,754050
68,Kandidatos,86.88%,"1,575",26,289,1395560
69,Fishermurs,65.69%,"1,477",0,"1,463",564210
70,ALTDEUS: Beyond Chronos,86.38%,"1,267",3,43,1502080
71,Hope of Humanity,38.75%,"1,217",0,136,868710
73,Super Crush KO,85.01%,"1,197",0,11,907670
74,Tales Of Glory 2 - Retaliation,68.81%,"1,157",1,20,1089780
75,Hero of Not Our Time,67.82%,"1,113",6,42,1409730
76,Go All Out,61.11%,"1,018",0,6,759260
77,Aces Wild: Manic Brawling Action!,74.16%,992,0,65,269230
78,Master Arena,73.21%,990,0,26,704020
79,Two Strikes,79.50%,965,0,23,1586750
80,DOOMBRINGER,80.51%,960,2,21,1156120
81,Firelight Fantasy: Phoenix Crew,70.81%,943,0,10,1595000
82,Exit Limbo: Opening,71.25%,866,0,5,1051900
83,Helheim,50.00%,830,0,5,924100
85,Crazy Soccer: Football Stars,65.00%,791,0,11,735550
86,Trailer Shop Simulator,67.95%,717,1,32,1553230
87,Hippocampus: Dark Fantasy Adventure,60.17%,709,0,6,1079940
88,Action Arcade Wrestling,72.41%,708,3,46,1072100
89,School Idol,32.24%,700,0,5,880990
90,Street Power Football,50.00%,691,0,26,1275760
92,Proxy Blade Zero,68.39%,673,0,10,313980
93,Faye/Sleepwalker,59.37%,619,0,32,1480520
94,Mighty Fight Federation,78.13%,612,0,18,1096690
98,Food Chain,62.34%,572,0,69,1247370
