,Name,Rating,Followers,Online,Peak,id
0,Rocket League®,88.30%,"618,648","58,497","147,632",252950
2,Gang Beasts,75.42%,"232,178",480,"3,062",285900
3,Brawlhalla,83.87%,"139,643","22,513","34,816",291550
4,Stick Fight: The Game,91.92%,"133,731",855,"5,147",674940
5,Overcooked! 2,88.62%,"132,171",999,"11,213",728880
6,HELLDIVERS™ Dive Harder Edition,89.61%,"115,384",193,"6,744",394510
7,Pummel Party,88.19%,"106,280","1,302","17,021",880940
8,Lost Castle / 失落城堡,86.44%,"96,912",69,"4,701",434650
9,Ultimate Chicken Horse,94.12%,"90,370",329,"2,744",386940
10,Overcooked,88.50%,"79,804",114,"1,195",448510
11,Road Redemption,79.96%,"75,526",28,806,300380
12,Move or Die,88.01%,"74,040",88,"2,038",323850
13,How to Survive 2,68.55%,"73,545",54,"2,823",360170
14,SpeedRunners,91.84%,"65,857",335,"17,212",207140
15,Gauntlet™ Slayer Edition,78.33%,"60,099",51,"12,730",258970
16,Tooth and Tail,77.33%,"59,962",14,"1,975",286000
17,Crawl,91.64%,"57,454",25,319,293780
18,Duck Game,94.36%,"53,686",380,"5,047",312530
19,Distance,89.67%,"48,822",30,463,233610
20,Vagante,87.34%,"44,910",116,518,323220
21,Magicka,87.39%,"44,016",89,"11,727",42910
22,Rivals of Aether,92.50%,"43,350",444,"2,922",383980
23,Unrailed!,90.33%,"43,271",289,"9,852",1016920
24,Totally Reliable Delivery Service Beta,83.06%,"42,714",7,823,1106850
25,NBA 2K21,40.74%,"39,607","6,360","31,826",1225330
26,Tricky Towers,88.10%,"38,364",352,960,437920
27,Lovers in a Dangerous Spacetime,89.94%,"30,579",34,273,252110
28,Murder Miners,82.95%,"28,433",7,"1,769",274900
29,Chronicon,92.20%,"27,594",68,"4,868",375480
30,Lethal League,90.89%,"25,130",7,"1,929",261180
31,Robot Roller-Derby Disco Dodgeball,88.88%,"24,880",3,373,270450
32,Just Shapes & Beats,95.12%,"24,535",173,966,531510
33,Rayman® Legends,88.23%,"23,999",40,"1,266",242550
34,Nine Parchments,74.91%,"23,371",27,594,471550
35,Mother Russia Bleeds,83.54%,"23,260",12,"1,250",361300
36,Spelunky 2,90.63%,"21,843",643,"9,702",418530
37,"Guns, Gore and Cannoli 2",89.57%,"21,591",14,568,525510
38,Amazing Frog?,88.30%,"20,235",76,629,332570
39,Lethal League Blaze,93.00%,"19,830",80,"2,673",553310
40,HYPERCHARGE: Unboxed,86.00%,"19,634",20,925,523660
41,Hammerwatch,87.00%,"19,516",25,"3,253",239070
42,Worms Reloaded,83.29%,"17,731",69,"7,814",22600
43,Mount Your Friends,92.20%,"17,592",11,"1,141",296470
44,Full Metal Furies,87.66%,"17,011",21,587,416600
45,Captain Tsubasa: Rise of New Champions,60.77%,"16,992",79,"4,442",1163550
46,Eon Altar,82.16%,"16,746",1,152,382050
47,Sonic & All-Stars Racing Transformed Collection,91.70%,"16,487",108,"5,861",212480
48,TowerFall Ascension,90.60%,"16,333",31,355,251470
49,Moving Out,73.94%,"16,315",27,652,996770
50,Party Panic,74.94%,"15,965",16,388,506500
51,Phantom Breaker: Battle Grounds,80.62%,"15,699",1,424,329490
52,Unruly Heroes,73.62%,"15,189",2,188,780350
53,Worms Revolution,83.73%,"14,844",148,"7,770",200170
54,Puyo Puyo™Tetris®,81.08%,"14,588",56,"1,368",546050
55,River City Ransom: Underground,73.21%,"14,473",7,"1,659",422810
56,"Guns, Gore & Cannoli",88.01%,"14,095",9,263,322210
57,Capcom Arcade Stadium,36.88%,"14,040",14,642,1515950
58,HARDCORE MECHA,79.80%,"13,759",2,"1,770",746580
59,Cortex Command,69.92%,"13,077",13,"62,839",209670
60,LARA CROFT AND THE TEMPLE OF OSIRIS™,64.18%,"12,958",18,"3,438",289690
61,FORCED: Slightly Better Edition,72.06%,"12,259",4,"1,577",249990
