,Name,Rating,Followers,Online,Peak,id
0,Prison Architect,89.35%,"193,149","1,675","16,211",233450
1,Fallout 76,71.80%,"79,188","9,644","32,982",1151340
2,EVE Online,74.57%,"77,111","3,792","10,627",8500
3,NBA 2K20,50.89%,"52,759","6,543","48,375",1089350
4,Victoria 3,-,"40,276",0,7,529340
5,Software Inc.,89.93%,"36,563",109,766,362620
6,Democracy 3,73.00%,"28,954",37,"2,674",245470
7,Another Brick in The Mall,80.37%,"25,141",30,631,521150
8,AdVenture Capitalist,86.86%,"24,539","1,404","22,998",346900
9,Business Tour - Board Game with Online Multiplayer,60.24%,"24,353","1,089","7,707",397900
10,Academia : School Simulator,80.00%,"22,963",32,406,672630
11,Cartel Tycoon,74.92%,"20,373",109,"1,599",1220140
12,MONOPOLY® PLUS,43.39%,"18,146",107,"3,180",562810
13,X3: Terran Conflict,82.32%,"18,081",77,"1,442",2820
14,Railroad Corporation,70.58%,"16,121",48,306,797400
15,Shoppe Keep,60.76%,"15,520",9,683,381120
16,Tropico 4,89.13%,"15,361",153,"10,892",57690
17,Recettear: An Item Shop's Tale,92.95%,"15,294",30,"2,986",70400
18,Mad Games Tycoon 2,88.11%,"14,285",177,"2,182",1342330
19,Democracy 4,81.47%,"13,967",59,699,1410710
20,Hundred Days - Winemaking Simulator,69.41%,"11,052",27,813,1042380
21,Chef: A Restaurant Tycoon Game,73.12%,"11,014",23,542,886900
22,City of Gangsters,64.79%,"10,803",430,"1,184",1386780
23,Mech Mechanic Simulator,70.23%,"9,991",4,609,1044980
24,Winkeltje: The Little Shop,87.73%,"9,894",12,301,949290
25,NIMBY Rails,85.52%,"9,671",178,834,1134710
26,Rules Of Survival,60.44%,"9,421",86,"7,484",788260
27,TasteMaker: Restaurant Simulator,84.39%,"9,264",15,814,1289340
28,Shoppe Keep 2,57.79%,"9,238",7,"1,796",684580
29,The Last Federation,71.33%,"8,748",1,650,273070
30,Cruelty Squad,93.21%,"8,394",136,360,1388770
31,Dealer's Life 2,78.56%,"7,326",120,"2,884",1343670
32,Car Trader Simulator,73.27%,"7,236",8,465,689980
33,Rec Center Tycoon,80.99%,"6,919",1,108,623700
34,GearCity,82.16%,"6,703",31,109,285110
36,Miracle Snack Shop,92.65%,"6,078",2,345,995460
37,Luck be a Landlord,87.87%,"5,715",501,"2,544",1404850
38,SimCasino,79.22%,"5,330",25,189,1158420
39,Even the Ocean,78.84%,"5,151",0,19,265470
40,King of Retail,88.77%,"5,069",695,951,968250
41,Spinnortality | cyberpunk management sim,74.17%,"4,884",2,426,822990
42,City Game Studio: a tycoon about game dev,83.97%,"4,605",22,126,726840
43,AdVenture Communist,65.35%,"4,415",71,"2,871",462930
44,Alchemy Garden,74.65%,"4,283",3,32,935400
45,The Invisible Hand,75.20%,"3,995",5,157,628200
46,Galactic Mining Corp,81.39%,"3,817",35,"1,305",1218500
47,Capitalism 2,77.30%,"3,383",16,140,638200
48,March of Industry: Very Capitalist Factory Simulator Entertainments,37.19%,"2,922",0,143,374640
49,Pixel Shopkeeper,74.19%,"2,915",1,117,603940
50,This Grand Life,69.79%,"2,831",2,305,695600
51,Transports,64.29%,"2,776",2,80,659920
52,NUTS,82.51%,"2,763",0,67,768450
54,Filmmaker Tycoon,34.89%,"2,635",0,101,778010
55,Stick RPG 2: Director's Cut,77.92%,"2,396",0,130,307640
57,Patrician IV,53.73%,"2,276",23,140,57620
58,Dealer's Life,87.49%,"2,271",10,200,982270
59,GolfTopia,88.00%,"2,255",3,77,1144020
62,Lawgivers,78.55%,"2,235",2,43,683940
63,1849,68.26%,"2,095",1,131,290970
64,Mechsprofit: Mech Tycoon Simulator,65.93%,"2,029",0,3,674890
65,Timeflow – Time & Money Sim,88.49%,"1,951",23,646,1005930
66,Suits: A Business RPG,82.95%,"1,816",4,162,410670
67,Strike Buster Prototype,85.56%,"1,749",3,190,1399590
69,Vertiginous Golf,57.36%,"1,415",1,"1,330",272890
72,Industry Idle,77.77%,"1,346",311,566,1574000
73,AL･FINE,41.30%,"1,329",1,85,545330
77,中年失业模拟器When a man lose his job,69.01%,"1,201",3,325,1503850
79,Wanderlust: Travel Stories,81.57%,"1,175",1,14,1051410
80,CoffeeBiz Tycoon,64.27%,"1,150",1,9,674370
81,The Corporate Machine,58.07%,"1,110",0,30,351080
82,Creo God Simulator,65.25%,"1,108",0,6,1028730
83,Conduct DELUXE!,77.90%,"1,090",1,19,737870
84,Grand Casino Tycoon,58.41%,"1,077",1,59,1271850
85,The Emerald Tablet,63.21%,"1,064",0,10,289060
86,Nocturne: Prelude,89.58%,"1,062",1,33,883590
87,Psycholonials,83.14%,"1,058",0,303,1529810
88,Kosmokrats,81.18%,"1,054",0,19,1204410
89,Warehouse Tycoon,35.65%,"1,053",0,5,1270520
90,Wild West Saga: Idle Tycoon Clicker,65.55%,"1,051",68,470,842150
92,Restaurant Empire II,68.16%,"1,001",6,47,32900
94,Capitalism Plus,74.94%,997,1,34,450120
95,Summer Islands,64.68%,963,1,13,731650
96,Automobile Tycoon,56.36%,947,1,9,656490
97,My Sunny Resort,50.87%,927,8,136,821610
98,Urban Cards,75.98%,910,4,58,1126890
99,Shadow Council: The Puppeteers,48.56%,859,0,7,867610
