,Name,Rating,Followers,Online,Peak,id
0,Saints Row IV,89.37%,"79,270",226,"42,270",206420
1,Totally Accurate Battlegrounds,85.49%,"71,707","1,099","29,438",823130
2,Viscera Cleanup Detail,90.57%,"57,854",247,"1,526",246900
3,Kung Fury,95.76%,"41,752",1,417,374570
4,The Henry Stickmin Collection,96.46%,"39,425",225,"2,812",1089980
5,POSTAL 4: No Regerts,84.19%,"39,039",38,916,707030
6,Evoland 2,84.28%,"28,125",5,"1,043",359310
7,Far Cry 3 - Blood Dragon,86.84%,"21,337",22,"5,485",233270
8,There Is No Game: Wrong Dimension,95.51%,"19,981",246,"1,348",1240210
9,Epic Battle Fantasy 5,94.70%,"17,254",68,"2,648",432350
10,Spacebase Startopia,57.97%,"14,575",4,726,840390
11,DEEEER Simulator: Your Average Everyday Deer Game,85.20%,"13,742",20,222,1018800
12,Epic Battle Fantasy 4,92.19%,"13,569",28,"1,128",265610
13,Tales of the Neon Sea,81.50%,"13,219",5,691,828740
14,WHAT THE GOLF?,90.07%,"11,975",12,317,785790
15,Evoland,80.49%,"11,130",0,"1,202",233470
16,GOAT OF DUTY,83.17%,"10,952",6,"3,018",555000
17,Hatoful Boyfriend,90.73%,"10,720",9,429,310080
18,Jazzpunk: Director's Cut,89.14%,"10,609",8,546,250260
19,Little Inferno,91.17%,"9,790",21,"2,129",221260
20,Evil Genius,90.55%,"9,154",15,"1,041",3720
21,Super Time Force Ultra,84.71%,"8,575",0,476,250700
22,The Book of Unwritten Tales 2,86.14%,"8,052",4,419,279940
23,Organ Trail: Director's Cut,84.88%,"7,533",8,"4,629",233740
24,Wanba Warriors,87.05%,"7,403",3,374,1021770
25,Knights of Pen and Paper +1 Edition,80.75%,"7,330",8,"1,368",231740
26,Walking Simulator,84.89%,"7,272",13,473,1214280
27,LEWDAPOCALYPSE Hentai Evil,91.59%,"6,857",15,180,1271710
28,Retro City Rampage™ DX,84.58%,"6,725",1,"1,035",204630
29,The Typing of The Dead: Overkill,83.65%,"6,421",7,559,246580
30,Stay! Stay! Democratic People's Republic of Korea!,87.12%,"6,170",0,78,512060
31,Headsnatchers,51.88%,"6,148",1,"23,574",797410
32,Angry Video Game Nerd Adventures,85.40%,"5,858",2,420,237740
33,DICETINY: The Lord of the Dice,64.82%,"5,461",1,33,318090
34,Shakedown: Hawaii,83.04%,"5,122",5,68,598730
35,Zenith,66.03%,"5,066",0,113,438420
36,Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,75.95%,"5,027",0,350,231910
37,VCB: Why City (Beta Version),78.95%,"4,985",0,"3,980",533120
38,Epic Battle Fantasy 3,91.48%,"4,925",14,403,521200
39,Bot Vice,89.09%,"4,692",0,47,491040
40,NotTheNameWeWanted,83.74%,"4,675",0,383,369580
42,Escort Simulator,59.49%,"4,536",0,23,1347800
44,DLC Quest,85.60%,"4,265",1,"1,032",230050
45,Rosenkreuzstilette,74.13%,"3,966",0,29,564150
46,The Franz Kafka Videogame,64.22%,"3,903",1,37,392280
47,Neighbours back From Hell,88.74%,"3,705",14,553,1283190
48,OnlyFuck - RuRu's Adventures,62.53%,"3,605",2,204,1569590
49,NGU INDUSTRIES,80.75%,"3,605",906,"8,369",1433990
50,Cthulhu Saves the World,88.44%,"3,484",4,653,107310
51,The Bard's Tale,73.07%,"3,477",4,322,41900
52,Baldi's Basics Plus,90.07%,"3,177",11,228,1275890
53,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,82.24%,"3,121",3,993,214830
54,Divekick,80.28%,"3,032",1,953,244730
55,ANIME STANDING,83.79%,"3,027",4,38,1253870
56,Grass Simulator,56.92%,"3,024",0,572,331200
57,Devolver Bootleg,84.89%,"2,853",2,768,1066260
58,McPixel,80.91%,"2,791",0,"2,311",220860
59,Hollywood Hero,39.91%,"2,747",0,4,1481670
60,Goblins and Grottos,63.15%,"2,639",0,44,389190
61,Purrfect Date - Visual Novel/Dating Simulator,60.54%,"2,626",0,115,520600
62,Angel Wings,82.28%,"2,617",1,187,862440
63,RAWMEN,-,"2,564",0,1,782940
64,Rosenkreuzstilette Freudenstachel,81.93%,"2,533",1,19,564160
65,Gabe Newell Simulator,48.78%,"2,421",1,39,407420
66,Irony Curtain: From Matryoshka with Love,82.12%,"2,401",0,63,866190
67,Love Stories: Sex and the Furry Titty,84.35%,"2,386",6,68,1532770
68,Chex Quest HD,77.79%,"2,200",2,320,804270
69,All-Star Fruit Racing,69.10%,"2,199",0,27,673190
70,Eisenwald: Blood of November,52.84%,"2,162",0,194,528820
71,Kill It With Fire: HEATWAVE,87.10%,"2,062",29,279,1366290
72,Kill It With Fire: Ignition,87.45%,"2,003",17,964,1291500
73,Saturday Morning RPG,73.49%,"1,964",0,977,263320
74,KUUKIYOMI: Consider It,73.25%,"1,910",4,96,1221540
75,Cthulhu Saves Christmas,81.37%,"1,779",1,82,1057540
76,What The Dub?!,80.77%,"1,705",17,75,1495860
77,Lockdown Lewd UP! ❤️ New Hope Edition,74.61%,"1,684",0,23,1353900
78,Hollywood Hero: Comeback,35.24%,"1,611",0,2,1482730
79,DeathSpank,88.28%,"1,556",1,434,18040
80,I Can't Believe It's Not Gambling,87.57%,"1,541",5,350,733990
81,Grotesque Tactics: Evil Heroes,59.02%,"1,533",1,381,46450
82,Golfing Over It with Alva Majo,68.70%,"1,505",9,528,817510
83,Breath of Death VII,79.89%,"1,469",0,45,107300
84,Dad Quest,79.60%,"1,407",0,17,524250
86,The American Dream,63.04%,"1,308",1,14,456180
87,Grotesque Tactics 2 – Dungeons and Donuts,51.84%,"1,230",0,61,46570
88,Noob Squad,44.11%,"1,218",0,130,496550
89,It's A Wipe!,69.74%,"1,194",0,235,330620
90,Chicken Invaders Universe,86.83%,"1,157",43,417,1510460
91,Knightin'+,78.95%,"1,044",0,86,922710
92,DeathSpank: Thongs of Virtue,79.69%,"1,020",2,81,18050
93,Chair F*cking Simulator,87.02%,"1,013",1,15,1302800
94,Chaotic Airport Construction Manager,81.86%,997,0,90,1364130
95,Progressbar95,90.29%,984,6,46,1304550
96,Holy Avatar vs. Maidens of the Dead,54.80%,966,0,32,261720
97,Heroines of Swords & Spells,88.09%,920,2,63,1212400
98,Cat President ~A More Purrfect Union~,81.60%,918,1,18,474980
99,Strong Bad's Cool Game for Attractive People: Season 1,84.08%,902,0,52,8340
