,Name,Rating,Followers,Online,Peak,id
0,ARK: Survival Evolved,79.77%,"1,249,512","45,860","157,400",346110
1,Rust,85.93%,"856,565","105,660","245,243",252490
2,No Man's Sky,71.14%,"680,963","6,114","212,613",275850
3,Wallpaper Engine,96.92%,"672,048","30,069","66,512",431960
4,Euro Truck Simulator 2,96.64%,"659,530","23,078","61,081",227300
5,The Forest,93.84%,"625,035","5,978","64,879",242760
6,Rocket League®,88.30%,"618,648","63,198","147,632",252950
7,Killing Floor 2,86.81%,"617,961","2,766","69,987",232090
8,Fall Guys: Ultimate Knockout,82.27%,"615,530","11,945","172,213",1097150
9,Garry's Mod,95.76%,"605,466","30,967","73,863",4000
10,Terraria,97.11%,"586,997","26,719","489,886",105600
11,Stardew Valley,96.93%,"583,057","31,231","94,879",413150
12,Subnautica,94.91%,"546,416","2,427","51,156",264710
13,Unturned,90.52%,"508,491","18,913","63,462",304930
14,Don't Starve Together,95.13%,"505,458","11,909","68,418",322330
15,Squad,86.61%,"497,710","5,401","15,338",393380
16,Human: Fall Flat,93.25%,"488,573","1,388","127,517",477160
17,ASTRONEER,89.34%,"480,297","1,648","17,986",361420
18,DayZ,67.69%,"477,791","25,748","45,878",221100
19,RimWorld,96.82%,"464,522","32,935","50,907",294100
20,The Long Dark,89.86%,"460,431","1,245","14,433",305620
21,Raft,91.48%,"452,909","5,562","42,288",648800
22,Chivalry: Medieval Warfare,81.24%,"367,886",197,"25,145",219640
23,Valheim,94.77%,"361,047","21,554","502,387",892970
24,Kingdom Come: Deliverance,80.72%,"348,750","2,315","96,069",379430
25,This War of Mine,93.16%,"344,261",663,"9,503",282070
26,Stranded Deep,75.03%,"331,496",528,"6,036",313120
27,Oxygen Not Included,94.72%,"330,996","7,522","27,486",457140
28,Undertale,95.23%,"307,354",838,"10,484",391540
29,Darkest Dungeon®,89.51%,"302,542","4,242","19,357",262060
30,Northgard,86.40%,"301,336","2,092","15,592",466560
31,Space Engineers,87.12%,"301,241","7,778","23,888",244850
32,Totally Accurate Battle Simulator,96.25%,"296,159","2,161","13,674",508440
33,SCUM,72.18%,"294,185","9,777","68,322",513710
34,Scrap Mechanic,90.83%,"289,374","2,629","46,643",387990
35,Heroes & Generals,67.21%,"287,451","1,609","21,026",227940
36,Dead Cells,95.35%,"285,472","1,439","13,802",588650
38,Kerbal Space Program,93.10%,"275,856","3,829","19,149",220200
39,Insurgency,90.40%,"271,988",646,"121,575",222880
40,Hollow Knight,95.74%,"267,383","6,687","11,992",367520
41,Minion Masters,90.06%,"265,476",811,"10,329",489520
42,Starbound,91.83%,"259,613","2,190","88,709",211820
43,Cuphead,94.74%,"255,988",889,"19,026",268910
44,They Are Billions,83.54%,"255,231","1,911","22,395",644930
45,Life is Strange - Episode 1,95.03%,"255,042",363,"18,260",319630
46,Risk of Rain 2,95.19%,"248,653","6,141","71,548",632360
