,Name,Rating,Followers,Online,Peak,id
0,Divinity: Original Sin 2 - Definitive Edition,94.75%,"455,425","8,041","93,701",435150
1,Baldur's Gate 3,86.61%,"353,419","2,223","73,980",1086940
2,GreedFall,77.26%,"162,378",293,"16,345",606880
3,Doki Doki Literature Club!,95.52%,"132,697",942,"7,402",698780
4,Pillars of Eternity II: Deadfire,85.08%,"117,078",874,"22,724",560130
5,The Sims™ 4,87.95%,"100,969","9,619","25,403",1222670
6,FINAL FANTASY X/X-2 HD Remaster,88.63%,"97,223",673,"13,263",359870
7,The Sims™ 3,84.08%,"91,359","2,173","10,505",47890
8,NEKOPARA Vol. 1,93.39%,"83,447",71,487,333600
9,STEINS;GATE,94.62%,"82,691",56,"1,238",412830
10,The Technomancer,67.77%,"74,178",7,"2,366",338390
11,Valkyria Chronicles™,88.36%,"73,921",62,"5,039",294860
12,VR Kanojo / VRカノジョ,74.47%,"64,162",4,66,751440
13,Everlasting Summer,93.96%,"63,263",837,"1,823",331470
14,To the Moon,94.71%,"53,650",28,615,206440
15,NEKOPARA Vol. 3,94.32%,"52,580",19,"2,571",602520
16,NEKOPARA Vol. 2,94.43%,"51,636",19,"1,228",420110
17,HuniePop,94.23%,"49,398",191,"3,018",339800
18,ROMANCE OF THE THREE KINGDOMS XIV,57.09%,"47,872",895,"16,482",872410
19,Haven,88.54%,"47,346",19,593,983970
20,The Legend of Heroes: Trails in the Sky,89.67%,"46,072",114,"2,014",251150
21,Tricolour Lovestory,89.11%,"46,062",28,"2,733",668630
22,CLANNAD,94.74%,"46,013",34,312,324160
23,ROMANCE OF THE THREE KINGDOMS XIII,51.81%,"45,809",342,"11,909",363150
24,The Legend of Heroes: Trails of Cold Steel,91.80%,"44,234",133,"1,628",538680
25,Dream Daddy: A Dad Dating Simulator,87.84%,"44,137",27,"14,471",654880
27,Baldur's Gate II: Enhanced Edition,87.67%,"38,401",599,"2,644",257350
28,NEKOPARA Vol. 0,91.74%,"35,604",29,960,385800
29,Doki Doki Literature Club Plus!,93.01%,"35,553",338,"8,662",1388880
30,Littlewood,91.76%,"35,326",329,"1,678",894940
31,Mass Effect 2 (2010),91.89%,"34,520",119,"13,320",24980
32,Gaokao.Love.100Days,91.77%,"32,704",3,456,347620
33,Dragon Age: Origins,89.47%,"32,554",111,"7,089",17450
34,Lucy -The Eternity She Wished For-,92.05%,"32,283",5,193,430960
35,FINAL FANTASY VIII,86.16%,"31,635",150,"4,470",39150
36,STEINS;GATE 0,92.32%,"30,661",37,787,825630
37,Mass Effect (2007),91.51%,"30,134",109,"4,183",17460
38,Sakura Swim Club,82.73%,"28,168",5,234,402180
39,Sakura Angels,80.82%,"28,146",1,309,342380
40,If My Heart Had Wings,88.66%,"27,726",14,239,326480
41,Being a DIK - Season 1,93.29%,"27,494",166,"1,185",1126320
42,Fairy Fencer F,86.10%,"26,911",4,"1,945",347830
43,Gal*Gun: Double Peace,82.80%,"25,662",2,218,511740
44,The Fruit of Grisaia,88.04%,"25,602",9,138,345610
45,STORY OF SEASONS: Friends of Mineral Town,90.97%,"25,266",162,"3,706",978780
46,Senren＊Banka,95.89%,"25,173",54,"1,450",1144400
47,The Legend of Heroes: Trails in the Sky SC,93.05%,"25,120",96,840,251290
48,LOVE³ -Love Cube-,90.38%,"25,094",3,380,939600
49,Crush Crush,88.28%,"25,080","1,248","2,582",459820
50,Cloud Meadow,78.53%,"25,010",91,527,1223750
52,Angels of Death,90.18%,"23,437",11,245,537110
53,Sakura Spirit,76.62%,"22,933",3,537,313740
54,Way of the Samurai 4,76.82%,"22,242",9,"1,557",312780
55,Last Day of June,83.80%,"21,466",6,362,635320
56,HuniePop 2: Double Date,88.39%,"21,313",242,"15,388",930210
57,The Legend of Heroes: Trails of Cold Steel II,90.05%,"20,403",131,"1,689",748490
58,ATRI -My Dear Moments-,95.11%,"20,177",21,724,1230140
59,FINAL FANTASY VIII - REMASTERED,62.48%,"20,158",96,"3,068",1026680
60,DATE A LIVE: Rio Reincarnation,89.41%,"19,997",12,890,1047440
61,There Is No Game: Wrong Dimension,95.51%,"19,981",262,"1,348",1240210
62,eden*,91.80%,"18,522",5,302,315810
63,Mahou Arms,80.40%,"17,826",0,103,1165870
64,NEKOPARA OVA,87.57%,"17,566",1,470,758230
65,Gal*Gun 2,85.42%,"17,304",10,145,851890
66,家有大貓 Nekojishi,89.02%,"17,265",7,451,570840
67,OshiRabu: Waifus Over Husbandos,85.00%,"16,961",5,"1,126",1233270
68,Buoyancy,74.17%,"16,155",10,294,1012610
69,NEKO-NIN exHeart,89.58%,"16,063",0,89,407310
70,STEINS;GATE ELITE,86.69%,"15,973",7,103,819030
71,Otaku's Adventure,90.96%,"15,888",6,"2,792",937170
72,Fallen girl - Black rose and the fire of desire,71.68%,"15,730",12,368,1546010
73,The Ditzy Demons Are in Love With Me,91.69%,"15,713",15,141,802870
74,Sunrider: Mask of Arcadius,88.93%,"15,486",4,"1,024",313730
75,Amorous,80.03%,"15,372",61,438,778700
76,Man of the House,88.22%,"15,300",132,612,1148150
77,The Legend of Heroes: Trails of Cold Steel III,88.66%,"15,299",146,"1,922",991270
78,Emily is Away,86.84%,"15,025",17,"2,803",417860
79,Evenicle,88.62%,"14,929",32,266,955560
80,City of Broken Dreamers: Book One,88.79%,"14,767",46,386,1358250
81,Idol Manager,83.92%,"14,462",722,"2,930",821880
82,Gone Home,75.37%,"14,345",4,"1,198",232430
83,Love Vibe: Aria,54.37%,"13,890",0,38,884320
84,Florence,90.62%,"13,588",3,141,1102130
85,The Song of Saya,89.49%,"13,459",5,429,702050
86,Nurse Love Addiction,87.07%,"13,382",1,67,485040
87,Aokana - Four Rhythms Across the Blue,93.90%,"13,364",27,484,1044620
88,ISLAND,91.11%,"12,792",6,80,857450
89,Acting Lessons,92.81%,"12,692",53,263,1045520
90,ChuSingura46+1 S,82.79%,"12,646",3,227,464780
91,Kindred Spirits on the Roof,91.11%,"12,567",5,228,402620
92,Emily is Away Too,90.33%,"12,545",24,844,523780
93,Sunrider Academy,80.19%,"12,462",1,234,340730
95,A Kiss For The Petals - Remembering How We Met,88.48%,"12,076",3,291,397270
96,Riddle Joker,93.90%,"12,055",43,724,1277930
97,College Kings - Act I,89.56%,"11,967",226,"1,642",1463120
98,Sabbat of the Witch,92.83%,"11,935",21,198,888790
99,Divinity: Dragon Commander,71.86%,"11,876",6,"2,311",243950
