,Name,Rating,Followers,Online,Peak,id
0,Baldur's Gate 3,86.61%,"353,419","2,209","73,980",1086940
1,Break the G̵amè̢̢͘,72.17%,"169,159",3,165,739540
2,Detroit: Become Human,88.93%,"95,020",528,"7,218",1222140
3,ICEY,89.02%,"94,980",1,"3,240",553640
4,Transistor,92.51%,"91,429",46,"6,727",237930
5,What Remains of Edith Finch,93.22%,"87,406",19,329,501300
6,Edge Of Eternity,76.53%,"83,271",95,736,269190
7,Call of Cthulhu®,75.86%,"71,477",48,"3,449",399810
8,Ghost of a Tale,88.88%,"70,143",11,883,417290
9,The Stanley Parable,90.46%,"64,685",62,"4,818",221910
10,Maneater,86.51%,"49,205",133,"2,861",629820
11,LOST EMBER,86.17%,"46,330",10,590,563840
12,Bastion,93.77%,"45,859",48,"4,186",107100
13,Kona,80.10%,"44,603",2,349,365160
14,Superliminal,91.96%,"42,767",159,"1,439",1049410
15,Star Control®: Origins,69.84%,"38,920",15,"2,601",271260
16,The Beginner's Guide,84.89%,"36,254",11,947,303210
17,Alan Wake,89.27%,"34,686",102,"6,652",108710
18,A Story About My Uncle,89.93%,"33,943",17,"190,590",278360
19,Shadows: Awakening,73.92%,"33,333",12,902,585450
20,Beyond: Two Souls,87.48%,"32,720",98,"1,346",960990
21,Call of Juarez: Gunslinger,92.92%,"31,416",37,"2,705",204450
22,The Sinking City,54.68%,"28,930",17,298,750130
23,A.D. 2047,72.53%,"25,602",0,581,1523370
24,Stories: The Path of Destinies,85.40%,"25,187",10,"81,664",439190
25,Event[0],76.88%,"22,584",2,396,470260
26,The First Tree,74.22%,"21,960",6,601,555150
27,SINNER: Sacrifice for Redemption,65.14%,"20,291",1,50,691280
28,There Is No Game: Wrong Dimension,95.51%,"19,981",249,"1,348",1240210
29,Firework,95.62%,"19,481",5,"3,746",1288310
30,AER Memories of Old,83.07%,"19,071",15,483,331870
31,Heavy Rain,80.15%,"18,874",43,747,960910
32,The Town of Light,76.67%,"16,961",6,155,433100
33,The Silent Age,90.20%,"16,105",1,458,352520
34,GRAVEN,65.65%,"14,845",4,639,1371690
35,"That Dragon, Cancer",85.79%,"14,633",0,165,419460
36,Call of the Sea,85.62%,"14,603",19,213,1042490
37,Gone Home,75.37%,"14,345",4,"1,198",232430
38,Tales of the Neon Sea,81.50%,"13,219",3,691,828740
39,Raji: An Ancient Epic,84.72%,"13,080",2,219,730390
41,Riddle Joker,93.90%,"12,055",45,724,1277930
42,Cyanide & Happiness - Freakpocalypse (Episode 1),56.07%,"11,869",4,"1,286",869880
44,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",90.73%,"11,564",6,815,409160
45,Hundred Days - Winemaking Simulator,69.29%,"11,050",24,813,1042380
46,Crystalline,90.29%,"10,993",4,109,616250
47,Where the Water Tastes Like Wine,77.73%,"10,876",2,162,447120
50,Nihilumbra,85.54%,"10,491",0,"2,740",252670
51,Epic Tavern,65.17%,"10,279",1,56,517720
53,The Painscreek Killings,85.52%,"9,807",22,161,624270
54,Dear Esther,73.78%,"9,751",1,"1,184",203810
55,Vampire: The Masquerade - Coteries of New York,71.13%,"9,411",10,836,1096410
56,AWAY: The Survival Series,-,"9,047",0,1,750200
57,Röki,88.53%,"9,002",76,166,1067540
58,Wild Romance: Mofu Mofu Edition,72.77%,"8,793",1,40,748480
59,ACE Academy,90.17%,"8,703",2,132,396650
62,Bee Simulator,65.82%,"8,528",20,85,914750
63,Amnesia: A Machine for Pigs,67.40%,"8,507",18,"7,249",239200
64,The Dream Machine: Chapter 1 & 2,84.46%,"8,378",9,864,94300
65,The Shore,70.53%,"8,154",7,179,1297300
66,DISTRAINT: Deluxe Edition,90.61%,"7,795",5,"165,266",395170
67,Nanotale - Typing Chronicles,76.36%,"7,788",4,64,944920
68,OPUS: The Day We Found Earth,81.72%,"7,660",1,71,457680
69,Observer: System Redux,84.01%,"7,605",6,253,1386900
70,"Dude, Stop",80.59%,"7,578",13,158,574560
71,Siege of Centauri,62.51%,"7,410",1,204,524010
72,Thomas Was Alone,91.25%,"7,267",2,"1,072",220780
73,Catmaze,78.17%,"7,167",1,42,620220
76,Songs for a Hero - Definitive Edition,91.28%,"6,701",23,616,389170
77,Help Will Come Tomorrow,78.43%,"6,603",9,365,1119600
79,Lightmatter,87.35%,"6,437",5,396,994140
80,The Walking Dead: The Telltale Definitive Series,89.04%,"6,227",167,410,1449690
81,Labyrinth City: Pierre the Maze Detective,89.89%,"6,024",4,566,1421790
82,When the Darkness comes,89.40%,"5,881",11,684,1021950
83,Lust from Beyond: Scarlet,77.83%,"5,856",3,341,1401680
84,TRI: Of Friendship and Madness,81.14%,"5,776",1,46,293660
86,Neversong,83.64%,"5,560",3,163,733210
87,Someday You'll Return,80.37%,"5,546",5,201,840370
88,Big Farm Story,70.31%,"5,401",123,433,1329510
89,Summer with Mia Season 1,71.27%,"5,399",40,182,1571170
90,DISTRAINT 2,91.75%,"5,327",1,96,743390
92,Lacuna – A Sci-Fi Noir Adventure,87.98%,"4,943",5,168,1364100
93,My Child Lebensborn,86.84%,"4,915",12,239,1114070
94,The Little Acre,83.18%,"4,906",2,31,423590
95,Escape the Game,80.14%,"4,741",0,107,542310
96,College Bound - Episode 1,82.14%,"4,679",94,567,1630080
97,Westworld Awakening,77.27%,"4,630",0,25,1133320
98,Kinkoi: Golden Loveriche,90.91%,"4,591",36,506,1277940
