,Name,Rating,Followers,Online,Peak,id
0,Deep Rock Galactic,95.39%,"1,346,099","4,708","36,224",548430
1,No Man's Sky,71.14%,"680,963","5,991","212,613",275850
2,RimWorld,96.82%,"464,522","32,336","50,907",294100
3,Stellaris,86.01%,"407,722","11,993","68,602",281990
4,7 Days to Die,86.21%,"385,713","18,111","47,025",251570
5,Dead Cells,95.35%,"285,472","1,362","13,802",588650
6,The Binding of Isaac: Rebirth,96.57%,"222,230","16,297","70,701",250900
7,The Universim,79.80%,"185,851",88,"2,825",352720
8,Slay the Spire,96.40%,"178,205","7,288","33,086",646570
9,Remnant: From the Ashes,83.26%,"169,449",637,"48,289",617290
10,We Happy Few,73.40%,"168,153",117,"3,498",320240
11,Banished,88.45%,"139,043","1,019","24,636",242920
12,Going Medieval,86.46%,"111,810","1,925","14,676",1029780
13,Rising World,80.77%,"111,264",50,486,324080
14,Wizard of Legend,89.15%,"98,914",356,"6,487",445980
16,Streets of Rogue,93.71%,"88,576",201,"4,320",512900
17,Into the Breach,91.71%,"88,493",297,"14,682",590380
18,Endzone - A World Apart,76.01%,"88,186",166,"6,426",933820
19,Galactic Civilizations III,75.01%,"87,606",410,"6,297",226860
20,Moonlighter,81.21%,"86,073",91,"6,229",606150
21,Cube World,38.78%,"80,174",62,"35,622",1128000
22,Mordheim: City of the Damned,68.78%,"79,481",167,"2,715",276810
23,Children of Morta,89.27%,"79,260",129,"3,064",330020
24,Planet Nomads,66.20%,"75,122",19,372,504050
25,Crypt of the NecroDancer,93.79%,"74,562",152,"2,282",247080
26,Salt,75.27%,"68,046",2,363,327860
27,Hardspace: Shipbreaker,87.88%,"66,949",322,"7,286",1161580
28,Judgment: Apocalypse Survival Simulation,78.31%,"61,515",31,"1,277",455980
29,Tooth and Tail,77.33%,"59,962",11,"1,975",286000
30,Battle Brothers,85.84%,"59,292","1,159","8,060",365360
31,Windward,77.48%,"58,884",28,"3,510",326410
32,The Survivalists,68.56%,"58,084",79,"3,563",897450
33,Kingdoms Reborn,86.39%,"57,038",798,"2,014",1307890
34,Wildermyth,92.25%,"56,342","1,158","8,106",763890
