,Name,Rating,Followers,Online,Peak,id
0,太吾绘卷 The Scroll Of Taiwu,80.34%,"146,061","1,437","72,533",838350
1,河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon),77.49%,"33,751",561,"1,877",952860
2,Ghost Hunters Corp,70.91%,"18,065",467,"3,791",1618540
4,Nebuchadnezzar,74.06%,"16,805",25,"1,113",1157220
5,Coffee Talk,91.00%,"15,754",31,412,914800
6,TY the Tasmanian Tiger,93.44%,"12,725",5,230,411960
7,Unforgiving - A Northern Hymn,79.14%,"9,181",1,90,747340
8,Mundaun,88.78%,"4,361",3,82,720350
9,魔物讨伐团,61.66%,"4,254",3,"1,012",905690
10,School Years,80.14%,"3,577",4,813,1125480
12,Touhou Mechanical Scrollery | 幻想討幻経,51.85%,"3,297",0,256,1222050
14,I Walk Among Zombies Vol. 1 (Adult Version),87.52%,"2,803",0,36,942850
15,The Chronicles of Dragon Wing - Reborn,73.97%,"2,632",8,161,613670
16,邻居大叔/UncleNeighbor:uncle Dating Simulator,88.46%,"2,597",37,310,1177420
17,A Space For The Unbound - Prologue,92.67%,"2,467",2,15,1201280
18,Shan Gui II: Sweet Osmanthus II,88.66%,"2,150",0,232,952420
19,Tribal Hunter,90.61%,"2,026",13,134,1379870
20,She and the Light Bearer,82.95%,"1,616",0,9,658590
21,日日夜夜,83.15%,"1,414",0,39,1347450
22,Tour de France 2020,73.55%,"1,061",34,191,1287590
23,Forgotten Fields,76.92%,"1,024",0,10,1296980
24,Shadowbane,64.84%,"1,005",355,692,1475570
25,Massage Salon Story: Spring Breeze,62.10%,824,0,12,1497940
26,Aurora: A Child's Journey,86.22%,791,0,43,1438440
27,The Kotonoha Sisters and the Legend of Lysant Island,84.48%,728,8,130,1569180
28,My Creampie Heaven,77.41%,570,0,5,1356710
31,Handball 21,38.41%,543,1,46,891020
33,Hot Pot For One,69.50%,494,0,10,1385650
34,Chihiro Himukai Always Walks Away,81.66%,472,1,12,1610290
36,Tour de France 2021,65.65%,449,49,162,1454050
37,Among the Innocent: A Stricken Tale,68.61%,373,0,37,558320
39,《鬼畜战记：金坷垃传说》,79.83%,351,1,38,1087960
40,佣兵战歌,57.54%,347,0,10,1196620
42,Path of Redemption,75.07%,320,0,6,1221440
43,Wonhon: Prologue,71.69%,263,0,7,1557060
44,伊勢志摩ミステリー案内 偽りの黒真珠,75.44%,259,4,15,1100030
45,Seven Wonders of St. Clementine,27.83%,256,0,4,1117470
47,Tombo Survivor,80.30%,180,0,6,1440510
48,Copperbell,76.97%,172,0,3,1039040
49,Hot Pot VR,61.96%,163,0,5,1621200
50,BOT.vinnik Chess: Combination Lessons,82.64%,163,0,9,1339900
52,バインドを解除する(unbind),47.22%,146,0,4,977590
53,BOT.vinnik Chess: Winning Patterns,81.33%,139,0,14,1395540
54,그랑 엠파이어,82.79%,130,1,21,1504760
55,Our Past,61.95%,130,0,4,1376300
56,The Bloc,76.90%,125,0,2,387620
57,Great Battles of Carolus XII,62.51%,123,0,3,1548280
58,BOT.vinnik Chess: Opening Traps,75.03%,119,1,8,1493840
59,Aritana and the Twin Masks,64.08%,105,0,3,1556040
60,Exatron Quest L'Epée de Sang,75.00%,99,0,3,669410
61,TOGUM,50.00%,93,0,2,1105960
62,Daylife in Japan - Pixel Art Jigsaw Puzzle,79.25%,86,2,7,1172530
64,Rumours From Elsewhere,70.84%,77,0,3,1482940
65,MOONWAVE OVERDRIVE,50.00%,76,1,3,1552630
66,DEDstress,76.62%,75,0,4,1139760
67,Miracle Calamity Homeostasis,66.33%,68,0,2,1182820
68,聖剣レイヴランシル物語　+(Plus) episode,-,64,0,1,729610
69,VR Nara Park,37.49%,56,0,4,1581590
70,Voyager,59.42%,56,0,3,1351180
71,TRIM,-,56,0,1,732440
72,First Samurai,-,47,0,4,1672350
73,Demon Slayer Akagi,76.13%,46,0,6,1551230
74,Two Love,64.78%,45,0,2,1180360
75,The Monkey King: Havoc in Heaven's Palace,50.00%,45,0,1,521480
76,Alexey's Winter: Night adventure,67.93%,43,0,2,1558730
77,VR 뉴욕 스토리,54.17%,41,0,4,1536150
78,VR Balloon Flying over Tokyo and Hokkaido,44.31%,38,0,2,1671110
81,Monster Evo,42.82%,35,3,18,1611550
82,VR Gigapixel Gallery,67.06%,34,0,136,1202360
83,通天魔塔-MagicTower,50.00%,33,0,7,1653120
84,- R E F L E C T E D -,73.19%,32,2,3,1692280
87,NORSK: Epistle,72.17%,30,0,5,1531030
89,Desert Mystery,26.11%,29,0,2,1500260
90,Maze of Memories,59.42%,29,0,2,1060840
91,The Ultimate Trivia Challenge,57.39%,29,0,3,716920
92,Warring States,44.31%,28,0,5,1477320
93,Reigning,59.42%,27,0,2,1644510
95,Nightmare Simulator 2 Rebirth,44.31%,27,0,2,1308920
96,VR Eagles of Victorian England,59.42%,26,0,1,1689030
98,Hero,72.17%,25,0,2,426460
99,Travel Fanz,-,24,0,1,1518680
