,Name,Rating,Followers,Online,Peak,id
0,Kingdom Come: Deliverance,80.72%,"348,754","2,876","96,069",379430
1,Darkest Dungeon®,89.51%,"302,602","6,530","19,357",262060
2,Grim Dawn,91.74%,"223,409","4,978","61,458",219990
3,Pillars of Eternity,85.98%,"158,922",705,"41,906",291650
4,SUPERHOT,87.82%,"137,035",55,"5,584",322500
5,Wasteland 2: Director's Cut,80.29%,"93,015",19,"18,856",240760
6,A Hat in Time,96.05%,"84,948",176,"7,312",253230
7,Divinity: Original Sin (Classic),89.24%,"84,673",30,"22,040",230230
8,SUNLESS SEA,81.18%,"79,478",62,"4,049",304650
9,Dreamfall Chapters,80.27%,"69,538",11,"1,711",237850
10,Shovel Knight: Treasure Trove,93.83%,"58,526",62,"2,875",250760
11,This Is the Police,80.74%,"58,288",87,"3,093",443810
12,Torment: Tides of Numenera,68.00%,"58,091",20,"7,430",272270
13,System Shock,-,"57,791",0,2,482400
14,Satellite Reign,69.12%,"55,042",19,"7,251",268870
15,Guns of Icarus Online,88.15%,"54,660",7,"107,883",209080
16,The Flame in the Flood,74.02%,"54,476",14,"6,158",318600
17,LOST EMBER,86.17%,"46,334",16,590,563840
18,Kona,80.11%,"44,604",3,349,365160
19,Jotun: Valhalla Edition,76.37%,"41,833",12,"27,501",323580
20,Kung Fury,95.76%,"41,750",0,417,374570
21,Hard West,75.73%,"41,719",13,874,307670
22,Shadowrun: Hong Kong - Extended Edition,83.12%,"40,006",57,"7,260",346940
23,Shadowrun: Dragonfall - Director's Cut,86.72%,"36,059",49,"2,703",300550
24,Castle Story,60.39%,"35,035",96,"1,565",227860
25,Fell Seal: Arbiter's Mark,86.82%,"34,916",115,"1,791",699170
26,The Banner Saga,86.98%,"34,765",62,"4,476",237990
27,Spellcaster University,81.58%,"34,011",216,"2,197",895620
28,Chaos Reborn,73.17%,"32,894",4,346,319050
29,Dead State: Reanimated,71.32%,"31,771",23,"1,408",239840
30,Xenonauts,84.83%,"29,613",79,"1,619",223830
31,Sunless Skies: Sovereign Edition,82.15%,"28,916",63,"2,344",596970
32,Yooka-Laylee,73.75%,"28,105",21,"6,508",360830
33,Shadowrun Returns,86.26%,"22,920",52,"24,329",234650
34,Legion TD 2 - Multiplayer Tower Defense,76.25%,"22,583",251,"3,284",469600
