,Name,Rating,Followers,Online,Peak,id
0,Counter-Strike,96.24%,"180,360","9,232","319,586",10
1,Aim Lab,93.64%,"79,055","4,795","10,381",714010
2,Hitman: Absolution™,89.38%,"55,610",149,"26,137",203140
3,ISLANDERS,92.48%,"46,625",158,"1,783",1046030
4,Aim Hero,83.38%,"31,085",16,524,518030
5,Diesel Brothers: Truck Building Simulator,62.44%,"15,771",21,"1,377",750050
6,AudioSurf,92.97%,"14,799",14,"5,977",12900
8,Superflight,93.61%,"12,983",31,613,732430
9,WRC 8 FIA World Rally Championship,69.44%,"12,065",29,498,1004750
10,Wuppo: Definitive Edition,91.00%,"11,907",11,"2,273",400630
11,Absolute Drift,84.95%,"11,803",3,352,320140
12,Ghosts 'n Goblins Resurrection,80.34%,"11,296",7,257,1375400
13,Orcs Must Die!,93.29%,"9,650",71,"6,000",102600
14,Pinball FX3,84.58%,"9,633",186,835,442120
15,Element TD 2 - Multiplayer Tower Defense,86.37%,"8,863",185,"1,490",1018830
16,UNBEATABLE [white label],92.22%,"8,775",29,528,1290490
17,Geometry Wars™ 3: Dimensions Evolved,85.15%,"8,436",6,397,310790
18,LUFTRAUSERS,87.76%,"7,821",10,605,233150
19,Super Hexagon,94.59%,"7,757",29,"2,650",221640
20,Zombie Driver HD,80.17%,"6,423",3,"1,003",220820
21,The Typing of The Dead: Overkill,83.65%,"6,421",6,559,246580
22,PAC-MAN™ Championship Edition DX+,92.30%,"6,185",13,"3,694",236450
23,Bit Blaster XL,93.42%,"5,823",3,269,433950
24,Boss of this gym,87.20%,"5,701",1,13,1396890
25,Sky Force Reloaded,88.40%,"5,614",30,330,667600
27,Tallowmere,85.74%,"4,872",0,567,340520
28,Neon Beats,92.88%,"4,786",7,210,1064610
29,Bot Vice,89.09%,"4,692",0,47,491040
30,Gun Club VR,76.59%,"4,632",4,39,691320
31,Sky Force Anniversary,87.63%,"4,593",5,223,355050
32,Drunken Robot Pornography,79.16%,"4,564",0,86,209060
33,Kaze and the Wild Masks,90.32%,"4,547",6,135,829280
34,Hotshot Racing,71.53%,"4,087",3,338,609920
35,TOKOYO: The Tower of Perpetuity,84.40%,"4,065",6,169,1393420
36,Electronic Super Joy,86.96%,"4,017",0,949,244870
37,Post Void,94.49%,"3,880",18,133,1285670
38,Gal*Gun Returns,78.32%,"3,875",2,112,1425730
39,BORIS THE ROCKET,86.02%,"3,844",0,40,1329080
40,Orbt XL,92.78%,"3,770",3,213,615610
41,Savant - Ascent,89.03%,"3,715",0,599,259530
42,Pro Cycling Manager 2020,80.80%,"3,616",444,"2,884",1178400
43,INVERSUS Deluxe,82.42%,"3,265",2,65,432980
44,Dustforce DX,84.01%,"3,225",7,570,65300
45,Vertical Strike Endless Challenge,72.83%,"3,170",0,21,313390
46,Wrack,68.12%,"3,143",0,"1,049",253610
47,Double Kick Heroes,77.61%,"3,079",1,41,589670
48,The King's Bird,67.49%,"3,051",1,29,812550
49,Pro Cycling Manager 2019,76.30%,"2,958",147,"3,467",936140
50,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,88.45%,"2,923",2,795,218060
51,Infinitode 2 - Infinite Tower Defense,81.86%,"2,870",117,"1,022",937310
52,PAC-MAN™ CHAMPIONSHIP EDITION 2,66.48%,"2,860",9,972,441380
53,REVOLVER360 RE:ACTOR,85.52%,"2,802",1,75,313400
54,pureya,93.64%,"2,739",1,409,1268960
55,Double Dragon Trilogy,54.85%,"2,652",1,159,314150
56,Gachi Heroes 2: Flexboll,78.57%,"2,641",0,29,1179560
57,The Hurricane of the Varstray -Collateral hazard-,70.85%,"2,529",0,23,416380
58,Trapped Guys,70.48%,"2,518",0,21,1402000
59,AFTERBURN,79.80%,"2,506",2,25,608120
60,NiGHTS Into Dreams,80.64%,"2,496",4,149,219950
61,Swarmlake,91.35%,"2,404",3,70,793350
62,Never BreakUp Beta,63.19%,"2,391",6,101,1390480
63,V-Racer Hoverbike,82.50%,"2,383",0,12,668430
64,Shing!,76.16%,"2,300",0,67,1103730
65,GranAge,70.63%,"2,254",14,228,1412470
66,NEKO ARENA,78.72%,"2,247",1,15,1173380
67,Defunct,76.27%,"2,216",0,139,359350
68,Final Days,77.37%,"2,158",0,13,459830
69,Drift86,87.96%,"2,120",5,82,1070580
70,Dungeon Kitty,31.31%,"2,107",0,4,925670
72,Revita,85.32%,"1,977",7,77,1175460
73,Aim Trainer Pro,57.38%,"1,970",0,59,773390
74,Security Hole,83.58%,"1,963",0,43,503460
76,Cobra Kai: The Karate Kid Saga Continues,83.62%,"1,752",4,92,1279920
77,Micro Mages,87.22%,"1,732",0,28,1065020
78,Furious Angels,81.04%,"1,674",0,16,551450
79,Terminal squad: Sentinel,62.05%,"1,626",2,3,1118050
80,Chippy,85.80%,"1,620",3,97,602700
81,RUSH,77.49%,"1,595",6,20,844040
82,Just 15 minutes,47.89%,"1,589",0,2,1643340
83,Geometry Wars: Retro Evolved,85.11%,"1,577",3,75,8400
84,Waves,88.75%,"1,560",2,142,107600
85,Gachi Heroes,89.67%,"1,511",1,647,944220
86,Tallowmere 2: Curse of the Kittens,78.77%,"1,472",7,197,655740
87,MetaMorph: Dungeon Creatures,55.50%,"1,449",0,968,606870
89,Waves 2: Notorious,79.23%,"1,369",0,7,217120
90,The Polynomial - Space of the music,69.97%,"1,347",0,28,67000
91,Star Steel,52.78%,"1,252",0,3,1551850
92,Super Star Path,76.48%,"1,243",0,34,375120
93,Pix the Cat,76.19%,"1,242",0,153,330180
