,Name,Rating,Followers,Online,Peak,id
0,This War of Mine,93.16%,"344,261",578,"9,503",282070
1,Among Us,92.14%,"273,036","9,309","447,476",945360
2,Hellblade: Senua's Sacrifice,89.88%,"183,286",91,"5,653",414340
3,Deceit,77.94%,"154,404",634,"16,923",466240
4,Enderal: Forgotten Stories,91.29%,"72,613",216,"5,983",933480
5,The Stanley Parable,90.46%,"64,685",67,"4,818",221910
6,Cry of Fear,84.52%,"59,446",236,"3,075",223710
7,To the Moon,94.71%,"53,650",25,615,206440
8,Superliminal,91.96%,"42,767",152,"1,439",1049410
9,Spec Ops: The Line,91.20%,"39,059",70,"13,995",50300
10,The Medium,85.55%,"38,294",22,"2,765",1293160
11,The Beginner's Guide,84.89%,"36,254",11,947,303210
12,Fran Bow,93.94%,"36,204",65,447,362680
13,STEINS;GATE 0,92.32%,"30,661",30,787,825630
14,The Fruit of Grisaia,88.04%,"25,602",11,138,345610
15,Blair Witch,75.08%,"25,126",12,"1,716",1092660
16,GET EVEN,73.88%,"22,325",3,163,299950
17,Dread Hunger,82.17%,"22,306",269,614,1418630
18,CAT Interstellar,68.83%,"22,298",5,"1,367",384740
19,Unfortunate Spacemen,84.54%,"20,851",141,"11,823",408900
20,The Dark Pictures Anthology: Little Hope,72.47%,"20,238",68,"4,997",1194630
21,Moons of Madness,75.37%,"20,083",5,519,1012840
22,Antichamber,92.65%,"17,817",16,"2,369",219890
23,The Town of Light,76.67%,"16,961",6,155,433100
24,The Park,68.33%,"16,822",1,541,402020
25,Sex with the Devil,71.69%,"16,817",21,615,1202690
26,First Class Trouble,78.33%,"16,383",94,"1,271",953880
27,Higurashi When They Cry Hou - Ch.1 Onikakushi,91.82%,"16,101",24,543,310360
28,Psychonauts 2,-,"14,493",0,23,607080
29,Hide and Shriek,80.39%,"14,203",33,"1,028",480430
30,Enderal: Forgotten Stories (Special Edition),88.18%,"14,172",466,"2,428",976620
31,Neverending Nightmares,73.06%,"13,171",0,146,253330
32,Layers of Fear 2,70.85%,"13,011",5,739,1029890
33,Those Who Remain,67.11%,"12,919",1,157,715380
34,Tokyo Dark,82.51%,"12,635",7,223,687260
35,missed messages.,93.39%,"11,625",8,184,812810
36,The Cat Lady,89.90%,"11,265",5,187,253110
37,Yume Nikki,89.39%,"10,855",25,469,650700
39,Before Your Eyes,94.69%,"10,300",13,510,1082430
40,The Stillness of the Wind,69.76%,"9,685",3,99,828900
41,Virginia,64.11%,"9,284",3,240,374030
42,The Suicide of Rachel Foster,70.46%,"8,910",16,365,1057750
44,Wonderful Everyday Down the Rabbit-Hole,90.06%,"8,624",13,137,658620
45,Hypnospace Outlaw,93.10%,"8,569",40,307,844590
46,We Went Back,82.28%,"8,524",4,303,1218250
47,The Dream Machine: Chapter 1 & 2,84.46%,"8,378",9,864,94300
48,CHAOS;CHILD,89.39%,"8,295",24,125,970570
49,MIND: Path to Thalamus Enhanced Edition,64.78%,"7,980",0,301,296070
50,DISTRAINT: Deluxe Edition,90.61%,"7,795",6,"165,266",395170
51,She Sees Red - Interactive Movie,75.66%,"7,750",1,155,1081510
52,Notch - The Innocent LunA: Eclipsed SinnerS,85.23%,"7,658",0,48,325120
53,Plug & Play,81.66%,"7,345",1,104,353560
54,Mind Scanners,78.04%,"7,240",14,174,1389550
55,Killer: Infected One of Us,50.20%,"7,094",0,240,1453840
56,Ether One,70.47%,"6,761",0,82,265950
58,Psychonauts,92.37%,"6,578",185,"4,531",3830
59,Hello Neighbor 2 Alpha 1.5,82.77%,"6,411",48,"1,091",1364960
60,The Silver Case,80.03%,"6,207",8,83,476650
62,Lost in Vivo,90.56%,"5,960",7,79,963710
64,When the Darkness comes,89.40%,"5,881",10,684,1021950
65,Umineko When They Cry - Question Arcs,91.03%,"5,807",58,145,406550
66,Papo & Yo,89.43%,"5,730",2,239,227080
67,Higurashi When They Cry Hou - Ch.2 Watanagashi,90.44%,"5,690",16,163,410890
68,Transference™,68.98%,"5,607",0,23,647570
69,PSYCHO-PASS: Mandatory Happiness,77.08%,"5,429",1,55,522880
70,Raging Loop,92.17%,"5,393",32,344,648100
71,DISTRAINT 2,91.75%,"5,327",1,96,743390
73,Shady Part of Me,88.75%,"5,094",3,76,1116580
74,Golden Light,90.74%,"4,825",7,81,1245430
75,Strange Telephone,76.55%,"4,609",2,102,705290
76,INFERNIUM,63.53%,"4,514",0,21,789950
77,Misao: Definitive Edition,91.72%,"4,483",7,31,691450
79,SIMULACRA,86.99%,"4,381",21,333,712730
80,Still There,84.46%,"4,378",2,90,1063490
81,Silver Chains,70.75%,"4,343",1,127,975470
82,Fragile,66.25%,"4,172",1,48,1184210
83,Eliza,86.51%,"4,107",2,113,716500
84,God's Basement,71.24%,"4,093",2,46,753930
85,OBEY,79.80%,"4,089",5,106,346970
86,Enemy On Board,71.54%,"4,034",4,891,999860
87,A Normal Lost Phone,84.45%,"3,984",2,91,523210
88,POSTAL,81.94%,"3,976",11,"412,063",232770
89,KOEWOTAYORINI / 声之寄托,81.59%,"3,903",0,234,787450
90,The Light Keeps Us Safe,59.76%,"3,734",1,33,853240
92,Murder House,90.78%,"3,645",3,119,1064460
93,The Convenience Store | 夜勤事件,81.34%,"3,586",11,131,1228520
94,One Thousand Lies,84.84%,"3,472",1,90,463390
95,Edna & Harvey: Harvey's New Eyes,86.07%,"3,470",11,211,219910
96,Dreaming Sarah,87.25%,"3,466",2,"3,038",296870
97,Silence of the Sleep,71.87%,"3,438",1,172,321870
98,Syndrome,61.91%,"3,383",0,54,409320
99,My Beautiful Paper Smile,87.15%,"3,368",1,32,1036700
