,Name,Rating,Followers,Online,Peak,id
1,Evil Genius 2: World Domination,62.26%,"71,505",453,"37,117",700600
2,Democracy 3,73.00%,"28,954",31,"2,674",245470
3,Sunless Skies: Sovereign Edition,82.15%,"28,916",67,"2,344",596970
4,Poly Bridge 2,92.68%,"18,412",146,"1,924",1062160
6,Castlevania: Lords of Shadow 2,81.28%,"16,129",19,"3,802",239250
7,Psychonauts 2,-,"14,517",0,23,607080
8,Train Valley 2,86.70%,"13,606",126,448,602320
9,Command: Modern Operations,78.22%,"13,487",95,316,1076160
10,WRC 7 FIA World Rally Championship,72.11%,"13,336",80,"1,034",621830
11,Monster Boy and the Cursed Kingdom,87.33%,"12,576",17,359,449610
12,Beyond a Steel Sky,83.05%,"12,019",6,353,1146310
13,Monster Prom 2: Monster Camp,94.01%,"11,490",32,"2,252",1140270
15,F.E.A.R. 2: Project Origin,83.95%,"9,834",26,"4,209",16450
16,Max Payne 2: The Fall of Max Payne,91.22%,"9,037",46,189,12150
17,The Incredible Adventures of Van Helsing III,60.83%,"8,733",2,923,359900
18,The Book of Unwritten Tales 2,86.14%,"8,051",6,419,279940
19,Leisure Suit Larry - Wet Dreams Don't Dry,81.75%,"7,452",8,339,765870
20,FINAL FANTASY IV: THE AFTER YEARS,60.50%,"6,711",12,271,346830
21,Fishing: North Atlantic,70.76%,"6,308",349,"1,292",1264250
22,Monstrum 2,62.37%,"5,981",3,406,1093170
23,Thief™ II: The Metal Age,89.07%,"5,386",18,79,211740
24,Leisure Suit Larry in the Land of the Lounge Lizards: Reloaded,75.95%,"5,027",0,350,231910
25,The Lost Legends of Redwall™ : The Scout Act 1,68.44%,"4,420",0,20,656030
26,The Journey Down: Chapter One,82.85%,"4,410",0,245,220090
27,Lorelai,83.48%,"3,860",5,253,593960
29,Meteorfall: Krumit's Tale,87.01%,"3,688",17,174,1073320
30,THE GAME OF LIFE 2,71.00%,"3,579",36,433,1455630
31,The Bonfire 2: Uncharted Shores,59.74%,"3,197",5,205,1155880
32,BloodRayne 2: Terminal Cut,78.35%,"3,030",3,642,1373550
34,Crash Drive 2,84.08%,"2,502",4,"5,214",343440
35,Sometimes Always Monsters,66.26%,"2,437",1,79,441440
36,Doom & Destiny Advanced,85.18%,"2,341",3,31,361040
37,Eisenwald: Blood of November,52.84%,"2,161",3,194,528820
38,Shan Gui II: Sweet Osmanthus II,88.66%,"2,150",0,232,952420
39,Game Tycoon 2,50.00%,"1,727",0,969,404640
40,Cute Honey 3,58.75%,"1,721",1,160,1543080
41,War of the Human Tanks - ALTeR,83.10%,"1,623",0,56,301920
42,Frog Detective 2: The Case of the Invisible Wizard,89.52%,"1,603",0,55,1047220
43,Red Comrades 2: For the Great Justice. Reloaded,78.03%,"1,597",0,109,443360
44,Little Big Adventure 2,90.03%,"1,490",10,29,398000
46,Cue Club 2: Pool & Snooker,79.79%,"1,182",21,54,366690
47,Aura Kingdom 2,37.42%,"1,122",28,241,1258870
48,Stellar Commanders,64.83%,"1,011",0,19,1165400
49,Broken Sword 4 - the Angel of Death,46.56%,"1,005",4,31,316160
50,Shadowgrounds Survivor,57.32%,926,1,330,11200
51,War of the Human Tanks - Limited Operations,75.77%,837,0,30,301930
52,Natural - Beyond Nature -,67.40%,827,0,32,545400
54,Broken Sword 3 - the Sleeping Dragon,55.13%,791,3,36,33610
55,YORG.io 3,64.42%,695,15,65,1134480
56,Penny Arcade's On the Rain-Slick Precipice of Darkness 3,79.66%,687,1,"1,084",213030
57,Open Sorcery: Sea++,75.86%,670,0,14,737050
58,Oik 3,81.70%,603,2,"1,527",655100
59,Penny Arcade's On the Rain-Slick Precipice of Darkness 4,74.60%,589,0,590,237570
60,Clea 2,84.65%,564,0,33,1257860
62,Distant Memoraĵo,82.70%,553,2,18,1591490
63,Chip's Challenge 2,78.87%,443,2,82,348300
64,Dino Eggs: Rebirth,60.95%,378,0,5,449320
65,Lovely Planet 2: April Skies,82.68%,376,0,26,1019590
67,Never Forget Me,60.76%,319,0,4,534980
68,Monster RPG 2,52.97%,277,0,65,409370
69,★Fallalypse ★ Disconnect ❄,23.66%,276,0,3,978610
70,Gold Rush! 2,56.53%,267,1,"1,741",609100
71,Ninja Stealth 3,71.53%,224,0,688,754120
72,The Lost Legends of Redwall™ : The Scout Act 2,72.17%,220,0,4,1305120
74,Flowering Nightshade,57.96%,198,0,7,1652030
75,Small Town Terrors: Livingston,64.53%,183,0,8,432770
76,Ninja Stealth 2,62.25%,174,0,151,585830
78,Truth: Disorder II,29.25%,127,0,2,847580
79,Welcome To... Chichester 2 - Part I : The Spy Of Chichester And The Eager Tourist Guide HD Edition,68.41%,116,0,2,907350
80,Unlock The King 2,69.35%,111,0,8,1201810
81,Knight Swap 2,80.07%,110,0,4,1201800
82,Militia 2,81.46%,109,0,6,1070510
83,Freakshow:Anniversary,55.52%,104,0,9,763610
84,Exatron Quest L'Epée de Sang,75.00%,99,0,3,669410
85,Blair Witch 2: Book of Shadows,59.42%,90,0,4,452100
86,Welcome To... Chichester OVN 2 : Master Tormentor Grendel Jinx !?,64.35%,87,0,2,1163480
87,Meegah Mem 2,55.55%,81,0,6,1118350
88,Duck Life: Retro Pack,78.91%,80,1,11,1433950
89,Secrets of Magic 2: Witches and Wizards,68.97%,76,0,5,713430
91,Artifact Quest 2 - Match 3 Puzzle,70.34%,70,2,13,718080
92,Monster RPG 3,59.60%,69,0,2,797640
93,Cyborg Arena UE4,69.91%,65,0,2,1258730
94,Square Head Zombies 2 - FPS Game,43.80%,63,0,3,841140
95,Goblin and Coins II,-,60,0,1,694990
96,Roundabout 3,77.41%,59,0,6,1333020
97,The Divergent Series: Insurgent,59.42%,56,0,3,417620
98,Welcome To... Chichester 2 - Part II : No Regrets For The Future,71.55%,55,0,2,1105600
