,Name,Rating,Followers,Online,Peak,id
0,Total War: WARHAMMER II,92.12%,"379,953","27,841","84,920",594570
1,CS:GO Player Profiles,88.80%,"355,650",0,193,413850
2,Total War: WARHAMMER,76.75%,"323,372",761,"113,019",364360
3,Warhammer: End Times - Vermintide,78.35%,"211,407",62,"24,700",235540
4,Warhammer: Vermintide 2,81.50%,"199,403","4,206","73,316",552500
5,"Warhammer 40,000: Dawn of War III",46.94%,"117,816",143,"25,676",285190
7,Source Filmmaker,91.33%,"106,638","1,022","3,975",1840
8,"Warhammer 40,000: Inquisitor - Martyr",72.79%,"94,137",540,"9,698",527430
9,Battlefleet Gothic: Armada,67.01%,"80,059",40,"9,253",363680
10,Mordheim: City of the Damned,68.78%,"79,477",153,"2,715",276810
11,Space Hulk: Deathwing,53.39%,"76,292",5,"11,499",298900
12,"Warhammer 40,000: Eternal Crusade",49.88%,"54,080",2,"5,230",375230
13,Battlefleet Gothic: Armada 2,77.42%,"51,468",320,"8,960",573100
14,Bridge Constructor Portal,87.69%,"48,375",38,"1,745",684410
15,Rivals of Aether,92.49%,"43,361",213,"2,922",383980
16,"Warhammer 40,000: Mechanicus",89.45%,"41,093",131,"2,748",673880
17,Warhammer: Chaosbane,53.50%,"37,544",86,"4,603",774241
18,Blood Bowl 2,75.95%,"35,833",443,"6,511",236690
19,Necromunda: Hired Gun,69.47%,"32,933",63,"5,497",1222370
20,Space Hulk: Deathwing - Enhanced Edition,71.41%,"29,243",67,"2,341",816090
21,"Warhammer 40,000: Regicide",67.41%,"29,073",3,516,322910
22,"Warhammer 40,000: Space Marine",89.88%,"26,150",101,"15,653",55150
23,"Warhammer 40,000: Dawn of War II",86.75%,"24,757",167,"18,862",15620
24,Necromunda: Underhive Wars,57.67%,"22,515",30,"4,260",566440
25,Man O' War: Corsair - Warhammer Naval Battles,60.96%,"20,967",2,196,344240
26,"Warhammer 40,000: Sanctus Reach",81.36%,"18,999",56,735,502370
27,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",91.92%,"16,581",104,"3,241",4570
28,"Warhammer 40,000: Armageddon",76.50%,"16,408",12,587,312370
29,Talisman: Digital Edition,75.50%,"15,401",210,"3,590",247000
30,"Warhammer® 40,000: Dawn of War® - Soulstorm",92.82%,"14,330",915,"3,283",9450
31,Space Hulk: Ascension,68.86%,"14,028",5,389,317620
32,Warhammer Age of Sigmar: Storm Ground,62.74%,"12,960",20,"1,445",1233590
33,"Warhammer® 40,000: Dawn of War® II Chaos Rising",87.53%,"12,879",63,"8,132",20570
