,Name,Rating,Followers,Online,Peak,id
0,Tom Clancy's Rainbow Six® Siege,87.10%,"1,132,788","39,984","201,053",359550
1,Total War: THREE KINGDOMS,69.70%,"461,869","2,788","192,298",779340
2,Just Cause™ 3,79.83%,"302,613","1,553","23,459",225540
3,Space Engineers,87.12%,"301,241","7,051","23,888",244850
4,Besiege,93.79%,"281,869",245,"11,206",346010
5,BeamNG.drive,94.90%,"250,756","6,254","13,572",284160
6,House Flipper,90.71%,"194,016","1,964","10,899",613100
8,Universe Sandbox,93.16%,"153,252",305,646,230290
9,LEGO® Worlds,75.78%,"139,002",299,"4,911",332310
10,Dawn of Man,84.96%,"127,454",759,"23,864",858810
11,Wreckfest,84.25%,"118,325",978,"3,865",228380
12,Teardown,92.84%,"114,047","1,318","8,339",1167630
13,Medieval Engineers,55.51%,"113,689",43,"3,984",333950
14,Men of War: Assault Squad 2,88.43%,"105,437","1,330","9,750",244450
15,Tropico 6,84.92%,"102,866",925,"15,294",492720
16,Crossout,75.81%,"98,196","2,002","9,701",386180
17,Just Cause 4 Reloaded,58.90%,"92,926",349,"9,571",517630
18,Goat Simulator,88.26%,"89,577",123,"10,108",265930
19,Battlefield V,66.10%,"83,357","2,313","30,881",1238810
20,Battlefield: Bad Company™ 2,84.03%,"79,644",137,"21,923",24960
21,Planetary Annihilation: TITANS,81.90%,"79,347",218,"4,577",386070
22,Planet Nomads,66.20%,"75,122",18,372,504050
23,Hardspace: Shipbreaker,87.88%,"66,949",307,"7,286",1161580
24,Clustertruck,89.91%,"66,026",68,"2,658",397950
25,Forts,87.39%,"60,055",331,"7,280",410900
26,Need for Speed™ Heat,80.81%,"56,558","2,018","9,603",1222680
27,Just Cause 2,89.27%,"56,288",189,"7,547",8190
28,Destroy All Humans!,91.17%,"54,693",42,"12,423",803330
29,Starpoint Gemini 2,67.95%,"54,537",19,"20,842",236150
30,Starbase,68.44%,"54,384","6,823","9,969",454120
31,Block N Load,76.71%,"52,682",25,"8,640",299360
32,Battlefield 1 ™,83.28%,"48,063","4,268","43,322",1238840
33,SimplePlanes,89.49%,"47,929",155,885,397340
34,Brick Rigs,90.35%,"47,117",576,"1,963",552100
35,Nimbatus - The Space Drone Constructor,79.58%,"45,614",49,"1,349",383840
36,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,91.53%,"42,823",113,"5,940",410320
37,DYSMANTLE,89.21%,"35,076",54,"1,457",846770
38,Men of War: Assault Squad,85.11%,"31,975",56,"1,490",64000
39,Crysis,78.42%,"29,640",42,"2,237",17300
40,The Last Leviathan,66.95%,"29,363",1,266,489460
41,People Playground,96.98%,"25,803","4,970","8,431",1118200
42,Rock of Ages 2: Bigger & Boulder™,81.54%,"23,810",10,"2,273",434460
43,Battlefield 4™,84.49%,"23,055","4,730","11,801",1238860
44,"Hot Dogs, Horseshoes & Hand Grenades",94.06%,"21,523",449,874,450540
45,MechWarrior 5: Mercenaries,79.57%,"21,343","1,089","5,869",784080
46,Red Faction Guerrilla Steam Edition,87.69%,"20,813",10,"5,613",20500
47,Universe Sandbox Legacy,78.30%,"20,383",18,"3,326",72200
48,Contraband Police,-,"20,193",0,1,756800
49,Turbo Dismount™,89.13%,"18,741",22,761,263760
50,Burnout Paradise: The Ultimate Box,84.87%,"17,076",37,"6,284",24740
52,Blockstorm,78.05%,"16,437",0,"1,411",263060
53,BREAK ARTS II,71.18%,"16,115",4,464,547360
54,Diesel Brothers: Truck Building Simulator,62.44%,"15,771",27,"1,377",750050
55,X-Morph: Defense,87.88%,"15,685",21,918,408410
56,Brigador: Up-Armored Edition,91.61%,"15,645",40,616,274500
58,Conan Unconquered,67.51%,"15,084",7,"1,011",989690
59,Megaton Rainfall,69.76%,"15,036",9,457,430210
60,Ancient Space,46.02%,"14,916",0,283,249190
61,Fictorum,73.04%,"14,523",3,453,503620
62,DEEEER Simulator: Your Average Everyday Deer Game,85.20%,"13,742",23,222,1018800
64,DEAD DOZEN,43.18%,"12,959",0,81,749780
65,Taur,76.76%,"12,874",8,666,1227780
66,Gas Guzzlers Extreme,83.27%,"12,563",1,355,243800
67,Creative Destruction,77.28%,"12,438",197,"6,330",893520
68,Red Faction Guerrilla Re-Mars-tered,77.08%,"11,993",42,"1,509",667720
69,Plane Mechanic Simulator,65.55%,"11,992",3,813,803980
70,"Warhammer 40,000: Inquisitor - Prophecy",76.42%,"11,884",105,"1,298",1042800
71,Mitsurugi Kamui Hikae,78.09%,"11,839",2,188,263620
72,Need for Speed™ Hot Pursuit Remastered,75.66%,"11,241",113,983,1328660
73,GOAT OF DUTY,83.17%,"10,952",7,"3,018",555000
74,First Strike: Classic,81.56%,"10,901",2,159,587000
75,Battlefield 3™,64.56%,"10,794",92,640,1238820
76,Out of Reach: Treasure Royale,63.47%,"10,644",1,129,867400
77,Worms Ultimate Mayhem,84.93%,"10,526",53,786,70600
78,Need for Speed™,69.15%,"10,520",230,"1,260",1262540
79,Astebreed: Definitive Edition,84.42%,"10,142",1,133,283680
80,Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,52.65%,"10,053",1,196,814740
81,Red Faction®: Armageddon™,70.89%,"9,886",5,"1,839",55110
82,ICBM,86.85%,"9,585",36,700,1178220
85,Mr. Shifty,83.75%,"8,705",1,349,489140
86,BattleBit Remastered,-,"8,680",0,141,671860
88,Catlateral Damage,84.48%,"8,557",0,94,329860
89,Rock of Ages,87.71%,"7,982",2,"1,371",22230
90,Demolish & Build 2018,71.90%,"7,615",17,462,577670
91,Tesla vs Lovecraft,85.15%,"7,559",5,241,636100
92,Silent Storm Gold Edition,83.95%,"7,469",8,207,254960
94,Dream Car Builder,86.10%,"6,995",18,75,488550
95,Sector's Edge,79.13%,"6,360",23,"1,645",1024890
97,BossConstructor,71.63%,"6,170",0,118,330100
98,Kill It With Fire,89.84%,"6,015",359,472,1179210
99,Need for Speed™ Rivals,70.82%,"5,995",41,415,1262600
