,Name,Rating,Followers,Online,Peak,id
0,Verdun,83.99%,"171,634",199,"4,541",242860
1,UNO,71.84%,"121,081",197,"5,639",470220
2,Iron Harvest,70.19%,"101,535",820,"8,164",826630
3,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,93.29%,"50,474",39,"5,683",260230
4,Battlefield 1 ™,83.27%,"48,163","20,953","43,322",1238840
5,Tannenberg,84.18%,"47,885",47,"1,177",633460
6,Age of History II,83.18%,"42,903","1,137","2,206",603850
7,Victoria 3,-,"40,276",0,7,529340
8,Beyond The Wire,70.60%,"39,426",13,"2,312",1058650
9,Victoria II,89.62%,"28,355","1,076","3,419",42960
10,Airships: Conquer the Skies,91.87%,"27,103",77,"1,030",342560
11,Scythe: Digital Edition,85.89%,"25,908",87,"1,237",718560
13,Battle of Empires : 1914-1918,66.30%,"16,234",8,210,316430
14,Hearts of Iron III,75.19%,"16,141",113,"1,551",25890
15,"I Love You, Colonel Sanders! A Finger Lickin’ Good Dating Simulator",89.66%,"14,643",22,"4,372",1121910
16,Making History: The Great War,71.59%,"14,482",10,114,279140
17,Medal of Honor: Airborne,77.53%,"12,664",46,777,24840
18,Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,52.65%,"10,056",1,196,814740
19,Toy Soldiers: Complete,73.14%,"10,015",5,212,262120
20,Rise of Flight United,53.80%,"8,571",16,236,244050
21,Supreme Ruler Ultimate,72.86%,"8,302",95,302,314980
22,The Great War 1918,85.11%,"7,689",1,82,314420
23,Darkest Hour: A Hearts of Iron Game,85.17%,"7,008",130,502,73170
24,11-11 Memories Retold,82.16%,"6,459",1,287,735580
25,Day of Defeat,86.90%,"6,019",96,"7,758",30
27,Badiya: Desert Survival,52.85%,"5,909",0,38,545050
28,TrenchesWIP,70.49%,"5,212",4,57,1118920
30,Supremacy 1914: World War 1,67.85%,"3,824",165,551,979920
31,The Operational Art of War IV,74.89%,"3,303",32,65,792660
33,Toy Soldiers,85.53%,"3,044",5,"1,912",98300
34,NavalArt,82.65%,"3,001",71,97,842780
35,变量 Variables,81.41%,"2,615",14,"1,541",1054800
37,Steam Squad,64.04%,"2,574",0,156,290870
38,Supreme Ruler The Great War,58.90%,"2,388",1,88,600280
39,Commander: The Great War,74.90%,"2,283",14,264,312350
40,Wings! Remastered Edition,74.06%,"2,218",4,98,320840
41,Chex Quest HD,77.81%,"2,201",1,320,804270
42,Warplanes: WW1 Sky Aces,76.73%,"2,096",19,138,1155590
43,Strategic Command: World War I,84.75%,"2,089",52,145,1096930
44,NAVYFIELD,62.60%,"2,089",367,472,675560
45,Super Trench Attack!,86.29%,"2,084",0,119,311870
46,Call of Cthulhu: The Wasted Land,63.94%,"2,069",0,111,251390
47,Darkest of Days,69.53%,"1,959",1,177,37700
48,Warplanes: WW1 Fighters,84.03%,"1,956",3,52,1546500
49,Frozen Free Fall: Snowball Fight,58.21%,"1,874",1,867,357480
50,NecroVision,65.96%,"1,796",2,222,7860
51,Under: Depths of Fear,67.93%,"1,787",2,43,1128140
52,War of Beach,53.61%,"1,757",0,428,398840
53,Disney•Pixar Toy Story 3: The Video Game,63.36%,"1,724",11,38,300820
54,To End All Wars,61.83%,"1,652",1,125,312360
56,Panzer War : Definitive Edition (Cry of War),82.37%,"1,601",16,39,798840
57,World War I,69.46%,"1,327",1,22,361380
58,The Last Express Gold Edition,75.09%,"1,266",1,58,252710
59,Making History: The First World War,66.09%,"1,256",7,22,959150
60,Aircraft Evolution,77.17%,"1,214",0,43,597030
61,On The Western Front,70.13%,"1,178",0,9,866400
63,Commands & Colors: The Great War,55.10%,"1,090",0,29,449460
64,1917 - The Alien Invasion DX,72.25%,"1,019",1,70,470060
65,Blooming Nightshade,80.51%,973,0,41,1148400
66,NecroVisioN: Lost Company,65.80%,962,0,45,46250
67,Sid Meier’s Ace Patrol,64.75%,951,1,415,244070
68,Disney•Pixar Cars 2: The Video Game,63.32%,844,6,28,301760
69,Trenches - World War 1 Horror Survival Game,74.98%,814,2,19,1681510
70,Spirit of War,58.26%,713,0,44,352190
73,The Entente Gold,44.63%,683,3,213,285480
74,Red Baron Pack,69.77%,653,1,11,263940
75,Frontline: Panzer Blitzkrieg!,78.95%,646,2,20,1238330
76,Within Whispers: The Fall,57.39%,636,0,4,698360
77,Iron Storm,59.85%,536,0,6,296180
79,Strategic Command Classic: WWI,67.40%,437,0,17,388140
80,Disney Planes,70.13%,421,2,17,286880
81,Because We're Here - Act I,82.64%,403,0,34,869350
82,Aggression: Europe Under Fire,53.17%,391,0,26,289580
83,War Remains: Dan Carlin Presents an Immersive Memory,67.92%,358,0,9,1198050
85,Mata Hari,56.20%,330,2,7,18480
86,"WarBirds Dawn of Aces, World War I Air Combat",52.39%,316,0,5,498940
87,Fadeout: Underground,81.55%,281,2,19,1306570
88,Comrades and Barons: Solitaire of Bloody 1919,75.82%,276,1,6,787710
89,AIR Battlefront,30.56%,261,0,3,1067560
90,Tiny Toy Tanks,86.77%,229,1,30,1452850
91,Disney•Pixar Cars: Radiator Springs Adventures,53.10%,225,1,5,343140
92,Temporality,78.65%,212,0,62,942600
93,REVOLT 1917,29.00%,202,0,2,598030
94,Trenches of War,77.32%,192,0,13,641860
95,Boom Island,52.15%,190,0,3,717820
96,Knights of the Sky,54.55%,189,0,3,347270
97,Tactical Warfare Simulator,37.49%,174,0,3,1233610
98,Warplane inc.,72.42%,163,1,8,1578250
99,To Burn in Memory (Anniversary Edition),70.84%,158,0,2,938260
