,Name,Rating,Followers,Online,Peak,id
0,Mirror's Edge™,85.84%,"40,658",70,"3,805",17410
1,Hot Lava,89.97%,"30,940",26,"1,030",382560
2,EDGE,88.02%,"26,723",1,363,38740
3,Super Meat Boy,92.86%,"23,880",54,"5,153",40800
4,Trackmania® Turbo,63.24%,"22,035",12,"2,085",375900
5,TrackMania² Stadium,85.68%,"13,564",138,"3,597",232910
6,Mr. Shifty,83.75%,"8,704",1,349,489140
7,Blazing Chrome,84.98%,"7,491",4,119,609110
8,Kabounce,87.81%,"6,385",2,"2,597",431930
9,STRIDE + Multiplayer Pass,82.46%,"5,973",10,142,1292040
10,TrackMania² Canyon,77.45%,"5,617",24,730,228760
11,Neversong,83.65%,"5,561",2,163,733210
12,Cloudbuilt,80.51%,"5,329",0,"1,782",262390
14,ELMIA,69.20%,"5,204",1,11,738020
15,Lovely Planet,87.33%,"5,002",2,"2,999",298600
16,Trackmania United Forever,89.19%,"4,914",95,"1,345",7200
17,STARWHAL,83.46%,"4,847",2,86,263020
18,Altitude0: Lower & Faster,66.87%,"4,436",0,68,308080
19,Sonic CD,86.43%,"4,271",11,392,200940
20,Remnants of Naezith,82.37%,"3,837",3,79,590590
21,Stilt Fella,85.69%,"3,740",9,307,1133590
22,Dustforce DX,84.01%,"3,225",7,570,65300
23,Polyball,66.94%,"3,200",4,261,368180
24,The King's Bird,67.49%,"3,052",4,29,812550
25,TrackMania² Valley,75.15%,"2,472",5,465,243360
26,All-Star Fruit Racing,69.10%,"2,197",0,27,673190
27,Earth Overclocked,76.27%,"2,180",1,277,387060
28,Security Hole,83.58%,"1,963",0,43,503460
29,Cyber Hook,89.71%,"1,811",9,89,1130410
30,Marble Skies,79.50%,"1,704",2,95,742460
31,Just 15 minutes,47.89%,"1,589",0,2,1643340
32,Offspring Fling!,77.84%,"1,346",0,"1,889",211360
33,Rifter,85.02%,"1,323",0,37,625740
34,PANZER BALL,84.91%,"1,236",2,354,325260
35,Never Give Up,81.50%,"1,206",0,29,609420
36,Time Recoil,73.53%,"1,201",0,14,625910
37,Pang Adventures,73.80%,"1,182",2,229,415150
38,Barro,73.19%,"1,116",4,"2,291",618140
39,Binaries,77.72%,"1,078",0,"1,998",435800
40,Octahedron: Transfixed Edition,83.37%,"1,054",1,52,434660
42,22 Racing Series | RTS-Racing,-,915,0,3,422890
43,Super Pilot,80.68%,893,1,11,648050
44,PiiSim,75.36%,890,0,5,1002270
45,CHRONOSHOT,79.92%,838,0,95,1326700
46,Raiden Legacy - Steam Edition,52.29%,835,1,13,407600
47,10 Second Ninja,80.84%,827,0,93,271670
48,Skybolt Zack,83.53%,814,0,23,909670
49,Stage Presence,57.36%,761,0,97,391640
50,Pizza Titan Ultra,77.84%,731,0,14,819480
51,Super Rude Bear Resurrection,58.32%,713,0,230,384250
52,Celaria,77.93%,705,0,16,1081650
53,Dimension Jump,60.06%,655,0,62,564750
54,Aefen Fall,65.96%,605,0,11,1467020
55,BAFL - Brakes Are For Losers,67.65%,525,0,6,573070
56,One More Roll,77.62%,495,0,13,911520
57,Narvas,69.20%,476,0,2,640700
58,Nimbus,86.11%,470,0,88,50000
59,Wanna Run Again - Sprite Girl,52.03%,428,0,6,721850
60,JUMP,61.18%,418,0,5,334410
61,Rocket Boots Mania,84.87%,391,0,7,942200
62,FPS Infinite,78.94%,357,0,11,1256380
63,Plug Me,77.67%,356,0,8,759640
64,Paperball,86.81%,351,0,30,1198510
65,Cubixx HD,76.76%,347,0,6,420570
66,The 9th Gate,62.89%,328,0,7,697130
67,RAZED,64.73%,325,0,6,726710
68,Hellbreaker,66.66%,319,0,7,793620
69,Tiny Dangerous Dungeons,83.44%,314,0,5,1013650
70,Cubotrox,79.14%,310,0,6,526800
71,Lanternium,75.82%,308,1,119,618210
72,Glyph VR,70.81%,287,0,10,1190530
73,Super Dangerous Dungeons,85.63%,252,0,7,856540
74,spaceBOUND,65.25%,250,0,12,653190
75,Climbtime,55.77%,249,0,8,535170
76,战术狂想2(Chimera of Tactics 2),62.10%,243,0,2,861280
78,Black Hole Hazard,75.46%,214,0,68,485160
79,Ice Caves of Europa,51.89%,208,0,4,503780
81,Defend The Keep,71.00%,188,0,7,929870
82,All Day Dying: Redux Edition,74.51%,182,0,4,1186160
83,Cranked Up,82.55%,181,0,15,1074500
84,Grim Seventh,54.69%,178,0,207,510730
87,The Forestale,81.66%,167,0,4,817220
88,I Know Everything,60.09%,162,0,6,1040310
89,GLO - Difficult Indie Platformer,75.00%,155,0,3,711550
90,Duke Dashington Remastered,80.07%,153,0,3,894420
91,PanChira Concentration,66.66%,150,1,3,1026670
92,BULLET PARTY,82.63%,147,0,3,655910
93,MineRalph,80.54%,135,0,10,1071190
94,Mars Flight VR,64.78%,132,0,3,1001690
95,Lotion samurai,85.63%,131,2,21,1291370
96,Logistic Expert,50.00%,131,0,5,1051270
97,ERSATZ,73.89%,131,0,3,703720
98,Escape from GULAG,74.20%,123,0,3,1274840
99,Give Me Your Coins,68.10%,123,0,6,802720
