,Name,Rating,Followers,Online,Peak,id
0,Fall Guys: Ultimate Knockout,82.27%,"615,530","11,709","172,213",1097150
1,Human: Fall Flat,93.25%,"488,573","1,290","127,517",477160
2,Portal 2,97.64%,"303,997","2,255","98,460",620
3,It Takes Two,93.70%,"151,273","1,717","21,567",1426210
4,Portal,96.85%,"128,459",511,"20,672",400
5,Hello Neighbor,76.74%,"113,472",104,"1,414",521890
6,A Hat in Time,96.05%,"84,949",225,"7,312",253230
7,Hob,85.99%,"71,500",11,"1,179",404680
8,Crash Bandicoot™ N. Sane Trilogy,90.31%,"66,939",196,"3,755",731490
9,Clustertruck,89.91%,"66,026",65,"2,658",397950
10,Praey for the Gods,82.43%,"56,655",3,428,494430
11,Persona® 5 Strikers,89.92%,"55,774",194,"8,730",1382330
12,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,92.76%,"51,319",91,"15,419",969990
13,RiME,87.19%,"42,125",6,634,493200
14,Spyro™ Reignited Trilogy,92.86%,"40,069",314,"4,198",996580
15,Die Young,77.66%,"39,632",7,192,433170
16,Trine 3: The Artifacts of Power,63.55%,"39,478",22,672,319910
17,Supraland,92.76%,"38,875",120,"1,403",813630
18,Valley,88.45%,"38,079",7,483,378610
19,I Am Bread,75.62%,"36,868",9,453,327890
20,Death's Door,90.96%,"35,530",659,"3,740",894020
21,A Story About My Uncle,89.93%,"33,943",18,"190,590",278360
22,Hot Lava,90.00%,"30,941",34,"1,030",382560
23,Journey To The Savage Planet,83.54%,"29,909",32,"2,162",973810
24,Yooka-Laylee,73.74%,"28,100",29,"6,508",360830
25,EDGE,88.02%,"26,723",1,363,38740
26,Biped,88.26%,"26,068",65,"1,853",1071870
27,Trover Saves the Universe,88.33%,"24,314",10,951,1051200
28,Grow Home,88.24%,"23,927",3,712,323320
29,ENSLAVED™: Odyssey to the West™ Premium Edition,82.48%,"23,665",7,914,245280
30,封灵档案,62.36%,"23,632",429,"4,224",1520470
31,Portal Reloaded,94.28%,"22,894",181,"5,194",1255980
32,Lifeless Planet Premier Edition,74.16%,"22,740",5,410,261530
33,Sable,-,"22,694",0,1,757310
34,Hover,77.81%,"22,043",7,428,280180
35,AER Memories of Old,83.07%,"19,071",17,483,331870
36,Downward,69.61%,"18,723",1,45,506900
37,DeadCore,81.52%,"17,939",1,273,284460
38,Refunct,93.18%,"17,549",1,480,406150
39,Sonic Forces,62.17%,"17,376",29,"2,058",637100
40,Mirror's Edge™ Catalyst,81.58%,"17,003",79,"1,446",1233570
41,Sonic Generations Collection,90.69%,"16,632",170,"1,686",71340
42,Phantom Abyss,82.25%,"15,828",57,"1,607",989440
43,Turok,89.95%,"15,660",23,357,405820
44,Contrast,87.45%,"15,618",0,518,224460
45,Darksiders™,87.07%,"15,282",61,"3,929",50620
46,Cubic Castles,71.57%,"15,253",49,"1,348",317470
47,Psychonauts 2,-,"14,493",0,23,607080
48,ReCore: Definitive Edition,61.44%,"14,211",10,389,537450
49,Pumpkin Jack,90.49%,"14,043",10,401,1186640
50,Samurai Jack: Battle Through Time,81.55%,"13,381",4,665,1150590
52,Raji: An Ancient Epic,84.72%,"13,080",2,219,730390
53,Ben and Ed,77.61%,"12,997",13,214,395200
54,Toren,62.51%,"12,893",0,170,320820
55,TY the Tasmanian Tiger,93.44%,"12,726",12,230,411960
56,Forward to the Sky,79.30%,"12,667",1,"7,227",333250
57,A Short Hike,95.95%,"12,449",28,200,1055540
58,TASOMACHI: Behind the Twilight,70.80%,"12,271",2,255,1015890
59,Sonic Adventure 2,84.43%,"11,659",277,632,213610
60,Snake Pass,76.26%,"10,722",10,"3,406",544330
61,Ben and Ed - Blood Party,84.28%,"10,492",29,443,500260
62,Fight Angel Special Edition,74.83%,"10,424",5,130,1041840
64,SEUM: Speedrunners from Hell,90.59%,"9,744",11,852,457210
65,Game of Thrones Winter is Coming,59.40%,"9,450",857,"1,681",1105420
66,Tomb Raider: Underworld,74.20%,"9,271",48,415,8140
67,Woolfe - The Red Hood Diaries,57.89%,"9,239",0,133,281940
68,Candleman: The Complete Journey,87.89%,"9,065",1,127,591630
69,AWAY: The Survival Series,-,"9,047",0,1,750200
70,Grow Up,86.23%,"8,985",7,558,426790
71,UNBEATABLE [white label],92.22%,"8,775",35,528,1290490
72,Omno,88.96%,"8,763",21,261,969760
73,Prince of Persia®,77.03%,"8,664",4,428,19980
75,Catlateral Damage,84.48%,"8,557",0,94,329860
76,Sonic Lost World,62.19%,"8,102",15,252,329440
77,LEGO® Harry Potter: Years 1-4,82.67%,"8,059",334,"1,018",21130
79,Super Lucky's Tale,80.26%,"7,651",8,150,847360
80,Mini Ninjas,85.18%,"7,465",9,255,35000
