,Name,Rating,Followers,Online,Peak,id
0,Watch_Dogs® 2,81.33%,"296,741",643,"18,138",447040
1,Watch_Dogs™,71.22%,"87,863",201,"47,887",243470
2,Hacknet,91.21%,"69,430",428,"127,640",365450
3,APB Reloaded,63.15%,"56,952",236,"11,813",113400
4,Dungeons & Dragons: Dark Alliance,50.41%,"56,432",83,"9,912",623280
5,Orwell: Keeping an Eye On You,88.92%,"40,091",44,"154,375",491950
6,Call of Duty®: Ghosts,59.79%,"35,004",79,"13,831",209160
7,Screeps: World,85.54%,"30,829",83,359,464350
8,Duskers,85.38%,"27,819",13,411,254320
9,Cyber Manhunt,91.08%,"22,138",526,"2,807",1216710
10,TIS-100,92.61%,"21,036",24,493,370360
11,Gunpoint,94.63%,"20,375",3,"2,647",206190
12,E.Y.E: Divine Cybermancy,81.75%,"18,456",32,"2,481",91700
13,Pony Island,92.71%,"17,716",14,374,405640
14,Operation: Tango,85.64%,"13,780",119,875,1335790
15,Internet Cafe Simulator,70.99%,"13,445",160,"1,058",1136160
16,EXAPUNKS,90.07%,"12,691",12,764,716490
17,Beyond a Steel Sky,83.05%,"12,019",6,353,1146310
18,Welcome to the Game II,81.78%,"11,086",10,518,720250
19,Clandestine,74.06%,"10,527",0,136,290530
20,Replica,83.50%,"10,148",3,286,496890
21,Orwell: Ignorance is Strength,75.72%,"10,087",5,375,633060
22,Dystopia,79.87%,"9,514",0,387,17580
23,Quadrilateral Cowboy,85.83%,"9,480",1,311,240440
24,Black Ice,87.74%,"9,395",1,47,311800
25,Cogmind,91.43%,"9,130",7,168,722730
27,NITE Team 4 - Military Hacking Division,87.52%,"8,755",11,209,544390
28,LIBERATED,73.27%,"8,244",3,55,875310
29,hackmud,72.83%,"8,057",13,436,469920
30,Observer: System Redux,84.05%,"7,614",11,253,1386900
31,Streamer Life Simulator,76.12%,"7,525",98,741,1261040
32,Welcome to the Game,80.66%,"7,270",4,190,485380
33,Else Heart.Break(),64.92%,"6,748",5,162,400110
34,TARTARUS,53.74%,"6,578",0,43,608530
35,Uplink,87.01%,"6,249",8,538,1510
36,Counter Terrorist Agency,51.41%,"6,028",2,226,936490
38,Grey Hack,83.17%,"5,477",23,73,605230
39,Analogue: A Hate Story,89.06%,"5,274",0,285,209370
40,Tech Support: Error Unknown,70.14%,"5,069",5,211,781480
41,Glitchpunk,62.61%,"5,049",16,96,1459960
42,Conglomerate 451,65.08%,"4,993",1,94,1022710
44,Hacktag,66.86%,"4,804",4,77,622770
45,Glitchspace,69.12%,"4,605",0,26,290060
47,Mainlining,73.80%,"4,110",0,53,454950
48,hack_me,60.08%,"3,982",1,"1,589",526740
49,Hack 'n' Slash,53.71%,"3,695",0,373,246070
50,Scrutinized,83.44%,"3,692",3,276,1384770
51,SIMULACRA 2,82.18%,"3,582",5,318,1011190
52,"Sorry, James",75.33%,"3,570",0,52,659190
53,MINDNIGHT,81.64%,"3,447",9,422,667870
54,Cyber Ops,51.01%,"3,201",1,48,863460
55,Untrusted,80.39%,"3,185",20,335,1502660
57,OFF GRID : Stealth Hacking,-,"3,159",0,3,526720
58,Invisible Apartment,67.57%,"2,932",0,41,351790
60,Silicon Zeroes,82.91%,"2,656",1,97,684270
61,Mu Complex,76.00%,"2,503",0,60,383690
62,Comet 64,71.19%,"2,359",0,81,1397290
63,Deus Ex: Breach™,45.01%,"2,275",0,544,555450
64,Deadnaut,63.66%,"2,251",0,60,337040
65,Sapper - Defuse The Bomb Simulator,55.40%,"2,051",1,63,1083070
67,Security Hole,83.58%,"1,963",0,43,503460
68,System Crash,77.32%,"1,916",1,52,481180
69,Cyber Warrior,-,"1,901",0,1,726980
70,ATOMINE,71.38%,"1,832",3,25,603100
71,Quantum Protocol,84.64%,"1,720",16,94,1328530
72,Roombo: First Blood - JUSTICE SUCKS,84.45%,"1,515",0,74,1004610
73,Crypto Mining Simulator,65.66%,"1,496",7,237,1596310
74,High Entropy: Challenges,88.98%,"1,467",4,156,1389630
75,I hate this game,88.12%,"1,426",4,84,976010
76,HACK_IT,29.25%,"1,382",0,41,444350
77,Waves 2: Notorious,79.23%,"1,368",0,7,217120
78,Hacker Evolution IMMERSION,52.70%,"1,350",0,4,229560
79,Algotica Iterations,53.39%,"1,322",0,257,593330
80,BitVault,81.66%,"1,312",0,4,1245810
81,Code 7: A Story-Driven Hacking Adventure,84.60%,"1,255",1,18,650570
82,GHOUL,26.73%,"1,230",0,8,709050
84,Brigand: Oaxaca,85.36%,"1,176",2,22,652410
85,Rogue Bit,81.05%,"1,169",0,8,949790
86,Hacker Evolution,63.02%,"1,131",5,"1,738",70100
87,hack_me 2,68.41%,"1,110",0,"3,012",602890
88,Hack RUN,76.25%,"1,109",1,43,378110
89,Beneath a Steel Sky,82.96%,"1,082",1,44,1368340
90,Cyber Attack,73.35%,"1,080",0,22,1230560
92,Darknet,82.45%,969,0,23,401910
93,>//:System.Hack,70.99%,967,1,6,557330
94,ВЗЛОМ ЖОПЫ,83.74%,936,5,18,1206700
95,4th Generation Warfare,54.67%,920,0,32,1204230
97,868-HACK,83.28%,909,0,33,274700
98,Yolo Space Hacker,84.92%,863,4,29,1341450
99,Hacker Evolution Duality,36.53%,859,0,54,70120
