,Name,Rating,Followers,Online,Peak,id
0,Cities: Skylines,91.95%,"579,631","10,922","60,386",255710
2,PC Building Simulator,92.46%,"156,187",520,"3,884",621060
3,Arma 2: Operation Arrowhead,90.24%,"115,686",259,"19,175",33930
4,Rising World,80.77%,"111,264",38,486,324080
5,Call to Arms,76.61%,"87,796",285,"2,882",302670
6,EA SPORTS™ FIFA 21,73.38%,"55,258","21,541","44,388",1313860
7,911 Operator,86.49%,"45,743",83,"1,955",503560
8,Call of Duty® 4: Modern Warfare®,90.45%,"38,990",352,"1,796",7940
9,Onward,72.12%,"38,099",105,423,496240
11,Sniper Ghost Warrior Contracts 2,79.51%,"31,965",697,"7,055",1338770
12,Hired Ops,62.22%,"22,846",135,"1,835",374280
13,Train Valley,85.94%,"19,772",11,"1,000",353640
15,Medal of Honor™,70.34%,"17,726",31,"2,285",47790
16,112 Operator,83.60%,"16,542",57,"1,805",793460
17,Command: Modern Air / Naval Operations WOTY,79.54%,"15,734",9,194,321410
19,Project CARS 3,53.65%,"15,662",98,"1,218",958400
20,Liftoff: FPV Drone Racing,89.26%,"15,008",173,646,410340
21,Democracy 4,81.45%,"13,967",72,699,1410710
22,Command: Modern Operations,78.32%,"13,483",95,316,1076160
23,Acting Lessons,92.81%,"12,692",55,263,1045520
24,Age of Survival,18.87%,"12,549",0,67,369080
25,Long Gone Days,86.61%,"12,436",4,44,510540
28,First Strike: Classic,81.56%,"10,901",2,159,587000
29,Farm Manager 2021: Prologue,73.11%,"10,410",4,748,1415410
30,Citystate,70.91%,"9,300",15,484,774351
31,Alpha Protocol™,78.05%,"8,507",15,"2,427",34010
32,Tokyo School Life,87.60%,"8,491",0,116,320760
33,BLEACH Brave Souls,83.93%,"8,091","2,288","5,596",1201240
35,Transport INC,72.85%,"7,525",14,496,936500
36,Krunker,76.39%,"7,503",568,"2,255",1408720
37,Invasion Machine,75.28%,"7,251",9,68,964650
38,Trap Shrine,89.43%,"7,081",2,184,951000
39,Madden NFL 21,47.99%,"6,228",697,"3,226",1239520
40,Tomb Raider: Legend,84.73%,"5,728",33,287,7000
41,Realpolitiks II,50.72%,"5,556",10,305,1248060
42,月球坠落时 Moon Fall,83.41%,"5,529",1,101,1092400
43,Fantasy Tavern Sextet -Vol.2 Adventurer's Days-,80.59%,"5,332",1,116,1461770
44,SimCasino,79.22%,"5,327",17,189,1158420
45,During Before And After COVID-19,55.69%,"5,101",0,2,1509630
48,Ball 3D,79.18%,"4,794",91,"1,116",485610
49,Train Station Simulator,60.16%,"4,701",0,49,738610
50,College Bound - Episode 1,82.14%,"4,679",98,567,1630080
53,Bai Qu: Hundreds of Melodies,89.32%,"4,006",1,22,516600
54,Satellite Command,60.56%,"3,858",0,40,514670
55,EZ2ON REBOOT : R,72.08%,"3,776",26,"2,768",1477590
56,Sepia Tears,83.54%,"3,734",0,102,429300
57,King of Bali,47.16%,"3,727",0,38,678190
59,OnlyFuck - RuRu's Adventures,62.53%,"3,605",2,204,1569590
60,Don't Cheat On Me,48.38%,"3,584",0,343,1400070
61,AXYOS,52.50%,"3,486",1,"2,243",318100
62,There is No GreenDam,91.35%,"3,472",0,41,1109460
63,Five Dates,84.57%,"3,401",5,257,1353270
65,Vengeance,75.79%,"3,205",1,"8,732",384960
66,Legend of Homebody,76.21%,"3,156",4,385,744260
67,GAI Stops Auto: Right Version Simulator,79.42%,"3,139",0,25,1594400
69,Power & Revolution 2020 Edition,63.74%,"2,853",104,296,1379930
70,Bad Memories,78.76%,"2,742",9,54,1595030
72,Smart City Plan,64.02%,"2,632",1,69,1074180
73,Arms Race - TCWE,64.17%,"2,567",1,7,583590
75,Lock 'n Load Tactical Digital: Core Game,82.75%,"2,443",9,101,1149940
77,PowerBeatsVR - VR Fitness,82.03%,"2,248",3,35,810500
78,3on3 FreeStyle: Rebound,56.14%,"2,225",108,657,1292630
79,HEAT REBORN,61.70%,"2,222",18,546,1219590
80,Of Bird and Cage,74.05%,"2,072",1,37,523770
81,Twists of My Life,69.15%,"2,029",12,37,1159520
82,大千世界,84.25%,"2,011",33,"1,437",1348300
83,Timeflow – Time & Money Sim,88.49%,"1,950",13,646,1005930
84,Combat Mission Black Sea,78.72%,"1,912",12,80,1502380
87,Sex Lady Sonia,61.21%,"1,714",1,25,1378080
88,Majikoi! Love Me Seriously!,82.31%,"1,669",1,35,1460490
90,Command: Northern Inferno,69.36%,"1,638",0,32,397180
91,Boppio,65.03%,"1,626",2,26,1384030
92,Ogre Tale,58.71%,"1,617",0,93,1124050
95,IdolDays,78.55%,"1,521",3,45,1576130
96,Funny Business with My Precious Coach (Anipuzzle Series),71.26%,"1,460",0,7,1402410
97,Disc Creatures,80.02%,"1,451",1,34,1083190
98,RUSSI.A SIMULATOR,68.65%,"1,431",0,20,893950
99,Best Friend Forever,69.04%,"1,428",2,64,1034850
