,Name,Rating,Followers,Online,Peak,id
0,Super Mega Baseball 2,83.90%,"5,554",9,487,414870
1,Super Mega Baseball 3,86.86%,"4,356",74,814,988910
2,Super Mega Baseball: Extra Innings,84.62%,"2,924",8,310,314070
3,Out of the Park Baseball 22,78.63%,"2,558","1,307","2,008",1455660
4,Out of the Park Baseball 19,80.49%,"2,545",22,"1,525",619290
5,Out of the Park Baseball 21,87.13%,"2,465",334,"2,047",1087280
6,Out of the Park Baseball 20,87.04%,"2,423",94,"1,445",831980
7,Out of the Park Baseball 18,85.95%,"2,091",13,"1,586",465650
8,Out of the Park Baseball 17,85.59%,"2,040",7,973,402430
9,R.B.I. Baseball 20,57.45%,917,6,134,821350
10,All-In-One Sports VR,67.13%,870,11,30,1514840
11,R.B.I. Baseball 15,44.12%,739,0,60,329610
12,R.B.I. Baseball 16,43.24%,585,1,29,407690
13,R.B.I. Baseball 21,50.00%,374,15,56,1462150
14,BASEBALL STARS 2,67.82%,362,0,16,366230
16,Bottom of the 9th,75.24%,217,0,102,705020
18,iB Cricket,85.05%,183,7,19,957070
19,Baseball Mogul Diamond,70.59%,170,0,43,507080
20,栄冠は君に レジェンドパック,62.51%,132,0,2,338100
21,Rocket Skates VR,80.69%,130,0,11,1535200
22,MLB Home Run Derby VR,57.17%,126,0,7,821370
23,Baseball Riot,61.25%,126,0,9,567660
24,Baseball Mogul 2017,66.76%,124,0,18,658400
25,Baseball Mogul 2015,66.14%,104,1,20,388270
26,Baseball Mogul 2018,67.93%,90,0,16,743230
27,Digital Diamond Baseball V7,74.19%,78,0,8,801300
28,Digital Diamond Baseball V9,74.53%,51,1,11,1536600
29,Inside The Park VR,44.34%,43,0,5,1140970
30,Trivia Vault Baseball Trivia,56.60%,40,0,3,805360
31,Home Plate Baseball,50.00%,38,0,3,989260
32,Bow & Crystal Tower Defense,59.42%,35,0,1,1537940
33,2D Baseball Duel,70.57%,35,0,4,1244520
35,Planets Battle,37.49%,30,0,2,1607850
36,Astonishing Baseball 2019,35.92%,30,0,2,1092190
37,Astonishing Baseball Manager 20,59.60%,26,0,2,1296200
38,Snowboard,40.40%,25,0,3,1547500
39,Super No Crying in Baseball,69.20%,20,0,2,1266380
40,Dash Blitz,69.20%,20,0,2,786620
41,Fly Away Baseball,40.58%,17,0,1,1463930
43,ANOTHER DERBY!,72.17%,13,0,5,1555070
45,GGANG!,-,9,0,1,997760
46,Overlay Balls & Mouse Tails,68.15%,8,0,2,1596240
