,Name,Rating,Followers,Online,Peak,id
0,Z1 Battle Royale,55.26%,"517,234",75,"151,239",433850
1,Squad,86.61%,"497,710","5,120","15,338",393380
2,The Long Dark,89.86%,"460,431","1,204","14,433",305620
3,The Elder Scrolls V: Skyrim Special Edition,89.28%,"396,812","22,824","69,906",489830
4,Just Survive,58.66%,"362,602",1,"40,335",295110
5,theHunter: Call of the Wild™,84.57%,"356,627","2,168","18,081",518790
6,Assassin's Creed® Origins,84.92%,"310,838",827,"41,551",582160
7,Life is Strange - Episode 1,95.03%,"255,042",338,"18,260",319630
9,Miscreated,66.36%,"206,747",181,"5,159",299740
10,DEATH STRANDING,91.89%,"202,696","1,117","32,515",1190460
11,Firewatch,86.64%,"192,787",52,"17,568",383870
12,The Solus Project,77.25%,"188,920",4,652,313630
13,Hellblade: Senua's Sacrifice,89.88%,"183,286",106,"5,653",414340
14,A Plague Tale: Innocence,92.08%,"151,055",174,"4,058",752590
15,The Isle,81.27%,"148,944","4,384","11,973",376210
16,LEGO® Worlds,75.78%,"139,002",313,"4,911",332310
17,SOMA,93.76%,"120,403",96,"4,072",282140
18,Life is Strange: Before the Storm,91.72%,"117,404",119,"16,209",554620
19,The Witness,83.29%,"115,785",155,"6,185",210970
20,GRIS,94.79%,"113,596",59,959,683320
21,Infestation: The New Z,52.56%,"94,858",261,"14,437",555570
22,Outlast,94.60%,"94,352",310,"11,827",238320
23,Thief Simulator,83.67%,"92,697",334,"2,697",704850
24,What Remains of Edith Finch,93.22%,"87,406",19,329,501300
25,Romero's Aftermath,48.69%,"85,438",0,"4,302",349700
26,ABZU,90.74%,"83,796",13,"1,329",384190
27,Counter-Strike Nexon: Studio,65.27%,"80,531",380,"10,007",273110
28,Cube World,38.78%,"80,174",66,"35,622",1128000
29,Who's Your Daddy?!,74.35%,"78,259",112,"1,209",427730
30,The Vanishing of Ethan Carter,86.13%,"75,926",4,"1,443",258520
31,Life is Strange 2,82.88%,"74,964",248,"468,717",532210
32,Call of Cthulhu®,75.86%,"71,477",48,"3,449",399810
33,Dreamfall Chapters,80.26%,"69,538",14,"1,711",237850
34,Salt,75.27%,"68,046",4,363,327860
35,Layers of Fear,87.70%,"67,945",64,"145,384",391720
36,Cloudpunk,87.11%,"66,010",48,932,746850
37,The Stanley Parable,90.46%,"64,685",52,"4,818",221910
38,MechWarrior Online™ Solaris 7,75.96%,"62,259",890,"4,155",342200
39,Return of the Obra Dinn,94.20%,"61,275",79,"1,256",653530
40,Viscera Cleanup Detail,90.57%,"57,854",265,"1,526",246900
41,Night in the Woods,90.68%,"56,868",69,"1,305",481510
42,>observer_,77.76%,"54,860",12,953,514900
43,Agony,48.73%,"54,721",4,"2,845",487720
44,Arma II: DayZ Mod,80.46%,"54,669",68,"2,305",224580
45,NBA 2K18,30.16%,"52,833",71,"25,432",577800
46,The Elder Scrolls V: Skyrim VR,75.44%,"52,126",371,"3,048",611670
47,Transmissions: Element 120,91.42%,"50,455",5,790,365300
48,Eastshade,86.09%,"49,125",31,440,715560
49,Obduction,77.54%,"48,755",20,"1,915",306760
50,Journey,92.38%,"46,976",53,"1,757",638230
51,LOST EMBER,86.17%,"46,330",11,590,563840
52,Danganronpa 2: Goodbye Despair,94.28%,"45,122",445,"1,869",413420
53,Brothers - A Tale of Two Sons,92.84%,"45,048",11,"2,019",225080
54,Visage,85.00%,"45,047",108,"1,178",594330
55,Kona,80.10%,"44,603",2,349,365160
56,Oxenfree,90.09%,"44,205",17,733,388880
57,RiME,87.19%,"42,125",6,634,493200
58,Finding Paradise,94.96%,"41,491",13,994,337340
60,The Medium,85.55%,"38,294",21,"2,765",1293160
61,Valley,88.45%,"38,079",7,483,378610
62,Tank Mechanic Simulator,84.82%,"36,907",118,"5,022",407130
63,Train Sim World® 2020,75.53%,"36,369",42,"1,933",530070
64,The Beginner's Guide,84.89%,"36,254",10,947,303210
65,The Awesome Adventures of Captain Spirit,90.23%,"35,810",15,"8,739",845070
66,港詭實錄ParanormalHK,87.19%,"35,376",22,"1,221",1178490
67,35MM,69.65%,"34,885",1,230,466500
68,Kholat,66.51%,"34,720",16,"272,019",343710
69,ArcheAge,51.97%,"33,728",91,"6,509",304030
70,Murdered: Soul Suspect,83.08%,"32,905",37,"1,645",233290
71,Everything,80.33%,"32,652",11,629,582270
72,Betrayer,78.96%,"31,443",1,725,243120
73,The Beast Inside,81.25%,"29,490",47,584,792300
74,The Walking Dead: Michonne - A Telltale Miniseries,76.21%,"29,423",2,"2,435",429570
75,Nether: Resurrected,41.75%,"26,741",2,"10,930",247730
76,Everybody's Gone to the Rapture,68.62%,"26,633",1,191,417880
77,Meadow,86.41%,"26,254",13,"15,036",486310
78,Amnesia: Rebirth,75.08%,"25,856",28,"6,486",999220
79,Submerged,73.10%,"25,799",6,521,301860
80,Lust for Darkness,67.43%,"25,762",8,288,523650
81,Deliver Us The Moon,85.41%,"25,456",5,469,428660
82,Blair Witch,75.08%,"25,126",10,"1,716",1092660
83,Among the Sleep - Enhanced Edition,84.35%,"24,752",15,488,250620
84,Cradle,68.05%,"24,711",1,594,361550
85,Home Sweet Home,83.95%,"24,550",6,323,617160
86,ECHO,77.12%,"24,459",3,245,551770
87,TOGETHER BnB,46.71%,"23,745",7,846,1239020
88,The Way of Life Free Edition,72.35%,"23,710",1,316,310370
89,Tacoma,82.89%,"23,355",4,386,343860
90,Tell Me Why,81.98%,"23,299",134,"2,784",1180660
91,Lifeless Planet Premier Edition,74.16%,"22,740",5,410,261530
92,Kentucky Route Zero: PC Edition,78.17%,"22,688",12,431,231200
93,Event[0],76.88%,"22,584",1,396,470260
94,CastleMiner Z,75.65%,"22,577",30,452,253430
95,Quern - Undying Thoughts,88.17%,"22,382",23,437,512790
96,GET EVEN,73.88%,"22,325",1,163,299950
97,CAT Interstellar,68.83%,"22,298",4,"1,367",384740
98,The First Tree,74.22%,"21,960",8,601,555150
99,Moonbase Alpha,87.58%,"21,801",9,"1,443",39000
