,Name,Rating,Followers,Online,Peak,id
0,Olympic Games Tokyo 2020 – The Official Video Game™,44.17%,"4,561",61,"4,064",981890
1,Eleven Table Tennis,90.99%,"4,261",32,147,488310
2,AO Tennis 2,66.76%,"3,839",56,435,1072500
3,Tennis World Tour,38.36%,"2,848",12,295,692030
4,Tennis Elbow 2013,87.30%,"2,599",66,143,346470
5,First Person Tennis - The Real Tennis Simulator VR,82.09%,"2,390",1,15,454140
6,Virtua Tennis 4™,68.48%,"2,130",1,288,71390
7,Tennis Manager 2021,75.33%,"2,010",26,338,1433010
8,AO International Tennis,68.43%,"1,652",5,94,758410
9,Tennis Elbow Manager 2,81.00%,"1,598",4,90,760630
10,Full Ace Tennis Simulator,81.39%,"1,328",17,52,779430
11,Racket Fury: Table Tennis VR,76.67%,"1,164",0,14,555050
12,Tennis World Tour 2,44.10%,"1,104",6,120,1223910
13,Tennis Elbow 4,81.67%,939,19,57,760640
14,All-In-One Sports VR,67.13%,870,11,30,1514840
15,Lofi Ping Pong,83.71%,691,0,35,1028570
16,#SelfieTennis,69.37%,525,0,17,392190
17,World of Tennis: Roaring ’20s,70.37%,450,3,72,796290
18,Tennis in the Face,80.88%,386,0,90,394290
19,Super Tennis Blast,72.99%,343,1,8,1050510
20,Hypergalactic Psychic Table Tennis 3000,80.34%,293,0,19,1233690
21,Smoots World Cup Tennis,52.70%,270,0,64,393860
22,Tennis Elbow Manager,70.99%,257,2,27,528110
23,Dino Galaxy Tennis,79.71%,238,0,7,1454080
24,Super Sports Blast,75.64%,186,0,10,1515740
25,Chibi Volleyball,74.93%,136,0,5,1100200
26,Blobby Tennis,65.14%,119,1,6,628530
27,Bloody Service,77.40%,96,0,3,1415020
28,Tennis Kings VR,44.31%,95,0,6,802320
29,TennisVR,36.11%,62,0,2,624630
30,Tennis Story,67.40%,60,0,12,933380
31,Tennis Fighters,78.11%,57,0,3,994180
32,Pets No More,47.22%,53,0,4,1581420
33,Trivia Vault: Tennis Trivia,64.73%,53,0,2,840710
34,International Tennis Open,59.42%,37,0,2,1454720
35,Ero Tennis,26.74%,26,0,1,1521770
36,Ping Pong Space - Retro Tennis,67.06%,19,0,3,1193930
37,Radon Blast,69.20%,18,0,2,1550630
38,Electronic Squash,-,17,0,1,1244370
39,EPEJSODION Lodge,59.42%,16,0,3,1519530
40,Wild Rat,54.17%,15,0,1,1631690
41,Smackball,67.06%,15,0,4,1554520
42,Little Tennis,40.58%,15,0,1,1221660
43,Super 3D Table Tennis,50.00%,11,0,2,1619900
44,Overlay Balls & Mouse Tails,68.15%,8,0,2,1596240
45,Online Retro Tennis,-,7,0,1,1581850
46,Tennis World Tour 2 - Champions Pack,-,-,-,-,1455641
