,Name,Rating,Followers,Online,Peak,id
1,PC Building Simulator,92.47%,"156,210",654,"3,884",621060
3,CPUCores :: Maximize Your FPS,73.02%,"40,937",608,"6,139",384300
4,Hardware Engineers,78.89%,"3,713",0,111,485900
5,ClearMem :: Free Up Your RAM,66.07%,"1,950",25,47,780100
6,Last Farewell,70.81%,"1,456",0,22,1234240
7,Sticky Apps :: Monitor Ping,73.19%,"1,043",5,21,983050
9,ASTRA-256 Assembler,68.97%,279,0,4,1260310
10,Make Me LAG,82.98%,277,0,12,1215430
11,CryptoFarm,36.12%,160,0,5,916980
12,Star Impact,76.34%,59,0,4,1052030
14,Simplode Suite - Free Select,-,-,-,-,1403380
15,Simplode Suite - Keyboard Utilities,-,-,-,-,1291034
16,HP Reverb G2,-,-,-,-,1271440
17,Simplode Suite - Virtual Touch Screen,-,-,-,-,1264104
18,Face Gasket for Valve Index Headset – 2 Pack,-,-,-,-,1072820
